FILE	 Inj	 Day	 PrDir	 PrSpd	 PrHDsp	 RFX	 RFY	 RFDiam	 MThr	 MSlp	 Ntrials	 Coher1	 Pct1	 Coher2	 Pct2	 Coher3	 Pct3	 Coher4	 Pct4	 Coher5	 Pct5	 Coher6	 Pct6	 
m3c1209r13.htb	 8	 4	    0.0	   6.00	  0.000	   8.00	   6.00	   6.00	 22.122	 1.9554	 156.000	   3.00	  0.462	   6.00	  0.538	  12.00	  0.692	  24.00	  0.808	  48.00	  1.000	  96.00	  1.000	 
m3c1209r17.htb	 8	 4	    0.0	   6.00	  0.000	   8.00	   6.00	   6.00	 20.150	 2.0031	 396.000	   3.00	  0.439	   6.00	  0.545	  12.00	  0.682	  24.00	  0.864	  48.00	  1.000	  96.00	  1.000	 
m3c1211r1.htb	 9	 1	    0.0	   6.00	  0.000	   2.00	  12.00	   8.00	 28.822	 3.0224	 108.000	   3.00	  0.611	   6.00	  0.611	  12.00	  0.667	  24.00	  0.667	  48.00	  1.000	  96.00	  1.000	 
m3c1211r5.htb	 9	 1	    0.0	   6.00	  0.000	   2.00	  10.00	   8.00	 29.020	 2.0905	 228.000	   3.00	  0.500	   6.00	  0.605	  12.00	  0.553	  24.00	  0.737	  48.00	  0.974	  96.00	  1.000	 
m3c1211r10.htb	 9	 3	    0.0	   6.00	  0.000	   2.00	  10.00	   8.00	 117.571	 0.8537	 72.000	   3.00	  0.667	   6.00	  0.417	  12.00	  0.667	  24.00	  0.417	  48.00	  0.833	  96.00	  0.750	 
m3c1211r11.htb	 9	 3	    0.0	   6.00	  0.000	   2.00	  10.00	   8.00	 100.256	 1.1709	 192.000	   3.00	  0.625	   6.00	  0.406	  12.00	  0.625	  24.00	  0.438	  48.00	  0.781	  96.00	  0.781	 
m3c1209r13.htb	 8	 4	    0.0	   6.00	  0.000	   8.00	   6.00	   6.00	 20.703	 1.9757	 552.000	   3.00	  0.446	   6.00	  0.543	  12.00	  0.685	  24.00	  0.848	  48.00	  1.000	  96.00	  1.000	 
m3c1209r17.htb	 8	 4	    0.0	   6.00	  0.000	   8.00	   6.00	   6.00	 20.150	 2.0031	 792.000	   3.00	  0.439	   6.00	  0.545	  12.00	  0.682	  24.00	  0.864	  48.00	  1.000	  96.00	  1.000	 
m3c1211r2.htb	 9	 1	    0.0	   6.00	  0.000	   2.00	  10.00	   8.00	 24.946	 1.2478	 348.000	   3.00	  0.552	   6.00	  0.638	  12.00	  0.638	  24.00	  0.793	  48.00	  0.948	  96.00	  1.000	 
m3c1211r5.htb	 9	 1	    0.0	   6.00	  0.000	   2.00	  10.00	   8.00	 26.725	 1.4392	 468.000	   3.00	  0.513	   6.00	  0.628	  12.00	  0.590	  24.00	  0.795	  48.00	  0.949	  96.00	  1.000	 
