FILE	         Spon	 HTIve	 HTIvi	 VesP	         VisP	  VesPre	   VisPre	   VesSlo	    VisSlo      minVes      minVis     maxVes       maxVis
m2c14r1.htb	 23.17	    0.77	   0.72	   0.00	   0.00	   8.79	    359.82	   292.50	    67.50	    6.14	    16.83	   141.19	    121.39	    
m2c20r1.htb	 75.64	    0.26	   0.71	   0.00	   0.00	   344.02	    350.74	   67.50	    292.50	    105.35	    31.29	   172.28	    160.00	    
m2c21r1.htb	 19.01	    0.66	   0.37	   0.00	   0.00	   221.58	    19.29	   157.50	    67.50	    9.70	    31.49	   41.19	    113.47	    
m2c22r1.htb	 1.10	    0.15	   0.27	   0.01	   0.00	   261.90	    357.68	   67.50	    292.50	    3.22	    7.18	   9.16	    23.51	    
m2c30r1.htb	 14.00	    0.25	   0.40	   0.10	   0.00	   94.66	    205.70	   292.50	    247.50	    6.44	    0.99	   12.87	    16.17	    
m2c32r1.htb	 18.02	    0.69	   0.54	   0.02	   0.00	   23.66	    328.30	   67.50	    292.50	    13.66	    2.72	   27.48	    30.69	    
m2c33r1.htb	 10.50	    0.70	   0.62	   0.00	   0.00	   41.38	    219.69	   292.50	    67.50	    4.70	    2.48	   13.12	    18.81	    
m2c35r1.htb	 15.35	    0.21	   0.71	   0.01	   0.00	   183.84	    200.57	   67.50	    112.50	    23.93	    3.56	   40.00	    38.61	    
m2c39r1.htb	 7.72	    0.59	   0.72	   0.01	   0.00	   306.70	    171.16	   22.50	    112.50	    5.69	    4.21	   21.29	    35.64	    
m2c42r1.htb	 11.88	    0.20	   0.68	   0.00	   0.00	   168.42	    199.69	   202.50	    292.50	    21.78	    5.54	   39.01	    34.65	    
m2c44r1.htb	 21.12	    0.33	   0.66	   0.09	   0.00	   178.12	    197.02	   247.50	    112.50	    25.25	    2.15	   37.23	    26.93	    
m2c45r1.htb	 13.86	    0.41	   0.79	   0.04	   0.00	   95.91	    173.72	   123.75	    101.25	    10.30	    2.81	   16.24	    27.52	    
m2c49r1.htb	 9.31	    0.57	   0.39	   0.00	   0.00	   106.03	    301.93	   56.25	    101.25	    6.68	    10.64	   26.98	    39.60	    
m2c52r1.htb	 14.26	    0.65	   0.29	   0.00	   0.00	   105.01	    281.43	   337.50	    78.75	    9.50	    15.84	   28.51	    40.59	    
m2c57r1.htb	 2.77	    0.27	   0.59	   0.02	   0.00	   143.44	    43.06	   22.50	    123.75	    2.97	    3.17	   10.50	    45.74	    
m2c59r1.htb	 14.65	    0.35	   0.48	   0.01	   0.00	   306.27	    173.84	   67.50	    67.50	    14.26	    10.40	   29.11	    47.33	    
m2c60r1.htb	 2.97	    0.18	   0.71	   0.02	   0.00	   142.53	    147.05	   101.25	    101.25	    2.97	    2.77	   8.32	    46.53	    
m2c61r1.htb	 8.12	    0.71	   0.73	   0.00	   0.00	   38.73	    358.02	   337.50	    78.75	    4.75	    3.76	   16.04	    98.02	    
m2c64r1.htb	 4.62	    0.50	   0.68	   0.02	   0.00	   331.51	    123.37	   101.25	    78.75	    1.39	    2.57	   5.94	    13.66	    
m2c66r1.htb	 3.63	    0.79	   0.68	   0.00	   0.00	   16.71	    65.03	   78.75	    101.25	    2.15	    2.57	   9.90	    16.17	    
m2c67r1.htb	 12.08	    0.71	   0.76	   0.00	   0.00	   44.83	    125.84	   101.25	    78.75	    8.91	    4.75	   17.82	    40.59	    
m2c70r1.htb	 18.81	    0.76	   0.41	   0.00	   0.02	   317.17	    0.52	   337.50	    292.50	    10.50	    10.30	   39.80	    19.41	    
m2c71r1.htb	 27.33	    0.54	   0.71	   0.00	   0.00	   5.18	    212.54	   78.75	    78.75	    16.04	    14.06	   34.65	    47.13	    
m2c72r1.htb	 11.29	    0.45	   0.43	   0.00	   0.00	   177.48	    117.25	   78.75	    101.25	    8.12	    18.02	   23.96	    64.55	    
m2c77r1.htb	 7.78	    0.24	   0.64	   0.04	   0.00	   31.50	    146.52	   78.75	    101.25	    2.15	    3.30	   7.92	    12.54	    
m2c78r1.htb	 16.34	    0.16	   0.62	   0.07	   0.00	   174.95	    51.22	   101.25	    56.25	    32.08	    8.71	   49.90	    75.25	    
m2c79r1.htb	 3.96	    0.18	   0.49	   0.01	   0.00	   253.30	    51.34	   292.50	    337.50	    8.71	    7.52	   17.23	    53.66	    
m2c81r1.htb	 47.81	    0.09	   0.48	   0.03	   0.00	   198.09	    320.17	   157.50	    78.75	    78.38	    51.49	   100.83	    85.48	    
m2c82r1.htb	 5.94	    0.21	   0.40	   0.00	   0.00	   172.13	    17.23	   247.50	    56.25	    10.69	    8.32	   21.19	    21.98	    
m2c84r1.htb	 14.46	    0.69	   0.62	   0.00	   0.00	   158.91	    331.69	   101.25	    78.75	    14.11	    10.10	   43.07	    68.51	    
m2c86r1.htb	 11.63	    0.75	   0.50	   0.00	   0.00	   31.90	    7.54	   123.75	    78.75	    3.30	    0.25	   23.02	    12.38	    
m2c91r1.htb	 2.77	    0.57	   0.43	   0.01	   0.00	   93.74	    104.41	   157.50	    56.25	    0.79	    4.36	   10.30	    23.37	    
m2c93r1.htb	 12.13	    0.67	   0.65	   0.00	   0.00	   13.58	    229.30	   56.25	    78.75	    3.47	    4.21	   20.30	    25.25	    
m2c94r1.htb	 9.31	    0.24	   0.57	   0.00	   0.00	   209.62	    2.41	   78.75	    78.75	    9.70	    12.28	   34.65	    67.13	    
m2c97r1.htb	 24.95	    0.39	   0.75	   0.01	   0.00	   32.03	    30.35	   101.25	    101.25	    23.76	    15.05	   37.43	    123.56	    
m2c98r1.htb	 22.18	    0.45	   0.43	   0.00	   0.00	   83.56	    291.07	   101.25	    101.25	    20.79	    13.07	   49.70	    54.46	    
m2c99r1.htb	 19.47	    0.48	   0.77	   0.07	   0.00	   181.21	    90.67	   123.75	    56.25	    18.42	    7.33	   34.26	    36.83	    
m2c100r1.htb	 29.70	    0.44	   0.73	   0.03	   0.00	   180.15	    95.08	   101.25	    78.75	    29.00	    13.30	   43.14	    44.70	    
m2c101r1.htb	 22.35	    0.21	   0.69	   0.02	   0.00	   174.73	    106.93	   56.25	    78.75	    26.73	    12.02	   37.79	    30.36	    
m2c103r1.htb	 7.52	    0.27	   0.62	   0.00	   0.00	   275.50	    317.29	   22.50	    22.50	    8.71	    4.75	   25.54	    49.70	    
m2c109r1.htb	 1.98	    309.02	   193.11	   0.00	   0.00	   -0.58	    7.54	   -0.87	    1.54	    
m2c110r1.htb	 2.57	    0.27	   0.54	   0.00	   0.00	   331.12	    181.72	   56.25	    123.75	    9.16	    2.23	   24.75	    28.22	    
m2c116r1.htb	 15.45	    0.27	   0.74	   0.04	   0.00	   350.03	    30.96	   78.75	    101.25	    14.11	    1.49	   25.50	    102.23	    
m2c119r1.htb	 72.94	    0.38	   0.12	   0.08	   0.01	   173.90	    30.16	   78.75	    101.25	    58.61	    25.35	   82.38	    53.66	    
m2c121r1.htb	 9.90	    0.12	   0.59	   0.00	   0.04	   349.31	    34.05	   78.75	    56.25	    6.93	    3.96	   22.97	    12.48	    
m2c125r1.htb	 8.42	    0.19	   0.77	   0.03	   0.00	   282.30	    39.29	   123.75	    101.25	    8.91	    2.15	   20.46	    58.09	    
