FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c162r1.htb	 15.64	    231.37	   215.66	   0.92	   0.00	   
m2c163r1.htb	 9.31	    266.67	   339.29	   0.45	   0.20	   
m2c168r1.htb	 1.73	    159.98	   62.07	   -0.10	   0.77	   
m2c170r1.htb	 23.76	    187.34	   19.80	   -0.79	   0.01	   
m2c172r1.htb	 8.66	    346.91	   139.92	   -0.48	   0.16	   
m2c174r1.htb	 11.09	    157.13	   156.85	   0.95	   0.00	   
m2c175r1.htb	 4.95	    151.26	   20.06	   -0.58	   0.08	   
m2c176r1.htb	 7.13	    30.51	   97.23	   0.21	   0.56	   
m2c177r1.htb	 7.10	    53.63	   101.35	   0.07	   0.84	   
m2c178r1.htb	 19.60	    108.47	   141.69	   -0.23	   0.52	   
m2c179r1.htb	 11.88	    33.64	   12.33	   0.32	   0.36	   
m2c180r1.htb	 17.33	    286.64	   338.34	   0.48	   0.16	   
m2c181r1.htb	 18.02	    112.09	   218.88	   -0.35	   0.32	   
m2c182r1.htb	 10.23	    46.56	   251.35	   -0.80	   0.01	   
m2c183r1.htb	 25.15	    201.80	   304.07	   0.29	   0.42	   
m2c184r1.htb	 25.74	    179.88	   315.75	   -0.44	   0.20	   
m2c185r1.htb	 20.59	    10.42	   53.40	   0.73	   0.02	   
m2c186r1.htb	 22.18	    355.02	   161.39	   -0.70	   0.02	   
m2c187r1.htb	 7.92	    78.70	   72.81	   0.70	   0.02	   
m2c189r1.htb	 7.72	    258.87	   349.58	   0.34	   0.34	   
m2c190r1.htb	 7.13	    328.11	   153.58	   -0.81	   0.00	   
m2c191r1.htb	 21.78	    312.07	   105.76	   -0.33	   0.35	   
m2c193r1.htb	 22.57	    233.78	   212.94	   0.73	   0.02	   
m2c195r1.htb	 1.73	    255.51	   287.19	   0.48	   0.16	   
m2c196r1.htb	 18.42	    15.25	   23.65	   0.92	   0.00	   
m2c197r1.htb	 13.37	    36.18	   29.32	   0.56	   0.09
m2c198r1.htb	 5.15	    25.45	   215.80	   -0.24	   0.51
m2c199r1.htb	 32.87	    102.76	   80.74	   0.70	   0.02	   
m2c200r1.htb	 6.93	    25.54	   23.30	   0.84	   0.00	   
m2c202r1.htb	 29.70	    125.60	   83.18	   0.27	   0.44	   
m2c214r1.htb	 14.85	    156.98	   156.57	   0.66	   0.04	   
m2c220r1.htb	 4.36	    12.83	   172.93	   -0.52	   0.12	   
m2c221r1.htb	 12.67	    16.36	   234.52	   -0.71	   0.02	   
m2c223r1.htb	 5.66	    5.65	   208.43	   -0.28	   0.43	   
m2c226r1.htb	 16.83	    352.21	   349.22	   0.96	   0.00	   
m2c231r1.htb	 34.85	    305.06	   192.26	   -0.28	   0.43	   
m2c233r1.htb	 23.17	    251.78	   256.11	   0.89	   0.00	   
m2c236r1.htb	 8.20	    179.99	   208.17	   0.81	   0.00	   
m2c237r1.htb	 22.49	    147.96	   111.38	   0.73	   0.02	   
m2c240r1.htb	 25.35	    96.26	   33.94	   0.29	   0.41	   
m2c241r1.htb	 14.46	    259.34	   123.13	   -0.15	   0.68	   
m2c242r1.htb	 40.79	    138.82	   130.62	   0.95	   0.00	   
m2c244r1.htb	 7.76	    28.53	   300.90	   0.25	   0.48	   
m2c247r1.htb	 23.10	    148.67	   136.76	   0.83	   0.00	   
m2c252r1.htb	 13.47	    175.30	   38.90	   -0.52	   0.12	   
m2c254r1.htb	 4.16	    6.23	   7.43	   0.74	   0.02	   
m2c258r1.htb	 8.91	    2.23	   177.82	   -0.64	   0.05	   
m2c260r1.htb	 10.69	    332.04	   208.24	   -0.48	   0.16	   
m2c262r1.htb	 1.13	    312.24	   131.04	   -0.65	   0.04	   
