FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c66r1.htb 3.630 16.713 65.028 0.000 0.000 7.261 8.251 9.901 3.465 2.574 2.145 2.805 2.772 2.805 4.356 1.954 1.072 1.469 0.828 0.970 0.652 0.904 0.198 0.812 1.760 10.693 14.851 16.172 15.512 5.743 5.116 6.535 3.630 3.135 2.574 1.229 0.626 1.473 1.108 0.960 0.859 0.804 0.723 0.333 1.066 
m2c67r1.htb 12.079 44.826 125.836 0.000 0.000 15.248 14.455 16.832 17.822 12.673 12.079 8.911 10.495 9.307 13.663 1.192 2.118 1.526 0.926 1.460 2.852 1.400 1.426 0.564 1.729 4.752 8.119 7.129 39.604 40.594 24.752 18.218 12.079 9.109 5.743 0.886 1.073 1.693 4.876 2.778 1.750 1.338 0.886 1.418 0.886 
m2c70r1.htb 18.812 317.173 0.515 0.000 0.019 21.584 17.228 17.030 10.693 12.277 10.495 15.050 12.277 21.980 39.802 0.886 2.285 2.743 1.799 1.589 2.175 3.560 1.291 2.460 6.137 18.614 17.030 14.653 11.287 11.089 12.475 10.891 11.287 10.297 19.406 2.510 0.813 1.657 1.664 0.952 1.192 2.620 3.369 1.338 1.771 
m2c71r1.htb 27.327 5.178 212.545 0.002 0.000 33.267 30.495 34.653 21.980 21.188 16.040 18.614 17.822 23.762 22.574 4.572 3.040 5.274 1.930 2.587 5.539 3.040 4.316 4.469 3.139 17.822 14.059 15.644 29.703 25.941 37.030 39.010 47.129 45.545 27.723 1.443 2.852 1.693 2.711 3.139 3.239 5.007 4.921 4.287 2.129 
m2c72r1.htb 11.287 177.478 117.247 0.000 0.000 14.059 8.119 9.505 20.198 18.416 23.960 23.960 22.574 15.248 14.851 0.952 1.374 1.426 2.680 0.899 4.028 2.460 3.197 1.140 2.214 22.574 27.129 25.941 43.960 64.554 59.604 32.277 18.020 18.614 21.386 1.693 3.715 3.197 2.770 1.657 3.982 1.589 4.163 1.328 2.440 
m2c77r1.htb 7.779 31.505 146.516 0.043 0.000 5.116 7.921 6.436 3.960 3.465 3.630 2.145 2.640 4.526 2.805 1.643 1.252 1.276 1.252 1.213 0.957 1.169 0.871 1.509 0.518 7.426 6.931 6.436 6.271 12.541 10.066 10.891 8.746 3.465 3.300 0.918 0.840 0.672 0.605 1.764 1.169 1.048 1.100 0.728 0.871 
m2c78r1.htb 16.337 174.954 51.224 0.065 0.000 32.079 32.079 40.990 36.040 49.901 48.911 40.198 44.950 35.248 33.663 8.650 6.307 7.247 6.008 6.980 10.003 4.450 3.103 6.403 2.865 58.812 75.248 55.050 60.198 53.465 40.990 13.465 20.396 8.713 31.881 5.281 6.033 6.573 8.563 3.189 6.489 2.440 6.403 2.279 4.250 
m2c79r1.htb 3.960 253.302 51.343 0.011 0.000 8.911 9.703 10.891 8.713 8.911 9.109 10.891 10.495 17.228 8.911 1.485 0.886 2.734 0.645 0.783 2.916 2.241 2.440 2.610 1.262 45.743 53.663 48.515 50.099 40.198 30.495 12.277 8.515 7.525 25.941 2.743 1.418 3.150 1.701 1.771 2.874 1.664 0.751 1.589 3.793 
m2c81r1.htb 47.808 198.090 320.169 0.032 0.000 84.983 81.848 81.518 78.383 84.488 84.983 100.825 92.244 82.013 81.353 2.140 2.637 3.527 3.613 6.829 2.212 3.709 4.333 4.223 4.091 73.597 69.142 64.521 52.970 54.455 52.310 51.485 59.241 80.363 85.479 3.089 6.618 2.573 1.421 2.536 3.124 2.642 4.813 3.514 2.824 
m2c82r1.htb 5.941 172.131 17.234 0.001 0.000 13.861 12.871 15.248 12.871 16.040 17.030 21.188 18.218 10.693 11.881 1.980 0.990 2.118 2.322 2.510 3.383 1.469 2.338 1.542 1.356 21.980 21.386 15.050 18.614 16.634 10.891 8.317 9.109 12.475 19.406 2.384 3.181 1.619 2.023 1.729 1.949 1.291 0.952 1.805 2.338 
m2c84r1.htb 14.455 158.915 331.687 0.000 0.000 15.842 15.248 23.762 26.485 37.376 41.980 43.069 26.139 17.426 14.109 0.495 1.338 2.400 1.685 2.404 2.440 3.845 2.089 1.736 2.300 65.347 40.000 35.644 21.040 19.059 14.604 10.099 28.218 46.040 68.515 4.162 1.589 2.620 4.266 1.302 1.533 1.281 0.639 3.442 3.793 
m2c86r1.htb 11.634 31.897 7.536 0.000 0.000 20.297 23.020 21.287 20.050 14.356 6.931 5.198 3.300 8.251 13.614 1.896 1.889 1.190 1.574 1.190 0.000 1.268 0.660 1.838 0.547 11.634 10.891 11.221 4.290 2.475 2.970 1.733 0.248 1.980 12.376 1.707 3.025 0.873 1.439 0.990 0.990 0.719 0.286 0.933 2.113 
m2c91r1.htb 2.772 93.736 104.406 0.006 0.001 3.762 7.921 6.535 6.139 8.119 10.297 5.347 0.792 1.980 4.158 1.693 2.666 0.899 0.952 2.874 2.285 1.027 0.645 0.495 1.962 7.921 14.455 20.990 23.366 19.604 20.000 8.119 9.505 7.723 4.356 2.620 3.084 2.141 2.539 3.490 5.371 1.328 2.258 2.141 3.511 
m2c93r1.htb 12.129 13.579 229.298 0.001 0.000 20.050 20.297 10.891 8.168 13.119 5.198 3.465 4.950 7.178 11.139 2.442 3.748 1.476 2.929 3.657 1.268 0.738 1.924 1.889 2.853 7.673 4.208 7.178 17.079 9.901 12.376 13.366 20.990 25.248 12.624 2.929 0.719 1.268 1.574 2.139 2.970 2.535 4.285 3.317 5.100 
m2c94r1.htb 9.307 209.624 2.412 0.003 0.000 17.822 14.851 9.703 16.634 18.614 21.782 34.653 26.139 16.832 27.129 4.052 3.914 3.216 2.605 2.279 2.214 6.824 2.792 2.620 3.369 67.129 51.485 53.069 33.861 21.980 14.257 12.277 13.663 23.168 60.396 3.455 6.378 5.176 6.645 4.163 3.003 2.175 1.374 1.771 12.573 
m2c97r1.htb 24.950 32.027 30.347 0.005 0.000 33.267 37.426 31.881 33.267 23.762 25.743 24.752 31.485 27.921 27.129 2.792 1.619 3.197 1.805 1.310 2.711 2.865 2.874 3.936 1.936 97.426 123.564 121.782 79.208 30.297 15.050 15.050 16.040 19.208 53.663 3.084 3.841 3.671 2.908 2.118 2.053 2.359 4.088 3.423 2.852 
m2c98r1.htb 22.178 83.559 291.072 0.000 0.000 38.218 41.386 44.554 49.703 44.158 40.000 34.455 27.525 20.792 28.317 5.116 3.119 2.450 1.993 1.771 1.338 2.053 3.216 1.949 1.627 21.980 18.812 17.228 42.772 14.059 13.069 17.030 30.693 54.455 38.812 1.619 1.262 2.146 3.695 0.886 0.813 1.374 2.778 1.679 0.886 
m2c99r1.htb 19.472 181.213 90.669 0.075 0.000 22.178 21.386 18.416 20.792 22.574 28.317 34.257 25.347 23.168 21.584 3.201 2.285 1.627 3.638 3.841 3.387 3.580 2.770 3.064 3.158 23.366 23.564 31.881 36.832 33.663 27.723 17.228 12.673 9.109 7.327 2.634 2.485 4.133 3.793 1.785 2.822 1.936 1.619 1.015 1.338 
m2c100r1.htb 29.703 180.152 95.076 0.026 0.000 34.936 28.996 30.410 32.390 41.749 35.502 43.140 34.795 31.966 30.363 3.999 2.739 2.532 2.295 3.166 2.900 2.019 3.020 3.004 2.578 24.470 32.343 34.795 44.696 41.726 35.078 25.318 16.407 15.276 13.296 2.070 3.032 3.852 2.624 3.831 1.713 1.760 2.332 1.275 1.908 
m2c101r1.htb 22.348 174.727 106.929 0.020 0.000 29.373 26.733 33.003 34.158 33.828 37.789 36.964 32.178 34.653 29.373 1.108 2.814 1.304 2.608 2.400 3.124 2.782 0.728 1.048 2.252 15.017 22.631 22.442 30.363 26.568 27.723 19.472 14.686 14.427 12.023 2.122 2.249 1.808 2.234 2.367 2.715 1.974 1.736 1.531 1.543 
m2c103r1.htb 7.525 275.496 317.289 0.001 0.000 25.545 13.465 10.099 8.713 11.881 17.624 21.188 23.168 23.168 24.752 6.439 2.941 3.040 1.542 3.553 2.765 3.860 3.084 5.822 2.322 39.604 18.416 15.644 12.475 12.673 4.752 8.317 19.802 37.030 49.703 3.976 2.634 2.023 1.999 3.119 1.374 1.701 2.991 5.618 4.447 
m2c109r1.htb 1.980 309.019 193.108 0.000 0.000 11.683 5.743 5.545 1.782 4.158 1.485 4.950 8.911 6.683 11.139 2.252 1.129 1.192 0.645 1.182 0.286 1.939 1.069 2.036 1.636 5.149 1.782 1.188 1.238 14.851 16.040 24.752 15.446 4.950 8.515 2.023 0.414 0.542 0.623 1.161 4.307 4.037 3.239 1.213 1.839 
m2c110r1.htb 2.574 331.122 181.720 0.003 0.000 22.525 19.059 10.396 9.158 9.901 9.901 10.644 15.099 15.347 24.752 3.596 2.208 3.919 2.486 1.924 1.476 1.178 1.503 3.446 1.924 6.683 2.970 2.228 4.950 13.861 25.248 28.218 19.554 5.941 9.158 0.976 1.320 0.547 0.467 1.808 2.008 3.539 4.791 2.034 1.429 
m2c116r1.htb 15.446 350.032 30.956 0.037 0.000 21.040 25.495 24.752 18.069 15.594 14.109 18.069 21.040 19.554 18.812 2.001 2.486 2.189 0.857 2.208 1.889 3.859 2.486 2.853 2.800 75.990 94.059 102.228 60.891 15.842 3.713 1.485 4.950 4.455 36.386 4.859 2.915 2.397 1.190 2.034 1.429 0.330 1.320 1.953 2.486 
