FILE	 Spon	 VesPref	 VisPref	 VesP	 VisP	 VesDDI	 VisDDI	 Congruency
m6c1r1.htb	 7.327	 169.452	 202.084	 0.000	 0.407	 2.280	 0.703	 0.702	 
m6c1r2.htb	 8.911	 180.405	 185.304	 0.326	 0.557	 0.404	 -0.221	 -0.325	 
m6c1r1.htb	 7.327	 169.452	 202.084	 0.000	 0.407	 2.280	 0.703	 0.702	 
m6c1r2.htb	 8.911	 180.405	 185.304	 0.326	 0.557	 0.404	 -0.221	 -0.325	 
m6c2r1.htb	 30.693	 309.461	 13.280	 0.774	 0.693	 -0.676	 -0.106	 -0.115	 
m6c3r1.htb	 7.129	 265.277	 196.292	 0.614	 0.060	 -0.076	 0.786	 -0.322	 
m6c4r1.htb	 14.653	 270.893	 122.913	 0.520	 0.292	 -0.044	 0.000	 -0.148	 
m6c5r1.htb	 0.000	 352.139	 345.036	 0.825	 0.355	 -0.632	 -1.337	 0.401	 
m6c6r1.htb	 14.059	 30.445	 144.263	 0.501	 0.289	 -0.098	 0.434	 -0.079	 
m6c7r1.htb	 9.901	 240.115	 129.012	 0.812	 0.938	 0.248	 0.642	 0.225	 
m6c8r1.htb	 13.069	 150.125	 85.143	 0.066	 0.680	 0.731	 0.169	 -0.022	 
m6c10r1.htb	 10.891	 45.760	 58.755	 0.190	 0.527	 -1.448	 -0.035	 0.319	 
m6c11r1.htb	 12.475	 267.510	 234.672	 0.468	 0.724	 -0.330	 0.273	 0.061	 
m6c13r1.htb	 23.762	 122.328	 214.687	 0.035	 0.318	 1.453	 0.908	 0.145	 
m6c13r2.htb	 6.535	 273.035	 285.146	 0.020	 0.314	 1.038	 0.945	 0.306	 
m6c14r1.htb	 9.901	 39.522	 198.237	 0.141	 0.586	 -1.095	 0.696	 -0.781	 
m6c15r1.htb	 24.356	 161.679	 177.078	 0.816	 0.000	 1.159	 8.062	 0.530	 
m6c16r1.htb	 6.064	 9.376	 0.278	 0.077	 
m6c17r1.htb	 6.337	 254.541	 84.128	 0.887	 0.825	 -0.545	 -0.246	 -0.220	 
m6c18r1.htb	 1.782	 274.196	 124.945	 0.303	 0.297	 -1.760	 0.674	 -0.286	 
m6c20r1.htb	 5.375	 135.471	 0.696	 0.077	 
m6c24r1.htb	 4.950	 202.717	 150.265	 0.665	 0.208	 -1.091	 1.424	 -0.312	 
m6c25r2.htb	 1.320	 185.361	 NaN	 0.000	 
m6c28r1.htb	 62.871	 249.828	 175.506	 0.540	 0.929	 -0.659	 1.400	 -0.558	 
m6c29r1.htb	 36.238	 264.791	 145.921	 0.960	 0.087	 0.636	 2.142	 0.247	 
m6c31r1.htb	 1.320	 62.318	 231.070	 0.749	 0.828	 -0.577	 0.829	 -0.230	 
m6c32r1.htb	 42.772	 263.668	 279.224	 0.972	 0.942	 -0.365	 0.431	 -0.082	 
m6c33r1.htb	 6.931	 344.134	 11.977	 0.588	 0.493	 -1.342	 -2.078	 0.315	 
m6c34r1.htb	 29.373	 272.143	 180.000	 0.548	 0.537	 -0.000	 -0.065	 -0.383	 
m6c35r2.htb	 5.149	 80.466	 0.005	 1.058	 
m6c36r1.htb	 20.050	 159.243	 328.064	 0.659	 0.053	 0.153	 0.435	 0.273	 
m6c37r1.htb	 23.366	 221.448	 238.367	 0.198	 0.010	 -1.267	 -0.031	 0.511	 
m6c38r1.htb	 9.901	 79.276	 199.222	 0.489	 0.026	 0.672	 1.117	 0.139	 
m6c40r1.htb	 2.228	 12.597	 21.403	 0.174	 0.000	 0.826	 -5.735	 -0.217	 
m6c42r1.htb	 3.762	 119.156	 346.295	 0.349	 0.026	 0.094	 -0.499	 -0.544	 
m6c43r1.htb	 9.109	 157.500	 284.542	 0.003	 0.055	 0.553	 0.178	 0.766	 
m6c44r1.htb	 1.320	 219.639	 0.729	 0.957	 
m6c45r1.htb	 40.842	 232.581	 156.413	 0.214	 0.111	 0.292	 1.015	 0.214	 
m6c46r1.htb	 41.832	 239.240	 96.578	 0.179	 0.022	 1.104	 0.373	 0.015	 
m6c47r1.htb	 26.733	 211.128	 349.080	 0.152	 0.010	 0.634	 -3.289	 -0.200	 
m6c48r1.htb	 19.472	 144.105	 0.142	 0.699	 
m6c49r1.htb	 21.386	 217.130	 218.578	 0.409	 0.023	 0.498	 1.459	 0.128	 
m6c50r1.htb	 1.980	 264.143	 162.225	 0.910	 0.789	 -0.200	 0.770	 -0.228	 
m6c51r1.htb	 8.416	 139.464	 265.470	 0.257	 0.137	 0.664	 -0.579	 -0.437	 
m6c52r1.htb	 13.267	 43.953	 301.286	 0.746	 0.039	 -0.395	 0.060	 -0.424	 
m6c53r1.htb	 4.455	 234.278	 298.675	 NaN	 NaN	 NaN	 -1.000	 -0.358	 
m6c54r1.htb	 38.366	 352.839	 318.797	 0.105	 0.255	 0.909	 0.316	 0.623	 
m6c55r1.htb	 9.703	 232.327	 273.087	 0.217	 0.000	 0.316	 0.361	 0.359	 
m6c56r1.htb	 17.574	 131.385	 176.581	 0.909	 0.000	 -0.517	 6.338	 -0.069	 
m6c57r1.htb	 9.505	 162.286	 275.800	 0.204	 0.000	 0.521	 0.186	 -0.360	 
m6c58r1.htb	 19.208	 359.183	 120.004	 0.495	 0.259	 -1.935	 0.175	 -0.019	 
m6c59r1.htb	 37.822	 235.982	 234.938	 0.004	 0.007	 -0.819	 0.628	 0.713	 
m6c60r1.htb	 2.574	 111.988	 155.741	 0.029	 0.012	 1.139	 0.709	 0.315	 
m6c61r1.htb	 30.693	 143.839	 279.371	 0.853	 0.000	 1.111	 -0.037	 -0.382	 
m6c62r1.htb	 14.851	 315.527	 308.811	 0.292	 0.000	 -1.023	 -1.694	 0.277	 
m6c63r1.htb	 60.396	 34.535	 243.043	 0.826	 0.002	 0.048	 3.670	 -0.306	 
m6c64r1.htb	 22.574	 326.379	 290.870	 0.036	 0.000	 -0.036	 0.816	 0.565	 
m6c65r1.htb	 23.102	 299.117	 313.327	 0.218	 0.000	 -0.770	 -6.647	 0.319	 
m6c66r1.htb	 9.406	 100.265	 225.743	 0.343	 0.000	 1.574	 -0.816	 -0.301	 
m6c67r1.htb	 1.980	 198.265	 116.126	 0.363	 0.446	 -0.480	 0.906	 -0.103	 
m6c68r1.htb	 7.426	 269.812	 58.331	 0.113	 0.000	 -0.757	 -10.611	 -0.599	 
m6c69r1.htb	 18.416	 110.937	 218.540	 0.236	 0.000	 1.230	 2.099	 -0.137	 
