FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c66r1.htb 7.261 8.251 9.901 3.465 2.574 2.145 2.805 2.772 2.805 4.356 
m2c67r1.htb 15.248 14.455 16.832 17.822 12.673 12.079 8.911 10.495 9.307 13.663 
m2c70r1.htb 21.584 17.228 17.030 10.693 12.277 10.495 15.050 12.277 21.980 39.802 
m2c71r1.htb 33.267 30.495 34.653 21.980 21.188 16.040 18.614 17.822 23.762 22.574 
m2c72r1.htb 14.059 8.119 9.505 20.198 18.416 23.960 23.960 22.574 15.248 14.851 
m2c77r1.htb 5.116 7.921 6.436 3.960 3.465 3.630 2.145 2.640 4.526 2.805 
m2c78r1.htb 32.079 32.079 40.990 36.040 49.901 48.911 40.198 44.950 35.248 33.663 
m2c79r1.htb 8.911 9.703 10.891 8.713 8.911 9.109 10.891 10.495 17.228 8.911 
m2c81r1.htb 84.983 81.848 81.518 78.383 84.488 84.983 100.825 92.244 82.013 81.353 
m2c82r1.htb 13.861 12.871 15.248 12.871 16.040 17.030 21.188 18.218 10.693 11.881 
m2c84r1.htb 15.842 15.248 23.762 26.485 37.376 41.980 43.069 26.139 17.426 14.109 
m2c86r1.htb 20.297 23.020 21.287 20.050 14.356 6.931 5.198 3.300 8.251 13.614 
m2c91r1.htb 3.762 7.921 6.535 6.139 8.119 10.297 5.347 0.792 1.980 4.158 
m2c93r1.htb 20.050 20.297 10.891 8.168 13.119 5.198 3.465 4.950 7.178 11.139 
m2c94r1.htb 17.822 14.851 9.703 16.634 18.614 21.782 34.653 26.139 16.832 27.129 
m2c97r1.htb 33.267 37.426 31.881 33.267 23.762 25.743 24.752 31.485 27.921 27.129 
m2c98r1.htb 38.218 41.386 44.554 49.703 44.158 40.000 34.455 27.525 20.792 28.317 
m2c99r1.htb 22.178 21.386 18.416 20.792 22.574 28.317 34.257 25.347 23.168 21.584 
m2c100r1.htb 34.936 28.996 30.410 32.390 41.749 35.502 43.140 34.795 31.966 30.363 
m2c101r1.htb 29.373 26.733 33.003 34.158 33.828 37.789 36.964 32.178 34.653 29.373 
m2c103r1.htb 25.545 13.465 10.099 8.713 11.881 17.624 21.188 23.168 23.168 24.752 
m2c109r1.htb 11.683 5.743 5.545 1.782 4.158 1.485 4.950 8.911 6.683 11.139 
m2c110r1.htb 22.525 19.059 10.396 9.158 9.901 9.901 10.644 15.099 15.347 24.752 
m2c116r1.htb 21.040 25.495 24.752 18.069 15.594 14.109 18.069 21.040 19.554 18.812 
m2c119r1.htb 67.525 60.231 64.158 80.792 71.881 74.851 82.376 81.584 58.614 80.990 
m2c121r1.htb 19.406 12.475 6.931 19.604 11.089 19.208 10.891 18.416 14.059 22.970 
m2c125r1.htb 17.228 14.851 19.802 16.832 16.172 8.911 14.026 20.462 20.396 13.267 
m2c126r1.htb 53.135 37.129 32.178 26.485 31.188 35.974 31.683 47.030 56.766 66.667 
m2c127r1.htb 14.356 19.554 18.564 18.812 16.337 15.347 13.119 13.366 14.851 15.842 
m2c128r1.htb 24.554 26.733 25.248 24.356 17.079 20.396 19.554 25.248 24.950 22.277 
m2c129r1.htb 2.475 0.000 1.733 2.475 2.970 7.178 7.921 4.290 0.330 0.248 
m2c130r1.htb 5.446 4.703 9.901 13.861 10.891 10.644 8.168 2.475 4.703 3.713 
m2c131r1.htb 1.485 0.495 3.465 4.158 7.525 6.436 8.168 4.950 1.238 0.990 
m2c134r1.htb 17.492 20.462 15.512 9.901 9.571 7.921 5.281 8.251 14.851 21.452 
m2c135r1.htb 25.413 21.782 17.574 16.172 13.366 12.624 12.211 13.614 22.772 24.092 
m2c137r1.htb 36.634 39.109 34.653 28.053 47.030 79.208 103.465 110.891 84.653 55.116 
m2c138r1.htb 17.822 21.386 18.482 23.564 17.228 16.040 15.842 12.277 12.871 15.050 
m2c139r1.htb 37.294 36.634 37.954 36.634 29.703 26.073 24.752 12.211 22.772 25.000 
m2c140r1.htb 28.465 28.465 27.228 16.337 2.475 2.970 5.198 12.129 3.960 16.337 
m2c141r1.htb 21.584 24.950 20.396 15.677 12.277 14.653 20.000 20.396 16.040 22.178 
m2c143r1.htb 42.772 38.218 31.881 34.455 35.842 42.178 45.347 46.931 38.416 38.416 
m2c144r1.htb 18.317 18.564 19.307 16.584 21.782 25.990 35.149 39.109 28.713 16.584 
m2c145r1.htb 12.129 11.386 11.634 18.317 20.792 29.208 18.812 29.950 15.099 16.089 
m2c148r1.htb 46.337 50.297 39.604 37.228 33.267 45.545 45.347 49.307 42.376 42.376 
m2c149r1.htb 9.406 7.921 7.673 13.861 12.376 18.317 25.248 29.455 22.030 9.158 
m2c150r1.htb 33.416 18.317 15.594 18.812 17.327 16.337 21.287 18.317 32.178 41.584 
m2c151r1.htb 7.178 7.129 6.733 10.891 18.564 20.545 18.069 11.287 12.277 12.079 
m2c152r1.htb 11.881 8.911 7.426 4.703 4.455 7.673 10.891 12.624 24.752 20.198 
m2c155r1.htb 34.323 28.713 24.422 21.782 18.812 14.521 14.191 14.851 21.122 37.294 
m2c157r1.htb 7.921 7.673 20.297 29.208 42.822 64.604 63.168 52.970 23.515 11.634 
m2c158r1.htb 10.891 16.040 32.277 72.277 82.178 87.327 92.079 52.277 12.475 6.931 
m2c159r1.htb 63.762 46.337 48.317 26.931 20.792 26.139 22.970 28.119 39.802 58.020 
m2c160r1.htb 58.416 51.287 52.475 53.267 49.505 48.119 44.356 45.743 56.040 54.059 
