FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c66r1.htb -2.633 -3.752 
m2c67r1.htb -1.392 7.273 
m2c70r1.htb -1.060 -1.319 
m2c71r1.htb -1.621 2.042 
m2c72r1.htb 3.737 7.583 
m2c77r1.htb -1.067 2.046 
m2c78r1.htb 0.626 -0.153 
m2c79r1.htb -0.492 -1.627 
m2c81r1.htb 0.244 -1.762 
m2c82r1.htb 0.171 0.473 
m2c84r1.htb 2.834 -4.009 
m2c86r1.htb -3.363 -5.409 
m2c91r1.htb 0.372 -0.239 
m2c93r1.htb 0.461 0.894 
m2c94r1.htb 1.599 -3.310 
m2c97r1.htb -1.662 -15.263 
m2c98r1.htb -0.093 -0.965 
m2c99r1.htb 0.705 0.280 
m2c100r1.htb 1.615 0.737 
m2c101r1.htb 0.191 0.876 
m2c103r1.htb 0.270 -0.565 
m2c109r1.htb -0.584 7.540 
m2c110r1.htb -0.093 5.029 
m2c116r1.htb -2.405 -22.435 
m2c119r1.htb 0.563 -2.543 
m2c121r1.htb 1.338 -0.369 
m2c125r1.htb -0.542 -8.451 
m2c126r1.htb -0.148 -7.258 
m2c127r1.htb -1.308 -11.959 
m2c128r1.htb -2.531 -17.721 
m2c129r1.htb 0.727 5.698 
m2c130r1.htb 0.261 3.644 
m2c131r1.htb 1.415 6.374 
m2c134r1.htb -1.964 5.293 
m2c135r1.htb -1.064 3.756 
m2c137r1.htb 0.961 10.298 
m2c138r1.htb -0.195 -4.099 
m2c139r1.htb -1.929 1.414 
m2c140r1.htb -4.287 -11.632 
m2c141r1.htb -2.016 0.564 
m2c143r1.htb 0.556 0.091 
m2c144r1.htb 0.519 12.882 
m2c145r1.htb 1.695 3.421 
m2c148r1.htb -1.129 0.348 
m2c149r1.htb 1.355 10.666 
m2c150r1.htb 0.322 -1.497 
m2c151r1.htb 6.833 5.530 
m2c152r1.htb -0.933 0.276 
m2c155r1.htb -1.625 3.834 
m2c157r1.htb 3.742 7.934 
m2c158r1.htb 5.024 7.877 
m2c159r1.htb -2.885 -0.630 
m2c160r1.htb -1.177 -0.753 
m2c161r1.htb 2.303 2.477 
m2c162r1.htb -0.797 0.512 
m2c163r1.htb -0.172 -2.830 
m2c168r1.htb 2.165 1.414 
m2c170r1.htb 1.877 -8.089 
m2c172r1.htb -1.828 3.378 
m2c174r1.htb 3.663 4.413 
m2c175r1.htb 0.125 0.577 
m2c176r1.htb -0.337 -1.000 
m2c177r1.htb 3.396 -0.814 
m2c178r1.htb 0.349 3.716 
m2c179r1.htb -2.636 -0.460 
m2c180r1.htb -0.680 -3.757 
m2c181r1.htb 1.524 1.203 
m2c182r1.htb -0.085 1.090 
m2c183r1.htb 0.644 0.129 
m2c184r1.htb 2.357 -2.281 
m2c185r1.htb -9.871 -3.216 
m2c186r1.htb 0.483 -0.826 
m2c187r1.htb 0.728 0.208 
m2c189r1.htb 0.716 0.529 
m2c190r1.htb -0.059 3.444 
m2c191r1.htb -2.667 -1.290 
m2c193r1.htb 0.538 7.841 
m2c195r1.htb 1.219 -1.420 
m2c196r1.htb -5.445 -5.493 
m2c197r1.htb -0.221 -9.371 
m2c198r1.htb -2.601 -1.277 
m2c199r1.htb 0.676 1.004 
m2c200r1.htb -2.530 -13.694 
m2c202r1.htb 1.422 0.678 
m2c214r1.htb 0.752 5.820 
m2c220r1.htb -1.394 4.021 
m2c221r1.htb -2.716 0.671 
m2c223r1.htb -0.000 3.115 
m2c226r1.htb -2.285 -2.123 
m2c231r1.htb -0.076 13.420 
m2c233r1.htb 1.124 0.266 
m2c236r1.htb 1.938 7.316 
m2c237r1.htb 1.648 5.756 
m2c240r1.htb -0.517 -1.531 
m2c241r1.htb 1.811 1.448 
m2c242r1.htb 1.068 5.770 
m2c244r1.htb -0.251 -0.510 
m2c247r1.htb 1.279 4.267 
m2c252r1.htb 0.586 -6.101 
m2c254r1.htb -1.118 -3.867 
m2c258r1.htb -0.218 1.898 
m2c260r1.htb -2.576 0.236 
m2c262r1.htb -0.260 -0.296 
m2c364r1.htb 1.409 5.029 
m2c365r1.htb -1.199 -0.884 
m2c368r1.htb 0.483 -0.237 
m2c369r1.htb -0.095 0.304 
m2c370r1.htb 0.444 0.954 
m2c372r1.htb -0.044 1.812 
m2c374r1.htb 1.867 -2.339 
m2c376r1.htb 2.382 0.435 
m2c378r1.htb 1.010 5.795 
m2c382r1.htb 0.692 -2.943 
m2c384r1.htb -0.347 1.212 
m2c392r1.htb 1.361 0.314 
m2c403r1.htb 1.008 -15.075 
m2c409r1.htb 0.707 -0.917 
m2c417r1.htb -1.336 0.035 
m2c423r1.htb 1.977 -0.202 
m2c427r1.htb 0.365 0.000 
m2c429r1.htb -1.392 -5.669 
m2c436r1.htb 1.715 1.603 
m2c441r1.htb -2.713 -6.819 
m2c443r1.htb -0.464 -3.391 
m2c445r1.htb 2.457 -2.710 
m2c450r1.htb 0.252 -11.031 
m5c4r1.htb 0.023 -0.889 
m5c6r1.htb 0.154 0.189 
m5c7r1.htb 0.521 2.064 
m5c8r1.htb 1.345 -3.225 
m5c13r1.htb 1.601 -4.917 
m5c14r1.htb -0.154 -0.057 
m5c15r1.htb -6.118 1.896 
m5c25r1.htb 0.787 -0.070 
m5c29r1.htb -0.237 -0.589 
m5c30r1.htb 2.002 -0.782 
m5c35r1.htb 0.544 -2.344 
