FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c162r1.htb 15.644 18.317 16.832 15.842 15.594 13.366 21.040 32.079 39.604 32.921 23.515 2.310 3.555 2.334 2.208 0.990 1.574 3.198 1.143 2.736 2.442 11.881 15.594 17.079 15.347 18.564 28.218 39.851 45.297 43.317 16.832 1.320 2.001 1.429 2.113 1.889 1.512 2.397 2.929 0.857 2.238 
m2c163r1.htb 9.307 22.277 13.861 10.149 8.663 9.406 15.842 21.535 19.802 19.307 19.307 5.572 2.287 2.614 0.976 2.357 2.599 1.946 0.933 2.113 0.990 34.653 30.941 21.287 11.139 8.663 14.356 12.624 15.099 25.000 36.881 2.334 0.719 2.661 2.966 2.486 0.990 1.268 0.719 1.268 1.268 
m2c168r1.htb 1.733 4.703 9.653 5.941 11.139 10.891 12.376 10.396 10.644 10.891 6.188 1.268 5.608 1.548 1.707 1.044 1.361 2.008 2.107 2.470 2.351 32.921 35.149 40.594 61.634 46.535 12.624 5.941 17.574 1.238 11.881 2.107 0.572 3.061 4.052 1.548 3.345 1.683 16.985 0.857 3.933 
m2c170r1.htb 23.762 29.208 27.723 24.257 34.406 33.416 38.861 37.624 42.327 30.446 33.911 3.919 2.722 2.403 5.184 3.178 4.338 4.983 3.915 1.503 3.596 30.693 37.426 36.040 16.584 4.950 5.941 2.970 3.218 4.950 23.762 4.850 3.757 2.730 2.656 1.548 2.681 1.683 1.889 1.808 1.235 
m2c172r1.htb 8.663 14.191 15.099 13.366 8.168 5.941 6.601 6.188 2.640 13.366 20.462 1.838 2.158 1.361 1.178 3.025 1.746 3.716 1.439 2.214 1.439 9.653 12.624 14.521 18.482 23.020 22.030 17.822 13.201 11.551 15.842 1.082 1.642 1.320 0.330 1.574 2.442 4.001 0.873 2.877 1.512 
m2c174r1.htb 11.089 6.683 8.168 9.653 15.594 21.287 21.535 21.287 15.099 9.653 3.960 1.889 1.830 1.889 0.857 1.777 0.857 2.113 1.268 1.574 1.235 3.960 4.208 6.683 18.069 26.980 25.743 24.010 12.871 8.168 7.426 0.808 1.429 1.642 1.268 3.378 3.645 4.158 3.763 0.719 2.113 
m2c175r1.htb 4.950 15.347 15.050 20.050 24.010 20.792 24.257 23.366 20.545 18.812 7.921 5.431 1.015 4.070 1.021 0.990 2.304 4.091 1.636 1.213 1.278 9.307 15.594 7.723 7.178 9.158 6.683 2.723 4.950 6.683 9.653 1.589 2.753 1.542 1.478 0.845 0.248 1.422 2.021 2.404 1.422 
m2c176r1.htb 7.129 20.594 28.515 18.020 20.396 16.040 14.059 9.703 10.099 14.653 18.218 5.279 1.502 2.874 1.904 2.999 2.023 2.831 3.040 2.979 2.230 8.317 12.079 27.129 25.941 22.376 14.851 8.515 7.723 10.297 6.337 2.118 1.764 2.029 2.605 2.680 2.778 1.338 2.460 2.680 0.828 
m2c177r1.htb 7.096 12.277 15.446 7.327 11.881 15.248 11.089 6.931 4.752 2.574 10.693 1.140 1.589 1.338 3.621 0.965 4.163 1.917 2.197 0.564 2.765 3.564 3.366 8.713 11.089 6.139 5.545 2.574 3.564 5.149 1.980 1.589 0.828 1.374 3.661 1.764 2.029 0.564 0.751 1.542 0.926 
m2c178r1.htb 19.604 36.634 35.050 33.168 29.950 34.653 39.109 40.594 31.436 23.762 35.891 2.251 3.239 2.442 2.036 1.762 3.196 2.651 3.088 2.425 1.912 14.109 27.228 48.713 61.634 66.089 55.941 35.644 31.188 45.297 17.574 1.422 1.178 2.874 3.167 1.636 2.604 1.949 2.081 2.897 1.912 
m2c179r1.htb 11.881 31.485 33.861 31.881 24.158 20.594 11.485 7.525 5.545 7.921 17.426 2.359 1.962 2.675 4.000 1.418 0.965 1.192 0.965 1.213 0.564 6.931 6.139 8.911 15.248 5.941 3.168 5.347 4.752 5.941 14.455 1.356 1.962 2.186 2.835 4.007 1.502 1.426 2.053 1.565 3.681 
m2c180r1.htb 17.327 23.762 23.564 20.000 16.634 17.624 20.792 24.092 25.149 18.218 25.347 1.819 1.281 1.764 0.734 1.729 3.111 1.870 2.610 2.390 1.589 41.980 33.069 30.099 22.970 20.627 21.782 21.980 25.347 30.693 40.198 2.587 1.243 1.291 1.073 1.229 2.778 1.693 1.805 1.443 1.338 
m2c181r1.htb 18.020 26.139 35.842 50.099 59.802 62.970 60.594 47.723 17.030 5.545 15.050 3.780 5.550 5.269 3.681 2.814 2.053 2.582 3.273 1.243 2.510 13.465 12.871 12.475 19.406 17.822 26.337 24.158 27.129 29.109 23.960 2.059 2.756 1.469 1.968 2.778 2.338 3.295 1.085 3.970 2.252 
m2c182r1.htb 10.231 19.406 21.386 18.614 16.634 18.218 14.653 10.693 5.149 8.515 13.465 1.291 3.239 2.534 2.306 2.089 2.698 2.698 0.645 1.664 1.872 8.911 4.158 4.554 7.525 5.941 11.287 14.059 26.139 44.950 14.257 1.885 1.581 0.564 0.564 0.700 1.999 1.657 1.510 1.291 1.027 
m2c183r1.htb 25.149 36.634 25.941 29.505 26.535 34.059 48.515 61.386 64.752 35.842 32.475 4.975 3.594 2.721 1.962 4.195 2.214 2.071 5.418 2.743 2.652 29.703 21.980 19.604 14.851 20.198 22.574 25.743 22.970 21.386 29.703 1.750 3.040 2.083 2.643 2.490 1.693 2.734 2.410 3.665 3.189 
