FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c66r1.htb 7.261 8.251 9.901 3.465 2.574 2.145 2.805 2.772 2.805 4.356 4.368 2.398 3.284 1.852 2.169 1.457 2.021 0.443 1.817 3.936 
m2c67r1.htb 15.248 14.455 16.832 17.822 12.673 12.079 8.911 10.495 9.307 13.663 2.384 4.235 3.052 1.852 2.920 5.705 2.800 2.852 1.129 3.458 
m2c70r1.htb 21.584 17.228 17.030 10.693 12.277 10.495 15.050 12.277 21.980 39.802 1.771 4.569 5.486 3.597 3.178 4.350 7.119 2.582 4.921 12.275 
m2c71r1.htb 33.267 30.495 34.653 21.980 21.188 16.040 18.614 17.822 23.762 22.574 9.144 6.079 10.548 3.860 5.173 11.078 6.079 8.631 8.938 6.278 
m2c72r1.htb 14.059 8.119 9.505 20.198 18.416 23.960 23.960 22.574 15.248 14.851 1.904 2.747 2.852 5.359 1.799 8.056 4.921 6.394 2.279 4.428 
m2c77r1.htb 5.116 7.921 6.436 3.960 3.465 3.630 2.145 2.640 4.526 2.805 3.674 2.800 2.852 2.800 2.711 2.139 2.613 1.947 3.375 1.157 
m2c78r1.htb 32.079 32.079 40.990 36.040 49.901 48.911 40.198 44.950 35.248 33.663 17.300 12.614 14.494 12.017 13.960 20.006 8.900 6.207 12.806 5.731 
m2c79r1.htb 8.911 9.703 10.891 8.713 8.911 9.109 10.891 10.495 17.228 8.911 2.970 1.771 5.468 1.291 1.565 5.832 4.483 4.881 5.220 2.524 
m2c81r1.htb 84.983 81.848 81.518 78.383 84.488 84.983 100.825 92.244 82.013 81.353 4.786 5.896 7.888 8.078 15.270 4.947 8.294 9.689 9.443 9.148 
m2c82r1.htb 13.861 12.871 15.248 12.871 16.040 17.030 21.188 18.218 10.693 11.881 3.960 1.980 4.235 4.644 5.019 6.766 2.937 4.676 3.084 2.711 
m2c84r1.htb 15.842 15.248 23.762 26.485 37.376 41.980 43.069 26.139 17.426 14.109 0.990 2.675 4.800 3.370 4.808 4.881 7.691 4.177 3.472 4.600 
m2c86r1.htb 20.297 23.020 21.287 20.050 14.356 6.931 5.198 3.300 8.251 13.614 3.284 3.271 2.061 2.727 2.061 0.000 2.195 1.143 3.183 0.948 
m2c91r1.htb 3.762 7.921 6.535 6.139 8.119 10.297 5.347 0.792 1.980 4.158 3.387 5.332 1.799 1.904 5.748 4.569 2.053 1.291 0.990 3.923 
m2c93r1.htb 20.050 20.297 10.891 8.168 13.119 5.198 3.465 4.950 7.178 11.139 4.230 6.493 2.556 5.073 6.333 2.195 1.278 3.333 3.271 4.942 
m2c94r1.htb 17.822 14.851 9.703 16.634 18.614 21.782 34.653 26.139 16.832 27.129 8.104 7.827 6.432 5.211 4.559 4.428 13.648 5.583 5.239 6.737 
m2c97r1.htb 33.267 37.426 31.881 33.267 23.762 25.743 24.752 31.485 27.921 27.129 5.583 3.239 6.394 3.611 2.620 5.423 5.731 5.748 7.871 3.873 
m2c98r1.htb 38.218 41.386 44.554 49.703 44.158 40.000 34.455 27.525 20.792 28.317 10.232 6.238 4.901 3.985 3.542 2.675 4.106 6.432 3.898 3.254 
m2c99r1.htb 22.178 21.386 18.416 20.792 22.574 28.317 34.257 25.347 23.168 21.584 6.401 4.569 3.254 7.276 7.682 6.773 7.160 5.539 6.127 6.316 
