FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m5c391r1.htb 1.185 1.604 1.408 0.784 0.807 0.847 
m5c398r1.htb 0.695 1.213 0.891 0.651 0.821 0.836 
m5c405r1.htb 1.023 1.543 1.265 0.648 0.882 0.917 
m5c410r1.htb 1.288 1.593 0.770 0.698 0.599 0.657 
m5c414r1.htb 0.928 1.154 0.682 0.691 0.669 0.739 
m5c419r1.htb 0.657 0.757 0.750 0.592 0.578 0.698 
m5c426r1.htb 0.902 9.835 1.335 0.726 0.783 0.865 
m5c426r4.htb 1.071 2.643 1.185 0.831 0.691 0.851 
m5c431r1.htb 0.843 0.835 0.667 0.677 0.714 0.694 
m5c445r2.htb 1.020 0.811 0.543 0.671 0.788 0.684 
m5c453r2.htb 0.621 0.590 0.481 0.638 0.642 0.694 
m5c457r2.htb 1.250 0.871 0.607 0.530 0.779 0.679 
m5c463r1.htb 1.246 1.532 1.106 0.612 0.782 0.730 
m5c467r2.htb 1.144 1.084 1.033 0.725 0.584 0.700 
m5c471r2.htb 2.122 1.052 0.748 0.549 0.661 0.646 
m5c475r2.htb 0.702 0.725 0.643 0.666 0.768 0.749 
m5c479r2.htb 0.948 0.655 0.506 0.739 0.720 0.766 
m5c482r2.htb 0.775 1.079 0.891 0.662 0.707 0.784 
m5c486r1.htb 1.438 1.554 1.134 0.837 0.910 0.818 
m5c490r2.htb 0.729 1.048 0.862 0.753 0.810 0.866 
m5c494r1.htb 0.535 0.693 0.645 0.876 
m5c494r2.htb 0.772 1.108 0.773 0.490 0.735 0.622 
m5c498r4.htb 1.333 1.053 0.993 0.606 0.827 0.841 
m5c504r2.htb 0.708 0.927 0.675 0.707 0.833 0.783 
m5c508r2.htb 0.641 0.933 0.681 0.641 0.859 0.815 
m5c513r2.htb 0.847 0.987 0.704 0.573 0.643 0.675 
m5c518r2.htb 0.821 0.860 0.837 0.648 0.866 0.854 
m5c522r2.htb 0.752 1.614 1.150 0.583 0.759 0.768 
m5c526r2.htb 0.808 2.084 1.190 0.637 0.742 0.696 
m5c531r2.htb 0.806 4.531 1.012 0.740 0.736 0.715 
m5c536r2.htb 1.315 1.615 0.818 0.731 0.812 0.769 
m5c540r2.htb 0.642 1.040 0.709 0.713 0.834 0.841 
m5c544r2.htb 0.634 1.344 0.572 0.702 0.660 0.650 
m5c548r2.htb 0.739 1.007 0.455 0.750 0.768 0.681 
m5c552r2.htb 1.121 52.077 1.171 0.562 0.778 0.693 
m5c556r2.htb 1.975 2.299 1.640 0.562 0.642 0.642 
m5c561r2.htb 1.080 1.420 0.991 0.668 0.799 0.759 
m5c565r2.htb 1.373 1.029 0.795 0.474 0.813 0.754 
m5c568r1.htb 0.779 0.505 0.704 0.753 
m5c568r2.htb 0.702 0.503 0.486 0.701 0.637 0.735 
m5c574r2.htb 1.415 1.209 0.692 0.725 0.561 0.695 
m5c578r2.htb 0.876 0.841 0.627 0.688 0.738 0.641 
m5c583r2.htb 0.843 0.536 0.759 0.756 0.677 0.787 
m5c588r2.htb 1.550 1.176 1.086 0.745 0.853 0.888 
m5c593r2.htb 0.730 0.943 0.664 0.755 0.690 0.718 
m5c598r2.htb 0.825 2.207 0.805 0.851 0.621 0.814 
m5c602r2.htb 0.633 1.005 0.520 0.649 0.805 0.710 
m5c608r2.htb 1.000 2.073 0.816 0.619 0.741 0.597 
m5c614r2.htb 0.659 0.955 0.670 0.570 0.669 0.710 
m5c623r2.htb 0.486 0.647 0.445 0.629 0.621 0.684 
m5c627r2.htb 0.939 1.192 0.934 0.626 0.704 0.737 
m5c631r2.htb 0.671 1.305 0.745 0.535 0.790 0.710 
m5c634r1.htb 1.181 1.514 0.607 0.892 
m5c634r2.htb 0.698 1.578 1.143 0.630 0.790 0.737 
m5c638r2.htb 0.771 4.511 1.274 0.641 0.671 0.746 
m5c642r2.htb 0.679 1.668 0.783 0.634 0.813 0.620 
m5c646r1.htb 0.524 1.127 0.723 0.914 
m5c646r2.htb 1.124 0.702 0.898 0.783 
m5c654r1.htb 0.785 1.107 0.599 0.949 
m5c654r2.htb 0.640 0.745 0.762 0.780 
m5c656r1.htb 0.622 1.164 0.680 0.845 
m5c656r2.htb 2.357 0.616 0.617 0.720 
m5c665r1.htb 0.797 0.744 0.643 0.820 
m5c665r2.htb 0.608 0.321 0.735 0.613 
m5c667r1.htb 1.138 1.260 0.697 0.931 
m5c667r2.htb 2.053 1.316 0.874 0.910 
m5c671r1.htb 0.851 1.228 0.722 0.918 
m5c671r2.htb 6.028 1.828 0.817 0.828 
m5c676r1.htb 0.933 1.734 0.686 0.790 
m5c676r2.htb 6.140 0.683 0.649 0.617 
