FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c66r1.htb	 43.89	    6.03	   132.86	   0.00	   0.00	   
m2c67r1.htb	 45.15	    277.89	   133.95	   0.98	   0.89	   
m2c70r1.htb	 48.32	    303.88	   127.80	   0.30	   0.94	   
m2c71r1.htb	 29.31	    33.89	   202.52	   0.00	   0.00	   
m2c72r1.htb	 44.75	    185.05	   81.95	   0.00	   0.00	   
m2c77r1.htb	 49.65	    333.42	   202.44	   0.00	   0.05	   
m2c78r1.htb	 32.34	    154.08	   60.71	   0.11	   0.00	   
m2c79r1.htb	 40.99	    309.91	   60.20	   0.26	   0.00	   
m2c81r1.htb	 19.09	    9.18	   308.48	   0.29	   0.00	   
m2c82r1.htb	 57.23	    195.20	   14.05	   0.74	   0.11	   
m2c84r1.htb	 31.68	    324.82	   350.85	   0.26	   0.00	   
m2c86r1.htb	 40.84	    11.74	   51.09	   0.73	   0.65	   
m2c91r1.htb	 47.92	    81.19	   168.87	   0.95	   0.83	   
m2c93r1.htb	 44.55	    16.61	   149.50	   0.02	   0.02	   
m2c94r1.htb	 31.88	    216.19	   19.33	   0.00	   0.00	   
m2c97r1.htb	 29.70	    187.37	   23.33	   0.10	   0.00	   
m2c98r1.htb	 30.89	    41.83	   85.54	   0.02	   0.00	   
m2c99r1.htb	 36.30	    116.37	   100.32	   0.18	   0.00	   
m2c100r1.htb	 37.48	    131.78	   160.63	   0.07	   0.00	   
m2c101r1.htb	 28.15	    154.01	   96.98	   0.01	   0.00	   
m2c103r1.htb	 51.29	    296.40	   313.48	   0.31	   0.01	   
m2c109r1.htb	 50.50	    283.04	   194.17	   0.68	   0.00	   
m2c110r1.htb	 51.29	    295.96	   179.54	   0.05	   0.01	   
m2c116r1.htb	 41.78	    180.59	   354.67	   0.05	   0.00	   
m2c121r1.htb	 38.78	    200.80	   142.61	   0.00	   0.00	   
m2c125r1.htb	 50.66	    249.13	   52.26	   0.35	   0.00	   
m2c127r1.htb	 44.55	    203.45	   23.18	   0.04	   0.00	   
m2c128r1.htb	 39.80	    211.13	   20.69	   0.03	   0.00	   
m2c129r1.htb	 51.98	    166.51	   184.34	   0.00	   0.00	   
m2c130r1.htb	 50.25	    198.66	   10.33	   0.99	   0.00	   
m2c131r1.htb	 47.72	    163.60	   177.05	   0.06	   0.00	   
m2c134r1.htb	 57.67	    340.68	   185.56	   0.58	   0.43	   
m2c135r1.htb	 49.75	    355.88	   161.45	   0.49	   0.27	   
m2c137r1.htb	 40.92	    223.47	   187.25	   0.08	   0.97	   
m2c138r1.htb	 40.10	    138.81	   45.44	   0.90	   0.19	   
m2c139r1.htb	 24.26	    55.63	   249.42	   0.14	   0.00	   
m2c140r1.htb	 53.27	    30.67	   29.64	   0.15	   0.00	   
m2c141r1.htb	 46.37	    234.33	   220.60	   0.90	   0.00	   
m2c143r1.htb	 51.49	    301.82	   306.56	   0.45	   0.07	   
m2c144r1.htb	 27.92	    198.24	   166.78	   0.48	   0.00	   
m2c145r1.htb	 40.00	    18.48	   189.53	   1.00	   0.34	   
m2c148r1.htb	 35.25	    91.78	   93.08	   0.21	   0.00	   
m2c149r1.htb	 42.38	    0.12	   142.99	   0.72	   0.00	   
m2c150r1.htb	 42.97	    289.33	   282.90	   0.02	   0.00	   
m2c151r1.htb	 45.15	    244.58	   146.44	   0.00	   0.00	   
m2c152r1.htb	 43.76	    299.16	   264.60	   0.00	   0.00	   
m2c155r1.htb	 45.79	    342.50	   183.88	   0.29	   0.01	   
