FILE	 Spon	 VesPref	 VisPref	 VesP	 VisP	 VesDDI	 VisDDI	 Congruency
m5c386r1.htb	 92.327	 353.069	 97.075	 0.354	 0.027	 0.121	 0.714	 -0.313	 
m5c387r1.htb	 108.663	 346.430	 124.610	 0.386	 0.000	 -0.842	 24.851	 -0.061	 
m5c388r1.htb	 74.010	 287.146	 155.080	 0.273	 0.000	 -0.825	 28.949	 -0.651	 
m5c389r1.htb	 137.294	 312.571	 171.331	 0.967	 0.000	 0.184	 27.706	 -0.344	 
m5c390r1.htb	 71.287	 73.627	 130.812	 0.369	 0.000	 1.171	 2.600	 0.399	 
m5c386r1.htb	 92.327	 353.069	 97.075	 0.354	 0.027	 0.121	 0.714	 -0.313	 
m5c387r1.htb	 108.663	 346.430	 124.610	 0.386	 0.000	 -0.842	 24.851	 -0.061	 
m5c386r1.htb	 92.327	 353.069	 97.075	 0.354	 0.027	 0.121	 0.714	 -0.313	 
m5c387r1.htb	 108.663	 346.430	 124.610	 0.386	 0.000	 -0.842	 24.851	 -0.061	 
m5c388r1.htb	 74.010	 287.146	 155.080	 0.273	 0.000	 -0.825	 28.949	 -0.651	 
m5c389r1.htb	 137.294	 312.571	 171.331	 0.967	 0.000	 0.184	 27.706	 -0.344	 
m5c390r1.htb	 71.287	 73.627	 130.812	 0.369	 0.000	 1.171	 2.600	 0.399	 
m5c392r1.htb	 67.987	 279.495	 130.876	 0.046	 0.312	 1.707	 -0.492	 -0.649	 
m5c393r1.htb	 60.726	 62.158	 120.052	 0.994	 0.004	 0.142	 2.143	 0.037	 
m5c394r1.htb	 52.805	 51.358	 129.633	 0.669	 0.000	 -1.216	 4.344	 -0.083	 
m5c395r1.htb	 90.347	 312.230	 166.778	 0.254	 0.000	 1.534	 9.222	 -0.198	 
m5c396r1.htb	 83.168	 277.129	 162.107	 0.558	 0.000	 -1.120	 5.407	 -0.543	 
m5c397r1.htb	 91.089	 26.986	 154.360	 0.521	 0.000	 -0.302	 3.722	 -0.345	 
m5c399r1.htb	 66.584	 121.025	 39.838	 0.599	 0.015	 1.082	 -2.149	 -0.382	 
m5c400r1.htb	 103.960	 122.981	 24.726	 0.970	 0.077	 0.482	 -1.325	 -0.310	 
m5c401r1.htb	 100.000	 76.524	 175.750	 0.188	 0.028	 -0.318	 1.781	 0.081	 
m5c402r1.htb	 76.980	 281.820	 203.256	 0.824	 0.000	 -0.407	 8.934	 -0.072	 
m5c403r1.htb	 109.901	 258.435	 216.179	 0.623	 0.002	 0.643	 3.251	 0.457	 
m5c404r1.htb	 58.416	 244.444	 217.479	 0.575	 0.000	 -1.583	 3.464	 0.157	 
m5c409r1.htb	 46.205	 114.442	 103.976	 0.676	 0.387	 -1.330	 0.741	 0.178	 
m5c408r1.htb	 60.644	 67.726	 54.920	 0.358	 0.010	 -0.222	 -0.430	 0.301	 
m5c406r1.htb	 51.815	 175.637	 76.585	 0.298	 0.052	 -0.341	 -1.609	 -0.300	 
m5c407r1.htb	 46.782	 222.426	 92.978	 0.500	 0.001	 0.410	 1.736	 -0.045	 
m5c411r1.htb	 26.733	 82.007	 160.860	 0.897	 0.001	 -1.799	 3.868	 -0.303	 
m5c412r1.htb	 25.248	 287.924	 173.024	 0.600	 0.001	 -1.021	 3.925	 -0.348	 
m5c413r1.htb	 38.119	 33.046	 164.218	 0.147	 0.026	 0.164	 1.518	 -0.564	 
m5c415r1.htb	 34.158	 289.682	 84.435	 0.180	 0.012	 -0.274	 -0.567	 -0.543	 
m5c416r1.htb	 70.792	 249.875	 111.570	 0.083	 0.007	 -1.040	 1.451	 -0.393	 
m5c417r1.htb	 84.818	 17.307	 48.337	 0.841	 0.000	 -0.190	 0.679	 0.355	 
m5c418r1.htb	 110.891	 336.661	 77.707	 0.618	 0.063	 0.620	 3.491	 -0.064	 
m5c420r1.htb	 121.122	 157.619	 348.471	 0.300	 0.056	 3.163	 -1.549	 -0.552	 
m5c421r1.htb	 74.257	 71.646	 176.049	 0.773	 0.015	 1.028	 3.110	 0.668	 
m5c422r1.htb	 81.436	 0.841	 202.045	 0.774	 0.011	 -0.224	 1.193	 -0.655	 
m5c423r1.htb	 86.799	 14.616	 218.626	 0.735	 0.136	 -0.189	 2.149	 0.006	 
m5c424r1.htb	 90.099	 248.009	 213.693	 0.012	 0.000	 0.525	 3.027	 0.730	 
m5c425r1.htb	 98.350	 264.006	 191.905	 0.834	 0.016	 -0.210	 2.175	 0.226	 
m5c427r1.htb	 34.901	 80.803	 235.516	 0.097	 0.000	 -3.073	 -0.420	 -0.021	 
m5c428r1.htb	 49.175	 226.715	 83.033	 0.406	 0.012	 0.691	 0.242	 -0.662	 
m5c429r1.htb	 96.535	 196.355	 71.521	 0.886	 0.000	 1.026	 -1.773	 -0.250	 
m5c430r1.htb	 81.683	 229.591	 61.549	 0.742	 0.024	 0.412	 -1.167	 -0.300	 
m5c446r1.htb	 38.614	 189.900	 52.345	 0.786	 0.027	 -0.644	 -1.396	 -0.468	 
m5c448r1.htb	 58.416	 40.255	 26.564	 0.270	 0.000	 -0.070	 -3.255	 0.429	 
m5c447r1.htb	 99.340	 158.863	 22.258	 0.022	 0.000	 3.053	 -1.329	 -0.407	 
m5c452r1.htb	 39.934	 331.034	 186.091	 0.862	 0.003	 -1.070	 1.362	 -0.499	 
m5c449r1.htb	 33.333	 298.800	 175.993	 0.798	 0.074	 1.498	 1.453	 -0.156	 
m5c450r1.htb	 85.149	 67.957	 171.933	 NaN	 NaN	 -1.563	 Inf	 -0.361	 
m5c451r1.htb	 55.446	 126.118	 157.011	 0.969	 0.742	 0.113	 1.073	 -0.324	 
m5c456r1.htb	 52.475	 102.789	 160.300	 0.738	 0.023	 -0.642	 2.459	 -0.032	 
m5c454r1.htb	 85.809	 295.852	 179.957	 0.336	 0.100	 -3.770	 8.044	 -0.525	 
m5c455r1.htb	 81.848	 319.735	 185.369	 0.197	 0.004	 -2.040	 3.388	 -0.293	 
m5c458r1.htb	 81.848	 288.312	 2.854	 0.104	 0.001	 8.212	 -1.035	 0.019	 
m5c459r1.htb	 88.779	 207.506	 96.404	 0.121	 0.001	 -0.030	 2.767	 -0.107	 
m5c460r1.htb	 89.851	 13.048	 146.252	 0.924	 0.000	 -1.484	 8.668	 -0.449	 
m5c461r1.htb	 94.059	 16.301	 172.466	 0.887	 0.000	 -0.232	 6.646	 -0.552	 
m5c462r1.htb	 61.386	 339.350	 205.796	 0.372	 0.002	 -1.954	 3.218	 -0.451	 
m5c464r1.htb	 47.277	 359.068	 40.848	 0.840	 0.014	 -0.184	 -2.143	 0.051	 
m5c465r1.htb	 81.683	 211.889	 59.855	 0.721	 0.000	 0.493	 -3.327	 -0.473	 
m5c466r1.htb	 60.726	 169.352	 99.102	 0.088	 0.060	 -0.189	 1.147	 -0.359	 
m5c468r1.htb	 67.574	 356.004	 76.877	 0.991	 0.016	 1.133	 -1.023	 -0.008	 
m5c469r1.htb	 48.267	 77.873	 61.423	 0.995	 0.009	 -0.337	 0.063	 -0.431	 
m5c470r1.htb	 66.089	 224.609	 79.663	 0.842	 0.156	 0.407	 -0.777	 -0.584	 
m5c472r1.htb	 42.244	 168.030	 52.414	 0.977	 0.008	 0.276	 -2.581	 -0.247	 
m5c473r1.htb	 34.901	 280.187	 74.451	 0.506	 0.008	 1.454	 0.991	 -0.510	 
m5c474r1.htb	 92.409	 337.280	 82.651	 0.452	 0.762	 0.010	 0.432	 -0.125	 
m5c476r1.htb	 46.535	 312.496	 160.431	 0.138	 0.043	 -0.931	 1.313	 -0.522	 
m5c477r1.htb	 47.030	 178.522	 153.679	 0.015	 0.044	 -0.255	 0.246	 0.246	 
m5c478r1.htb	 55.116	 246.284	 152.419	 0.129	 0.110	 -0.265	 1.428	 -0.188	 
m5c480r1.htb	 50.495	 8.090	 139.996	 0.832	 0.000	 0.809	 2.251	 -0.009	 
m5c481r1.htb	 64.356	 87.013	 179.910	 0.834	 0.003	 -0.786	 3.290	 -0.133	 
m5c484r1.htb	 45.215	 294.237	 190.182	 0.100	 0.003	 0.110	 3.102	 -0.030	 
m5c483r1.htb	 50.495	 315.448	 185.012	 0.012	 0.003	 -1.225	 4.265	 -0.149	 
m5c485r1.htb	 29.373	 352.784	 191.727	 0.074	 0.002	 -0.284	 6.901	 -0.674	 
m5c488r1.htb	 65.677	 340.815	 204.104	 0.555	 0.001	 -0.791	 3.927	 -0.147	 
m5c487r1.htb	 57.756	 16.048	 206.978	 0.001	 0.005	 -1.042	 5.734	 -0.677	 
m5c489r1.htb	 81.188	 341.089	 192.446	 0.143	 0.010	 -0.600	 2.522	 -0.535	 
m5c491r1.htb	 44.554	 251.213	 197.634	 0.219	 0.012	 0.788	 0.586	 0.563	 
m5c492r1.htb	 61.056	 255.093	 212.069	 0.127	 0.034	 -0.464	 1.406	 0.573	 
m5c493r1.htb	 98.267	 347.949	 208.888	 0.874	 0.002	 0.730	 1.073	 -0.110	 
m5c495r1.htb	 79.455	 290.815	 56.893	 0.387	 0.007	 2.204	 -1.573	 -0.382	 
m5c496r1.htb	 56.188	 21.605	 23.880	 0.133	 0.000	 0.993	 -5.054	 0.358	 
m5c497r1.htb	 77.888	 240.811	 352.196	 0.862	 0.052	 -0.073	 -2.844	 -0.118	 
m5c503r1.htb	 102.475	 271.171	 128.583	 0.040	 0.072	 6.822	 1.358	 -0.489	 
m5c502r1.htb	 76.733	 217.035	 140.467	 0.196	 0.006	 0.611	 2.356	 -0.060	 
m5c501r1.htb	 72.772	 184.087	 99.207	 0.932	 0.000	 -1.072	 0.411	 -0.203	 
m5c505r1.htb	 83.663	 20.220	 159.730	 0.269	 0.000	 -0.690	 4.818	 -0.607	 
m5c506r1.htb	 111.881	 344.174	 189.708	 0.893	 0.000	 -0.410	 3.960	 -0.367	 
m5c507r1.htb	 82.508	 289.578	 196.369	 0.103	 0.000	 -3.299	 7.904	 -0.087	 
m5c511r1.htb	 49.752	 154.492	 114.050	 0.079	 0.008	 -0.767	 -1.194	 0.516	 
m5c510r1.htb	 49.010	 137.366	 59.200	 0.155	 0.034	 -1.186	 -1.041	 0.409	 
m5c509r1.htb	 31.436	 158.639	 332.523	 0.528	 0.015	 0.273	 -1.110	 0.493	 
m5c512r1.htb	 53.465	 231.225	 25.287	 0.356	 0.025	 -0.304	 -1.057	 0.032	 
m5c514r1.htb	 46.865	 214.394	 52.401	 0.399	 0.000	 0.183	 -25.500	 -0.383	 
m5c515r1.htb	 43.564	 152.463	 26.226	 0.893	 0.000	 0.200	 -5.502	 -0.372	 
m5c516r1.htb	 49.175	 157.003	 340.310	 0.637	 0.001	 -0.775	 -6.838	 -0.410	 
