 FILE	        neuro1 	 neuro2 	 stim 	 pref1 	 p1 	 pref2 	 p2 	 DiffPref 	 noisecorrelation
m17c2r1.htb	 1.0000	 2.0000	 2.0000	 129.0729	 0.0000	 129.0729	 0.0000	 35.4950	 -0.0270	 
m17c2r2.htb	 1.0000	 2.0000	 1.0000	 19.1163	 0.1885	 19.1163	 0.1885	 129.6397	 0.0239	 
m17c2r2.htb	 1.0000	 2.0000	 2.0000	 118.9071	 0.0000	 118.9071	 0.0000	 50.5911	 0.1024	 
m17c3r1.htb	 1.0000	 2.0000	 2.0000	 281.0244	 0.0232	 281.0244	 0.0232	 20.8703	 0.2283	 
m17c4r1.htb	 1.0000	 2.0000	 1.0000	 83.6024	 0.1224	 83.6024	 0.1224	 90.9540	 -0.0837	 
m17c4r1.htb	 1.0000	 2.0000	 2.0000	 123.5295	 0.0080	 123.5295	 0.0080	 125.8782	 0.2727	 
m17c6r1.htb	 1.0000	 2.0000	 1.0000	 358.4206	 0.0113	 358.4206	 0.0113	 297.6662	 0.1184	 
m17c6r1.htb	 1.0000	 2.0000	 2.0000	 159.4802	 0.0000	 159.4802	 0.0000	 85.6861	 0.1814	 
m17c7r1.htb	 1.0000	 2.0000	 1.0000	 288.9196	 0.9273	 288.9196	 0.9273	 160.1351	 -0.0233	 
m17c7r1.htb	 1.0000	 2.0000	 2.0000	 105.7924	 0.0000	 105.7924	 0.0000	 60.9162	 -0.0309	 
m17c8r1.htb	 1.0000	 2.0000	 1.0000	 37.1388	 0.2353	 37.1388	 0.2353	 1.7203	 -0.2306	 
m17c8r1.htb	 1.0000	 2.0000	 2.0000	 42.8039	 0.0008	 42.8039	 0.0008	 92.4338	 -0.0067	 
m17c8r1.htb	 1.0000	 3.0000	 1.0000	 37.1388	 0.1099	 37.1388	 0.1099	 277.4275	 0.2737	 
m17c8r1.htb	 1.0000	 3.0000	 2.0000	 42.8039	 0.0000	 42.8039	 0.0000	 143.3223	 -0.0795	 
m17c8r1.htb	 2.0000	 3.0000	 1.0000	 38.8591	 0.1099	 38.8591	 0.1099	 275.7072	 0.1392	 
m17c8r1.htb	 2.0000	 3.0000	 2.0000	 135.2377	 0.0000	 135.2377	 0.0000	 50.8885	 -0.0748	 
m17c9r2.htb	 1.0000	 2.0000	 2.0000	 331.6817	 0.0209	 331.6817	 0.0209	 64.4656	 -0.0036	 
m17c10r1.htb	 1.0000	 2.0000	 2.0000	 247.4745	 0.0333	 247.4745	 0.0333	 85.9846	 -0.0359	 
m17c11r2.htb	 1.0000	 2.0000	 1.0000	 57.7169	 0.4539	 57.7169	 0.4539	 199.2000	 0.0104	 
m17c11r2.htb	 1.0000	 2.0000	 2.0000	 156.0556	 0.0000	 156.0556	 0.0000	 76.4602	 0.0765	 
m17c11r2.htb	 1.0000	 3.0000	 1.0000	 57.7169	 0.0735	 57.7169	 0.0735	 297.7558	 0.0826	 
m17c11r2.htb	 1.0000	 3.0000	 2.0000	 156.0556	 0.0000	 156.0556	 0.0000	 14.7295	 0.0807	 
m17c11r2.htb	 2.0000	 3.0000	 1.0000	 256.9170	 0.0735	 256.9170	 0.0735	 98.5557	 0.0162	 
m17c11r2.htb	 2.0000	 3.0000	 2.0000	 79.5954	 0.0000	 79.5954	 0.0000	 61.7307	 -0.0496	 
m17c12r1.htb	 1.0000	 2.0000	 2.0000	 79.4262	 0.0000	 79.4262	 0.0000	 40.0743	 -0.0219	 
m17c12r1.htb	 1.0000	 3.0000	 2.0000	 79.4262	 0.0000	 79.4262	 0.0000	 69.0927	 0.1469	 
