
m2c30r1.htb	 1.000	 0.298	 0.003	 -0.357	 0.952	 0.385	 0.000	 
m2c37r1.htb	 1.000	 -0.234	 0.037	 0.163	 -0.735	 0.699	 0.038	 
m2c39r1.htb	 1.000	 0.153	 0.226	 0.789	 -0.448	 0.020	 0.266	 
m2c44r1.htb	 1.000	 -0.004	 0.972	 0.152	 0.400	 0.719	 0.326	 
m2c56r1.htb	 1.000	 0.107	 0.344	 0.033	 0.297	 0.937	 0.475	 
m2c66r1.htb	 1.000	 -0.191	 0.044	 -0.243	 -0.472	 0.562	 0.238	 
m2c73r1.htb	 1.000	 -0.203	 0.042	 -0.580	 -0.409	 0.132	 0.314	 
m2c76r1.htb	 1.000	 -0.133	 0.167	 -0.357	 0.492	 0.385	 0.215	 
m2c77r1.htb	 1.000	 -0.065	 0.482	 0.024	 -0.775	 0.956	 0.024	 
m2c95r1.htb	 1.000	 0.269	 0.007	 -0.514	 0.259	 0.192	 0.536	 
m2c116r1.htb	 1.000	 -0.151	 0.183	 -0.745	 0.272	 0.034	 0.514	 
m2c121r1.htb	 1.000	 0.132	 0.190	 0.087	 -0.226	 0.837	 0.590	 
m2c123r1.htb	 1.000	 0.000	 0.999	 -0.119	 -0.648	 0.780	 0.083	 
m2c129r1.htb	 1.000	 0.056	 0.639	 0.605	 0.648	 0.112	 0.082	 
m2c147r1.htb	 1.000	 0.213	 0.045	 -0.280	 0.590	 0.501	 0.124	 
m2c148r1.htb	 1.000	 -0.508	 0.000	 -0.339	 -0.651	 0.412	 0.081	 
m2c151r1.htb	 1.000	 0.226	 0.036	 0.181	 0.859	 0.669	 0.006	 
m2c155r1.htb	 1.000	 0.356	 0.005	 0.780	 0.869	 0.022	 0.005	 
m2c162r1.htb	 1.000	 0.137	 0.221	 -0.577	 0.360	 0.134	 0.381	 
m2c169r1.htb	 1.000	 -0.275	 0.012	 -0.042	 0.348	 0.921	 0.398	 
m2c170r1.htb	 1.000	 0.255	 0.020	 -0.054	 -0.310	 0.898	 0.454	 
m2c172r1.htb	 1.000	 -0.008	 0.945	 -0.775	 -0.179	 0.024	 0.672	 
m2c183r1.htb	 1.000	 -0.230	 0.022	 -0.647	 -0.435	 0.083	 0.281	 
m2c193r1.htb	 1.000	 0.038	 0.706	 -0.049	 0.600	 0.909	 0.116	 
m2c201r1.htb	 1.000	 0.142	 0.159	 -0.058	 0.891	 0.891	 0.003	 
m2c218r1.htb	 1.000	 0.063	 0.573	 -0.375	 -0.236	 0.360	 0.573	 
m2c231r1.htb	 1.000	 -0.104	 0.303	 0.693	 0.462	 0.056	 0.249	 
m2c232r1.htb	 1.000	 0.110	 0.276	 0.369	 0.283	 0.368	 0.496	 
m2c233r1.htb	 1.000	 -0.248	 0.027	 0.663	 0.732	 0.073	 0.039	 
m2c257r1.htb	 3.000	 -0.349	 0.012	 0.129	 0.001	 0.913	 0.250	 -0.104	 0.503	 -0.371	 0.085	 0.870	 -0.215	 0.806	 0.204	 0.366	 0.840	 0.005	 0.610	 
m2c370r1.htb	 1.000	 -0.012	 0.893	 0.071	 -0.112	 0.867	 0.792	 
m2c378r1.htb	 3.000	 0.007	 -0.079	 0.095	 0.953	 0.471	 0.387	 0.168	 0.217	 0.297	 0.947	 0.939	 0.973	 0.690	 0.605	 0.475	 0.000	 0.001	 0.000	 
m2c404r1.htb	 1.000	 -0.076	 0.450	 0.699	 0.552	 0.054	 0.156	 
m2c407r1.htb	 1.000	 0.284	 0.033	 -0.552	 0.386	 0.156	 0.345	 
m2c417r1.htb	 1.000	 -0.087	 0.384	 0.257	 -0.035	 0.539	 0.934	 
m2c418r1.htb	 1.000	 0.248	 0.023	 0.137	 0.432	 0.746	 0.285	 
m2c425r1.htb	 1.000	 -0.512	 0.000	 0.263	 -0.062	 0.529	 0.884	 
m2c430r1.htb	 1.000	 -0.178	 0.114	 0.632	 -0.440	 0.093	 0.275	 
m2c442r1.htb	 1.000	 -0.107	 0.244	 0.573	 0.631	 0.138	 0.093	 
m2c443r1.htb	 1.000	 0.092	 0.355	 0.581	 0.947	 0.131	 0.000	 
m2c446r1.htb	 1.000	 0.010	 0.925	 -0.405	 0.923	 0.320	 0.001	 
m5c40r1.htb	 1.000	 -0.173	 0.086	 0.818	 0.934	 0.013	 0.001	 
m5c62r1.htb	 1.000	 -0.157	 0.118	 -0.114	 0.125	 0.787	 0.767	 
m5c65r1.htb	 1.000	 -0.094	 0.384	 -0.220	 0.125	 0.601	 0.767	 
m5c69r1.htb	 1.000	 -0.024	 0.833	 0.594	 0.886	 0.121	 0.003	 
m5c109r1.htb	 1.000	 0.061	 0.543	 0.639	 0.749	 0.088	 0.032	 
m5c111r1.htb	 1.000	 0.086	 0.430	 0.301	 0.494	 0.469	 0.213	 
m5c135r1.htb	 1.000	 0.011	 0.918	 -0.237	 0.628	 0.571	 0.095	 
m5c150r1.htb	 1.000	 -0.075	 0.548	 0.140	 0.410	 0.741	 0.313	 
m5c153r1.htb	 1.000	 -0.015	 0.895	 0.706	 0.300	 0.051	 0.471	 
m5c159r1.htb	 1.000	 -0.101	 0.316	 0.947	 0.289	 0.000	 0.487	 
m5c167r1.htb	 1.000	 -0.070	 0.532	 0.406	 -0.677	 0.318	 0.065	 
m13c128r1.htb	 3.000	 0.166	 -0.556	 -0.350	 0.100	 0.000	 0.000	 0.847	 -0.452	 -0.654	 0.938	 -0.689	 -0.813	 0.008	 0.261	 0.078	 0.001	 0.059	 0.014	 
m13c142r2.htb	 3.000	 -0.077	 -0.329	 -0.235	 0.447	 0.001	 0.019	 0.816	 0.895	 0.703	 0.354	 0.873	 0.710	 0.014	 0.003	 0.052	 0.390	 0.005	 0.048	 
m13c150r1.htb	 1.000	 0.540	 0.000	 0.371	 0.628	 0.366	 0.095	 
m13c154r1.htb	 1.000	 0.212	 0.034	 -0.270	 0.785	 0.518	 0.021	 
m13c189r1.htb	 1.000	 0.217	 0.069	 0.744	 0.798	 0.034	 0.018	 
