
m2c30r1.htb	 1.000	 -0.447	 0.213	 0.267	 0.613	 
m2c37r1.htb	 1.000	 0.731	 -0.810	 0.040	 0.015	 
m2c39r1.htb	 1.000	 -0.510	 -0.648	 0.197	 0.082	 
m2c44r1.htb	 1.000	 0.783	 -0.361	 0.022	 0.379	 
m2c56r1.htb	 1.000	 -0.703	 -0.139	 0.052	 0.743	 
m2c66r1.htb	 1.000	 0.343	 0.909	 0.406	 0.002	 
m2c73r1.htb	 1.000	 0.842	 0.626	 0.009	 0.097	 
m2c76r1.htb	 1.000	 0.167	 0.171	 0.693	 0.686	 
m2c77r1.htb	 1.000	 -0.001	 0.419	 0.998	 0.302	 
m2c95r1.htb	 1.000	 0.686	 0.053	 0.060	 0.900	 
m2c116r1.htb	 1.000	 0.392	 -0.728	 0.337	 0.041	 
m2c121r1.htb	 1.000	 0.181	 0.528	 0.668	 0.179	 
m2c123r1.htb	 1.000	 0.098	 0.681	 0.817	 0.063	 
m2c129r1.htb	 1.000	 0.916	 0.507	 0.001	 0.200	 
m2c147r1.htb	 1.000	 0.689	 0.863	 0.059	 0.006	 
m2c148r1.htb	 1.000	 0.238	 0.844	 0.570	 0.008	 
m2c151r1.htb	 1.000	 0.566	 -0.170	 0.144	 0.687	 
m2c155r1.htb	 1.000	 -0.687	 -0.790	 0.060	 0.020	 
m2c162r1.htb	 1.000	 0.909	 -0.811	 0.002	 0.015	 
m2c169r1.htb	 1.000	 0.962	 0.754	 0.000	 0.031	 
m2c170r1.htb	 1.000	 -0.800	 -0.287	 0.017	 0.490	 
m2c172r1.htb	 1.000	 -0.374	 -0.863	 0.362	 0.006	 
m2c183r1.htb	 1.000	 0.493	 0.812	 0.215	 0.014	 
m2c193r1.htb	 1.000	 0.868	 0.740	 0.005	 0.036	 
m2c201r1.htb	 1.000	 -0.743	 -0.528	 0.035	 0.179	 
m2c218r1.htb	 1.000	 0.318	 -0.458	 0.443	 0.254	 
m2c231r1.htb	 1.000	 -0.283	 0.189	 0.497	 0.654	 
m2c232r1.htb	 1.000	 0.234	 0.384	 0.577	 0.348	 
m2c233r1.htb	 1.000	 0.867	 0.537	 0.005	 0.170	 
m2c257r1.htb	 3.000	 -0.275	 0.093	 -0.350	 0.510	 0.826	 0.395	 
m2c370r1.htb	 1.000	 -0.437	 0.036	 0.278	 0.932	 
m2c378r1.htb	 3.000	 -0.043	 -0.005	 -0.031	 0.920	 0.990	 0.941	 
m2c404r1.htb	 1.000	 0.449	 0.672	 0.264	 0.068	 
m2c407r1.htb	 1.000	 0.569	 -0.064	 0.141	 0.881	 
m2c417r1.htb	 1.000	 0.642	 0.439	 0.086	 0.277	 
m2c418r1.htb	 1.000	 0.054	 0.299	 0.900	 0.473	 
m2c425r1.htb	 1.000	 -0.147	 -0.182	 0.728	 0.665	 
m2c430r1.htb	 1.000	 -0.366	 0.787	 0.373	 0.020	 
m2c442r1.htb	 1.000	 -0.850	 0.011	 0.008	 0.979	 
m2c443r1.htb	 1.000	 -0.757	 -0.580	 0.030	 0.132	 
m2c446r1.htb	 1.000	 0.796	 -0.617	 0.018	 0.103	 
m5c40r1.htb	 1.000	 -0.745	 -0.737	 0.034	 0.037	 
m5c62r1.htb	 1.000	 -0.219	 0.642	 0.603	 0.086	 
m5c65r1.htb	 1.000	 -0.149	 0.698	 0.724	 0.054	 
m5c69r1.htb	 1.000	 -0.584	 0.136	 0.128	 0.749	 
m5c109r1.htb	 1.000	 -0.322	 0.139	 0.436	 0.743	 
m5c111r1.htb	 1.000	 -0.186	 -0.845	 0.660	 0.008	 
m5c135r1.htb	 1.000	 -0.072	 0.792	 0.865	 0.019	 
m5c150r1.htb	 1.000	 0.662	 -0.262	 0.074	 0.531	 
m5c153r1.htb	 1.000	 -0.559	 0.942	 0.150	 0.000	 
m5c159r1.htb	 1.000	 0.292	 -0.438	 0.482	 0.278	 
m5c167r1.htb	 1.000	 0.740	 0.027	 0.036	 0.948	 
m13c128r1.htb	 3.000	 0.640	 0.581	 0.320	 0.087	 0.131	 0.440	 
m13c142r2.htb	 3.000	 0.521	 0.712	 0.771	 0.186	 0.048	 0.025	 
m13c150r1.htb	 1.000	 0.175	 -0.170	 0.679	 0.687	 
m13c154r1.htb	 1.000	 0.447	 0.258	 0.267	 0.537	 
m13c189r1.htb	 1.000	 0.841	 0.345	 0.009	 0.403	 
