
m2c30r1.htb	 48.091	 0.585	 0.833	 0.115	 0.000	 0.326	 0.367	 0.156	 0.961	 
m2c37r1.htb	 72.871	 0.558	 0.790	 0.673	 0.000	 0.296	 0.197	 0.376	 -0.126	 
m2c39r1.htb	 55.644	 0.766	 0.888	 0.010	 0.000	 0.655	 0.104	 0.674	 0.271	 
m2c44r1.htb	 32.178	 0.734	 0.849	 0.004	 0.000	 -0.223	 -0.043	 0.958	 0.967	 
m2c56r1.htb	 55.446	 0.733	 0.900	 0.002	 0.000	 0.300	 0.290	 0.779	 0.735	 
m2c66r1.htb	 47.855	 0.687	 0.925	 0.001	 0.000	 -0.068	 -0.032	 0.579	 0.005	 
m2c73r1.htb	 67.921	 0.559	 0.857	 0.667	 0.000	 -0.370	 0.305	 0.075	 -0.443	 
m2c76r1.htb	 64.521	 0.568	 0.681	 0.643	 0.041	 0.544	 0.681	 0.308	 0.865	 
m2c77r1.htb	 63.083	 0.724	 0.605	 0.000	 0.206	 0.562	 0.235	 0.437	 0.502	 
m2c95r1.htb	 45.710	 0.647	 0.657	 0.012	 0.312	 0.346	 0.022	 0.212	 0.213	 
m2c116r1.htb	 54.653	 0.699	 0.883	 0.087	 0.000	 -0.117	 -0.004	 -0.393	 0.706	 
m2c121r1.htb	 44.059	 0.779	 0.885	 0.000	 0.000	 0.501	 0.510	 0.757	 0.213	 
m2c123r1.htb	 34.257	 0.699	 0.898	 0.207	 0.000	 0.281	 0.222	 0.328	 -0.422	 
m2c129r1.htb	 49.505	 0.772	 0.869	 0.029	 0.000	 0.540	 0.318	 0.745	 0.800	 
m2c147r1.htb	 58.911	 0.786	 0.871	 0.001	 0.000	 0.470	 0.059	 0.031	 0.761	 
m2c148r1.htb	 51.683	 0.609	 0.833	 0.075	 0.000	 0.141	 -0.111	 -0.280	 -0.527	 
m2c151r1.htb	 64.158	 0.764	 0.867	 0.002	 0.000	 0.503	 0.108	 0.742	 0.959	 
m2c155r1.htb	 63.366	 0.840	 0.886	 0.005	 0.001	 0.221	 0.149	 0.884	 0.940	 
m2c162r1.htb	 49.307	 0.761	 0.874	 0.048	 0.000	 0.107	 -0.119	 -0.048	 0.922	 
m2c169r1.htb	 67.129	 0.716	 0.874	 0.236	 0.000	 0.028	 -0.272	 0.519	 0.429	 
m2c170r1.htb	 61.386	 0.795	 0.823	 0.004	 0.000	 0.437	 0.381	 0.775	 0.978	 
m2c172r1.htb	 78.218	 0.815	 0.906	 0.002	 0.000	 -0.065	 0.250	 -0.538	 -0.073	 
m2c183r1.htb	 56.832	 0.628	 0.569	 0.454	 0.737	 0.252	 0.102	 -0.463	 -0.357	 
m2c193r1.htb	 34.851	 0.697	 0.861	 0.021	 0.000	 0.490	 0.091	 0.771	 0.773	 
m2c201r1.htb	 33.861	 0.498	 0.907	 0.372	 0.000	 0.696	 0.573	 0.455	 0.963	 
m2c218r1.htb	 40.792	 0.780	 0.862	 0.028	 0.000	 0.168	 0.325	 0.012	 0.574	 
m2c231r1.htb	 59.802	 0.614	 0.905	 0.520	 0.000	 0.167	 0.231	 0.764	 0.811	 
m2c232r1.htb	 49.175	 0.724	 0.915	 0.021	 0.000	 0.083	 0.074	 0.301	 0.364	 
m2c233r1.htb	 65.149	 0.720	 0.959	 0.023	 0.000	 -0.005	 0.162	 0.858	 0.970	 
m2c370r1.htb	 28.430	 0.635	 0.797	 0.370	 0.000	 0.198	 0.092	 0.272	 0.383	 
m2c404r1.htb	 41.386	 0.732	 0.781	 0.003	 0.001	 0.080	 0.014	 0.640	 0.696	 
m2c407r1.htb	 51.815	 0.446	 0.780	 0.962	 0.006	 0.244	 0.556	 -0.279	 0.488	 
m2c417r1.htb	 69.472	 0.689	 0.609	 0.006	 0.900	 0.226	 0.078	 0.354	 0.400	 
m2c418r1.htb	 62.574	 0.802	 0.811	 0.304	 0.001	 0.298	 0.026	 -0.207	 0.646	 
m2c425r1.htb	 46.287	 0.787	 0.850	 0.147	 0.000	 -0.162	 0.006	 0.277	 0.251	 
m2c430r1.htb	 22.970	 0.754	 0.895	 0.286	 0.000	 -0.144	 -0.082	 0.633	 -0.130	 
m2c442r1.htb	 57.001	 0.699	 0.784	 0.002	 0.000	 0.611	 0.108	 0.749	 0.859	 
m2c443r1.htb	 48.350	 0.818	 0.810	 0.000	 0.000	 -0.108	 0.394	 0.661	 0.979	 
m2c446r1.htb	 51.683	 0.613	 0.883	 0.624	 0.000	 -0.309	 -0.457	 0.635	 0.976	 
m5c40r1.htb	 48.317	 0.653	 0.779	 0.140	 0.000	 0.389	 0.082	 0.911	 0.983	 
m5c62r1.htb	 40.594	 0.721	 0.887	 0.085	 0.000	 0.253	 0.425	 0.089	 0.426	 
m5c65r1.htb	 41.386	 0.818	 0.906	 0.000	 0.000	 0.531	 0.410	 0.158	 0.633	 
m5c69r1.htb	 79.455	 0.816	 0.829	 0.000	 0.001	 -0.079	 0.510	 0.703	 0.859	 
m5c109r1.htb	 52.871	 0.712	 0.843	 0.044	 0.000	 0.414	 0.115	 0.888	 0.918	 
m5c111r1.htb	 43.762	 0.710	 0.830	 0.088	 0.000	 0.093	 -0.119	 0.429	 0.979	 
m5c135r1.htb	 78.416	 0.673	 0.906	 0.028	 0.000	 0.002	 0.200	 0.305	 0.492	 
m5c150r1.htb	 53.465	 0.576	 0.783	 0.900	 0.012	 -0.132	 0.312	 0.310	 0.672	 
m5c153r1.htb	 50.000	 0.857	 0.843	 0.000	 0.000	 -0.001	 -0.094	 0.887	 0.684	 
m5c159r1.htb	 38.812	 0.788	 0.800	 0.002	 0.000	 0.293	 0.481	 0.918	 0.501	 
m5c167r1.htb	 60.990	 0.591	 0.591	 0.237	 0.003	 -0.007	 -0.004	 0.700	 -0.641	 
m13c150r1.htb	 38.218	 0.612	 0.796	 0.536	 0.000	 0.810	 0.455	 0.894	 0.928	 
m13c154r1.htb	 35.644	 0.527	 0.907	 0.728	 0.000	 0.492	 0.363	 0.338	 0.956	 
m13c189r1.htb	 52.970	 0.718	 0.866	 0.058	 0.000	 0.549	 0.290	 0.943	 0.921	 
m2c257r1.htb	 40.594	 0.533	 0.927	 0.810	 0.000	 0.232	 -0.047	 0.450	 0.947	 
m2c378r1.htb	 84.554	 0.667	 0.889	 0.190	 0.000	 0.221	 0.413	 0.602	 0.972	 
m13c128r1.htb	 26.931	 0.792	 0.822	 0.001	 0.000	 -0.183	 -0.132	 0.859	 0.785	 
m13c142r2.htb	 7.921	 0.842	 0.936	 0.000	 0.000	 -0.479	 -0.333	 0.907	 0.957	 
