FILE	         sponSU	 sponMU	 DDIallSUve	 DDIallSUvi	 DDIall_MUve	 DDIallMUvi	 DDI_forSUve	 DDI_forSUvi	 DDI_forMUve	 DDI_forMUvi	 HTISUve	 HTISUvi	 HTIMUve	 HTIMUvi	 PreSUves	 PreSUvis	 PreMUves	 PreMUvis	 PanovSUve	 PanovSUvi	 PanovMUve	 PanovMUvi	 corrSUMUve	 corrSUMUvi	 congruSU	 congruMU	 noiseVe	 noiseVi	 slowdriSU	 slowdriMU	 cross	
m2c30r1.htb	 94.910	 310.323	 206.120	 209.154	 0.098	 0.143	 0.000	 0.000	 -0.187	 0.166	 -0.538	 0.952	 0.169	 0.000	 -0.271	 0.081	 0.515	 0.849	 
m2c37r1.htb	 131.383	 210.286	 137.673	 352.836	 0.738	 0.000	 0.000	 0.000	 -0.198	 -0.293	 0.237	 -0.703	 0.571	 0.052	 0.740	 -0.796	 0.036	 0.018	 
m2c39r1.htb	 306.728	 291.956	 175.300	 61.378	 0.004	 0.017	 0.000	 0.000	 -0.090	 0.325	 0.845	 -0.447	 0.008	 0.266	 -0.522	 -0.567	 0.185	 0.143	 
m2c44r1.htb	 165.552	 248.557	 196.936	 140.842	 0.011	 0.062	 0.000	 0.001	 -0.073	 -0.219	 0.119	 0.427	 0.779	 0.291	 0.784	 -0.327	 0.021	 0.430	 
m2c56r1.htb	 227.043	 331.064	 6.073	 79.913	 0.274	 0.152	 0.000	 0.000	 0.098	 -0.101	 -0.066	 0.280	 0.876	 0.502	 -0.709	 -0.094	 0.049	 0.824	 
m2c66r1.htb	 58.448	 18.331	 153.095	 39.472	 0.042	 0.000	 0.000	 0.000	 -0.111	 -0.166	 -0.276	 -0.570	 0.440	 0.085	 0.169	 0.906	 0.640	 0.000	 
m2c76r1.htb	 179.296	 285.899	 252.471	 331.917	 0.012	 0.054	 0.007	 0.059	 -0.031	 0.127	 -0.294	 0.539	 0.409	 0.108	 0.137	 -0.078	 0.707	 0.831	 
m2c77r1.htb	 33.191	 313.471	 146.662	 280.763	 0.068	 0.002	 0.000	 0.171	 -0.034	 -0.231	 -0.069	 -0.801	 0.850	 0.005	 -0.253	 0.535	 0.481	 0.111	 
m2c95r1.htb	 160.544	 319.406	 143.535	 214.490	 0.000	 0.871	 0.052	 0.007	 0.166	 0.313	 -0.503	 0.180	 0.139	 0.618	 0.689	 0.204	 0.028	 0.573	 
m2c116r1.htb	 334.621	 161.397	 37.542	 336.804	 0.007	 0.000	 0.000	 0.000	 -0.074	 0.053	 -0.767	 0.211	 0.010	 0.558	 0.594	 -0.773	 0.070	 0.009	 
m2c148r1.htb	 230.408	 105.035	 301.410	 98.415	 0.010	 0.569	 0.000	 0.000	 -0.034	 -0.299	 -0.316	 -0.779	 0.374	 0.008	 0.283	 0.818	 0.428	 0.004	 
