m2c30r1.htb	 0.003	 -0.003	 -0.002	 -0.002	 0.004	 -0.001	 0.006	 -0.000	 -0.001	 0.002	 -0.002	 0.002	 -0.003	 -0.003	 0.006	 -0.003	 -0.006	 0.003	 0.002	 0.003	 0.002	 -0.005	 -0.003	 0.006	 0.007	 -0.003	 0.005	 0.011	 0.001	 0.002	 0.004	 0.009	 -0.005	 0.004	 0.005	 -0.002	 0.007	 -0.009	 0.005	 0.005	 0.008	 0.012	 0.009	 0.011	 0.012	 0.009	 -0.008	 0.007	 -0.007	 -0.015	 -0.014	 -0.009	 -0.002	 0.003	 0.003	 0.002	 0.005	 0.003	 0.006	 0.006	 -0.002	 -0.008	 -0.002	 -0.002	 0.006	 -0.002	 -0.004	 -0.004	 0.003	 0.002	 0.001	 -0.005	 -0.005	 0.003	 -0.002	 0.001	 0.005	 0.002	 -0.004	 -0.004	 0.001	 0.007	 -0.003	 0.002	 0.007	 -0.000	 0.007	 -0.001	 -0.003	 0.006	 -0.004	 0.004	 -0.008	 0.012	 -0.007	 0.001	 -0.000	 -0.003	 -0.002	 0.001	 0.002	 0.002	 0.006	 0.001	 0.008	 -0.001	 0.001	 -0.002	 0.001	 -0.001	 0.007	 0.009	 -0.001	 -0.008	 -0.003	 -0.000	 -0.005	 0.003	 -0.001	 -0.001	 0.002	 0.002	 0.001	 0.005	 0.002	 0.007	 0.002	 0.006	 0.000	 0.006	 0.004	 0.002	 0.013	 -0.002	 -0.005	 0.005	 0.003	 0.002	 -0.005	 0.000	 0.007	 0.000	 0.000	 0.002	 -0.002	 0.002	 0.004	 -0.009	 0.005	 -0.008	 -0.009	 -0.015	 -0.011	 0.003	 0.005	 0.001	 0.006	 0.006	 -0.000	 -0.001	 0.000	 0.004	 0.000	 0.011	 0.002	 0.002	 -0.001	 0.001	 0.001	 -0.001	 -0.003	 0.003	 -0.002	 0.001	 -0.004	 -0.002	 0.008	 -0.004	 -0.002	 0.002	 0.003	 0.007	 -0.010	 0.010	 0.004	 0.003	 0.003	 -0.004	 0.006	 -0.006	 0.008	 -0.003	 0.003	 -0.003	 -0.007	 0.002	 -0.002	 -0.003	 0.004	 -0.007	 -0.002	 -0.007	 
m2c37r1.htb	 -0.001	 -0.003	 0.000	 -0.006	 -0.007	 -0.002	 -0.007	 0.002	 -0.001	 0.007	 -0.005	 -0.002	 -0.003	 -0.007	 0.003	 -0.003	 0.002	 0.009	 -0.005	 0.002	 -0.004	 -0.004	 0.001	 0.001	 -0.000	 -0.000	 -0.000	 -0.003	 0.002	 -0.003	 -0.001	 -0.005	 0.005	 0.001	 0.006	 0.001	 -0.004	 0.006	 -0.008	 -0.005	 -0.008	 0.000	 0.018	 -0.004	 -0.003	 0.004	 -0.009	 0.000	 -0.001	 -0.003	 -0.007	 -0.013	 -0.015	 -0.006	 -0.010	 -0.003	 -0.000	 -0.002	 -0.002	 -0.000	 0.002	 -0.002	 0.014	 0.003	 0.007	 0.001	 -0.004	 -0.010	 0.002	 0.003	 -0.002	 0.003	 0.001	 -0.006	 0.000	 -0.003	 0.003	 0.001	 -0.003	 0.000	 -0.008	 0.001	 -0.006	 -0.008	 -0.008	 -0.004	 0.001	 0.002	 0.003	 0.001	 -0.000	 -0.005	 0.000	 0.007	 -0.001	 0.001	 -0.006	 0.006	 -0.015	 0.003	 0.007	 -0.002	 0.001	 0.002	 0.002	 0.001	 0.003	 -0.004	 -0.002	 0.002	 -0.008	 0.004	 -0.000	 0.007	 0.001	 -0.003	 -0.003	 -0.005	 -0.002	 0.003	 -0.000	 -0.014	 0.004	 0.005	 -0.001	 -0.001	 -0.006	 -0.003	 0.004	 -0.001	 0.007	 0.000	 0.003	 -0.007	 0.006	 -0.000	 0.003	 0.004	 -0.002	 0.001	 0.003	 -0.006	 0.001	 0.003	 -0.008	 0.006	 0.003	 0.004	 -0.003	 -0.003	 -0.023	 -0.022	 -0.029	 -0.023	 -0.019	 -0.016	 -0.007	 -0.000	 -0.009	 0.004	 -0.003	 -0.001	 0.005	 -0.002	 0.001	 -0.002	 -0.004	 -0.003	 -0.001	 -0.003	 -0.000	 -0.009	 -0.004	 0.005	 -0.006	 -0.005	 -0.001	 -0.007	 0.003	 -0.000	 -0.001	 -0.006	 -0.002	 0.001	 -0.005	 0.003	 0.001	 0.000	 -0.001	 0.001	 0.000	 -0.005	 -0.002	 -0.003	 0.006	 -0.008	 0.007	 -0.003	 0.002	 -0.004	 -0.005	 0.001	 
m2c39r1.htb	 0.009	 -0.000	 -0.008	 -0.011	 0.001	 0.009	 0.000	 -0.007	 0.005	 0.001	 0.003	 0.003	 0.003	 -0.005	 0.006	 0.001	 0.018	 0.006	 0.004	 -0.007	 -0.005	 -0.002	 -0.000	 0.000	 0.007	 -0.022	 0.019	 0.003	 -0.005	 -0.001	 -0.005	 0.006	 -0.001	 -0.009	 0.010	 0.002	 0.003	 0.002	 0.006	 0.012	 0.010	 0.008	 0.005	 0.003	 0.007	 -0.002	 -0.002	 -0.002	 0.002	 -0.012	 -0.011	 -0.005	 0.011	 0.009	 0.001	 0.005	 -0.010	 -0.003	 -0.004	 0.002	 -0.002	 0.012	 0.004	 0.009	 0.000	 0.007	 -0.008	 -0.001	 -0.003	 0.003	 0.007	 0.002	 0.005	 -0.002	 0.001	 0.010	 0.005	 0.006	 -0.014	 -0.005	 -0.008	 0.000	 0.007	 0.005	 0.015	 0.009	 -0.007	 -0.010	 -0.008	 0.007	 0.003	 0.003	 -0.005	 0.002	 -0.008	 0.003	 0.019	 0.009	 0.004	 0.005	 -0.000	 0.002	 0.001	 -0.000	 0.010	 0.002	 0.004	 -0.012	 -0.004	 -0.002	 0.004	 -0.006	 0.004	 0.002	 -0.001	 -0.006	 -0.010	 0.005	 -0.003	 -0.003	 0.001	 0.005	 -0.005	 0.007	 -0.000	 0.005	 0.003	 0.005	 -0.001	 0.001	 -0.003	 0.005	 0.005	 -0.009	 0.007	 0.001	 0.003	 -0.006	 0.003	 0.011	 0.000	 0.003	 -0.003	 0.003	 0.001	 0.007	 0.003	 -0.012	 0.001	 -0.009	 -0.010	 -0.015	 -0.006	 0.008	 0.006	 0.005	 -0.005	 0.002	 0.004	 0.012	 0.004	 0.006	 0.008	 0.003	 0.013	 -0.002	 -0.004	 -0.001	 -0.003	 0.000	 0.007	 -0.004	 0.006	 0.003	 -0.003	 -0.007	 -0.002	 -0.003	 -0.009	 -0.005	 -0.002	 0.003	 0.008	 0.010	 -0.002	 -0.004	 0.002	 0.005	 0.002	 0.000	 0.003	 0.002	 0.009	 -0.010	 0.000	 -0.000	 0.005	 -0.007	 0.005	 -0.007	 0.002	 -0.006	 
m2c44r1.htb	 0.004	 -0.004	 -0.001	 0.002	 -0.003	 0.001	 0.003	 -0.002	 0.013	 -0.003	 0.003	 0.002	 0.004	 -0.010	 -0.001	 -0.005	 -0.003	 0.001	 -0.006	 -0.006	 0.006	 -0.007	 0.004	 -0.003	 0.006	 0.005	 -0.006	 0.006	 -0.003	 -0.006	 0.006	 0.006	 -0.006	 -0.002	 -0.013	 0.000	 -0.005	 0.007	 0.008	 -0.011	 -0.004	 -0.016	 -0.004	 -0.012	 0.002	 0.003	 0.002	 0.012	 -0.014	 -0.005	 -0.006	 -0.012	 -0.006	 0.005	 0.002	 -0.001	 -0.002	 -0.008	 -0.004	 0.001	 0.002	 0.002	 0.004	 -0.007	 0.001	 0.006	 0.009	 0.000	 -0.002	 0.009	 -0.004	 0.005	 -0.000	 -0.004	 0.008	 0.002	 -0.001	 0.001	 -0.001	 -0.003	 -0.001	 0.006	 -0.004	 -0.004	 -0.002	 -0.003	 0.001	 -0.002	 -0.003	 -0.007	 0.001	 0.004	 -0.012	 0.006	 0.008	 -0.004	 0.006	 -0.004	 -0.001	 0.003	 0.001	 -0.008	 0.002	 -0.000	 -0.006	 0.001	 0.010	 -0.005	 0.002	 -0.003	 0.009	 -0.000	 0.003	 0.001	 -0.000	 0.005	 -0.000	 -0.001	 0.003	 -0.001	 -0.001	 -0.003	 0.001	 0.006	 0.001	 -0.000	 -0.003	 0.002	 -0.006	 0.004	 -0.001	 -0.004	 -0.004	 -0.002	 0.003	 -0.002	 0.008	 0.008	 0.002	 0.000	 0.003	 -0.000	 0.000	 0.001	 -0.008	 -0.002	 -0.004	 0.001	 0.016	 -0.011	 -0.010	 -0.010	 -0.012	 -0.002	 0.001	 0.004	 0.003	 -0.003	 0.000	 0.007	 -0.007	 -0.001	 -0.004	 -0.002	 0.001	 -0.010	 0.005	 0.008	 -0.002	 -0.002	 0.003	 -0.002	 0.008	 0.002	 -0.005	 0.002	 0.006	 -0.002	 0.001	 0.003	 0.003	 0.004	 0.005	 -0.005	 0.003	 0.001	 0.002	 0.008	 -0.003	 0.001	 0.001	 0.006	 -0.002	 -0.002	 -0.005	 -0.004	 0.002	 -0.003	 -0.000	 0.004	 0.001	 0.001	 
m2c56r1.htb	 -0.000	 -0.004	 0.006	 -0.004	 0.007	 -0.006	 -0.002	 -0.002	 0.001	 0.003	 0.001	 -0.008	 -0.002	 0.004	 0.002	 -0.003	 -0.015	 0.004	 0.007	 0.001	 0.009	 -0.003	 0.001	 -0.007	 0.003	 0.004	 -0.003	 0.004	 -0.012	 0.007	 0.006	 0.009	 -0.000	 -0.006	 0.006	 0.001	 0.001	 -0.005	 0.001	 0.004	 0.002	 0.002	 0.002	 0.006	 -0.002	 0.013	 0.004	 0.006	 0.002	 -0.023	 -0.021	 -0.006	 0.028	 0.016	 0.013	 0.020	 0.005	 -0.003	 0.005	 -0.002	 0.003	 0.010	 -0.003	 -0.002	 -0.003	 0.008	 0.004	 0.002	 -0.006	 0.004	 0.005	 0.001	 -0.005	 0.003	 -0.001	 -0.007	 0.008	 -0.004	 0.003	 0.004	 0.010	 0.001	 0.002	 -0.004	 -0.012	 0.005	 0.003	 -0.006	 0.006	 -0.003	 0.005	 0.005	 0.008	 0.001	 -0.001	 0.002	 0.003	 0.005	 -0.001	 0.001	 -0.001	 -0.001	 -0.004	 0.005	 -0.000	 -0.004	 0.002	 0.000	 -0.002	 0.003	 0.004	 0.001	 0.002	 0.003	 -0.004	 0.005	 0.002	 -0.014	 -0.001	 -0.003	 0.005	 0.001	 -0.006	 -0.002	 -0.005	 0.006	 0.001	 -0.004	 -0.002	 0.005	 0.002	 0.001	 0.003	 -0.008	 -0.005	 0.001	 0.002	 -0.002	 0.006	 -0.002	 -0.005	 0.005	 -0.005	 -0.007	 0.002	 0.003	 0.011	 0.006	 0.004	 -0.001	 -0.020	 -0.023	 -0.012	 0.016	 0.019	 0.001	 0.010	 0.006	 -0.004	 0.003	 0.009	 -0.002	 -0.002	 0.002	 0.003	 0.001	 -0.004	 -0.001	 -0.001	 0.000	 -0.002	 -0.002	 0.006	 0.005	 -0.002	 0.003	 -0.004	 -0.006	 0.004	 0.003	 0.002	 0.001	 -0.004	 -0.009	 0.003	 -0.002	 -0.003	 0.001	 -0.000	 -0.009	 0.005	 0.007	 -0.002	 0.006	 0.001	 -0.002	 0.000	 0.002	 0.007	 -0.004	 0.003	 0.002	 
m2c66r1.htb	 0.005	 -0.005	 -0.002	 -0.011	 -0.003	 -0.000	 -0.002	 0.001	 0.001	 -0.001	 -0.009	 -0.000	 -0.004	 -0.002	 0.001	 -0.004	 0.004	 0.000	 -0.004	 -0.004	 -0.004	 0.002	 0.008	 -0.001	 0.001	 -0.001	 -0.003	 0.004	 0.001	 -0.005	 0.001	 0.002	 0.003	 0.004	 -0.002	 -0.002	 -0.008	 0.000	 0.002	 -0.002	 -0.004	 0.005	 0.001	 -0.000	 0.001	 0.001	 0.003	 -0.002	 0.004	 -0.006	 -0.003	 -0.004	 0.001	 -0.002	 0.004	 -0.008	 0.001	 0.001	 -0.005	 -0.004	 -0.001	 0.004	 -0.007	 -0.000	 -0.006	 -0.004	 0.000	 -0.002	 0.009	 0.008	 0.003	 -0.002	 -0.004	 0.001	 -0.002	 0.001	 -0.011	 0.004	 -0.003	 -0.004	 0.000	 -0.000	 -0.003	 0.001	 -0.002	 0.002	 -0.003	 0.002	 -0.010	 0.005	 -0.004	 0.001	 -0.004	 0.003	 -0.006	 0.002	 0.001	 -0.003	 0.004	 -0.003	 -0.001	 -0.007	 0.001	 0.000	 -0.004	 0.001	 -0.003	 -0.004	 0.000	 -0.002	 0.001	 0.001	 0.001	 -0.004	 0.002	 -0.002	 0.001	 -0.000	 -0.001	 -0.002	 -0.001	 0.006	 -0.001	 -0.005	 -0.000	 -0.002	 -0.004	 -0.007	 -0.002	 -0.006	 -0.004	 0.001	 -0.001	 -0.003	 -0.003	 0.000	 0.005	 -0.004	 -0.005	 -0.006	 -0.003	 -0.004	 -0.006	 -0.000	 -0.004	 0.000	 0.001	 0.003	 0.002	 0.008	 -0.004	 -0.003	 -0.002	 -0.005	 0.000	 -0.001	 0.003	 -0.001	 0.002	 0.003	 -0.001	 0.005	 0.000	 0.008	 -0.005	 0.003	 0.000	 -0.002	 -0.001	 0.006	 -0.001	 0.006	 0.000	 0.000	 0.000	 -0.002	 0.004	 -0.007	 0.002	 0.003	 -0.002	 -0.001	 -0.002	 -0.003	 0.002	 0.003	 0.002	 0.000	 0.003	 -0.002	 0.000	 -0.008	 -0.003	 0.001	 0.002	 -0.000	 0.002	 0.001	 0.004	 -0.002	 -0.003	 -0.004	 
m2c76r1.htb	 -0.006	 0.000	 0.002	 -0.003	 0.003	 -0.004	 0.011	 -0.004	 -0.007	 0.009	 -0.009	 -0.001	 0.005	 0.001	 -0.004	 0.000	 -0.003	 -0.001	 0.003	 -0.003	 -0.004	 -0.003	 -0.001	 -0.005	 -0.008	 -0.000	 -0.005	 -0.002	 -0.004	 0.005	 -0.002	 0.001	 -0.006	 0.001	 0.006	 -0.004	 0.004	 0.002	 -0.002	 0.007	 0.012	 0.000	 -0.004	 0.002	 -0.000	 -0.006	 -0.009	 0.007	 -0.010	 -0.007	 -0.010	 -0.009	 -0.008	 0.002	 0.006	 0.001	 0.003	 -0.003	 0.009	 0.007	 0.008	 0.004	 0.010	 -0.001	 -0.006	 0.015	 -0.002	 0.003	 0.001	 -0.002	 -0.002	 0.008	 -0.004	 0.000	 0.008	 0.002	 0.003	 0.006	 0.003	 -0.007	 -0.001	 0.005	 0.007	 -0.010	 0.006	 -0.000	 0.001	 -0.004	 -0.007	 0.013	 -0.008	 0.000	 0.007	 -0.005	 -0.001	 -0.012	 0.005	 0.002	 0.007	 0.002	 -0.012	 -0.002	 0.003	 -0.003	 0.008	 -0.004	 0.010	 -0.015	 -0.004	 -0.003	 0.007	 -0.005	 0.009	 -0.008	 0.008	 0.003	 -0.003	 0.005	 0.005	 -0.004	 0.003	 0.008	 0.004	 -0.003	 0.016	 0.007	 -0.000	 0.004	 0.001	 -0.003	 0.004	 -0.010	 -0.006	 -0.006	 -0.005	 -0.006	 -0.006	 -0.005	 0.002	 0.005	 0.010	 0.007	 0.002	 -0.005	 -0.007	 0.003	 -0.010	 0.006	 0.004	 -0.006	 -0.006	 -0.008	 -0.008	 0.006	 -0.007	 0.010	 0.002	 0.003	 0.004	 -0.002	 0.015	 0.010	 -0.008	 0.006	 0.001	 0.005	 -0.004	 -0.003	 -0.001	 -0.004	 0.001	 0.000	 -0.003	 -0.005	 0.010	 0.004	 -0.003	 0.010	 -0.006	 0.006	 -0.001	 0.005	 0.007	 0.004	 0.004	 -0.005	 -0.011	 0.009	 -0.003	 0.004	 0.013	 0.018	 -0.003	 -0.000	 -0.002	 -0.001	 0.000	 -0.001	 0.004	 0.001	 0.005	 0.001	 
m2c77r1.htb	 -0.005	 0.002	 0.003	 -0.001	 -0.001	 -0.005	 -0.003	 0.003	 0.000	 0.003	 -0.002	 0.001	 0.003	 -0.008	 0.004	 -0.004	 -0.001	 0.006	 -0.003	 -0.003	 0.003	 -0.004	 -0.003	 0.001	 -0.008	 -0.002	 0.003	 -0.002	 -0.007	 -0.000	 -0.002	 0.000	 -0.006	 0.001	 -0.003	 0.000	 -0.011	 -0.006	 -0.001	 -0.000	 -0.003	 0.001	 0.002	 0.004	 -0.002	 -0.002	 -0.003	 -0.002	 -0.010	 -0.008	 -0.011	 -0.007	 -0.003	 -0.003	 -0.005	 -0.005	 0.001	 -0.003	 -0.002	 0.001	 -0.003	 -0.004	 0.005	 -0.011	 -0.001	 -0.005	 -0.001	 0.003	 -0.002	 -0.004	 0.000	 -0.008	 -0.001	 -0.002	 0.003	 -0.007	 -0.003	 -0.004	 0.000	 -0.004	 0.002	 0.002	 -0.007	 0.002	 -0.003	 -0.005	 -0.003	 -0.000	 0.001	 0.007	 -0.002	 -0.001	 0.004	 0.002	 0.004	 0.001	 -0.009	 -0.006	 0.005	 -0.005	 0.006	 -0.001	 -0.004	 0.004	 0.005	 -0.005	 -0.003	 -0.001	 -0.001	 0.001	 0.005	 0.004	 -0.007	 0.003	 -0.000	 0.002	 0.003	 -0.001	 0.001	 -0.001	 0.003	 0.001	 -0.004	 -0.004	 -0.005	 0.003	 -0.001	 -0.003	 0.002	 0.003	 0.001	 0.000	 -0.006	 -0.001	 -0.001	 -0.007	 -0.003	 -0.007	 0.009	 0.001	 0.004	 -0.004	 0.000	 -0.001	 -0.002	 -0.005	 -0.006	 -0.001	 -0.007	 -0.010	 -0.005	 -0.007	 -0.004	 -0.008	 -0.001	 0.005	 0.003	 -0.002	 -0.000	 -0.005	 0.000	 0.002	 0.001	 0.000	 -0.004	 -0.001	 -0.003	 -0.008	 -0.001	 0.010	 0.001	 -0.006	 -0.001	 -0.002	 -0.009	 -0.002	 0.000	 0.003	 -0.007	 0.000	 -0.002	 0.004	 -0.003	 -0.002	 -0.003	 -0.001	 -0.001	 0.005	 -0.002	 0.003	 -0.004	 0.005	 -0.004	 -0.011	 0.001	 -0.002	 -0.001	 0.004	 -0.002	 0.002	 0.005	 -0.003	 
m2c95r1.htb	 -0.002	 -0.005	 -0.003	 -0.001	 -0.002	 0.002	 0.003	 0.002	 -0.008	 0.004	 -0.003	 -0.002	 0.000	 -0.004	 -0.009	 -0.000	 0.003	 -0.002	 0.002	 -0.002	 0.006	 -0.003	 0.007	 0.008	 0.006	 -0.000	 -0.004	 -0.001	 0.010	 -0.003	 0.007	 0.000	 0.005	 0.002	 0.005	 0.003	 0.004	 -0.002	 -0.009	 0.005	 0.001	 -0.002	 0.003	 -0.014	 0.000	 -0.004	 0.004	 -0.003	 0.000	 -0.011	 -0.003	 -0.009	 -0.003	 -0.002	 -0.004	 0.010	 -0.005	 -0.000	 0.004	 -0.000	 -0.000	 -0.006	 -0.002	 -0.005	 0.007	 -0.005	 -0.006	 -0.009	 -0.002	 -0.011	 -0.006	 -0.006	 0.001	 -0.001	 -0.002	 -0.003	 0.000	 0.006	 0.003	 0.002	 -0.001	 0.002	 -0.000	 0.000	 -0.002	 -0.002	 0.001	 0.008	 0.002	 0.008	 -0.000	 0.003	 -0.009	 0.003	 -0.004	 -0.009	 -0.007	 0.008	 -0.000	 0.005	 0.002	 -0.002	 0.003	 -0.004	 0.000	 0.005	 -0.008	 -0.004	 0.001	 -0.005	 -0.013	 0.010	 -0.001	 0.016	 0.010	 0.010	 -0.002	 -0.001	 0.003	 -0.001	 0.003	 0.006	 0.001	 0.003	 0.002	 0.006	 0.006	 0.002	 0.002	 -0.000	 0.010	 -0.001	 0.006	 -0.003	 0.001	 -0.006	 -0.000	 -0.002	 0.009	 -0.003	 0.006	 -0.001	 0.005	 -0.012	 0.011	 0.004	 0.007	 0.001	 0.000	 0.004	 -0.003	 -0.001	 -0.014	 0.001	 0.003	 -0.000	 0.004	 0.016	 0.001	 0.003	 0.000	 -0.003	 0.004	 0.006	 -0.002	 -0.005	 -0.008	 -0.005	 -0.000	 -0.005	 0.000	 0.004	 0.001	 0.003	 -0.002	 -0.005	 0.005	 0.003	 -0.005	 0.005	 0.000	 -0.002	 0.004	 0.004	 0.003	 0.002	 0.003	 0.001	 0.013	 -0.001	 0.004	 0.004	 0.003	 0.003	 -0.001	 -0.007	 -0.000	 -0.010	 0.003	 0.008	 0.009	 -0.001	 
m2c116r1.htb	 -0.001	 -0.002	 0.007	 -0.000	 -0.005	 0.005	 0.003	 -0.007	 0.002	 -0.001	 0.000	 0.007	 -0.002	 -0.001	 -0.001	 0.000	 -0.001	 0.002	 -0.001	 0.002	 -0.004	 0.006	 0.001	 0.000	 0.000	 -0.003	 -0.004	 -0.003	 0.002	 -0.006	 -0.003	 -0.003	 -0.005	 0.004	 0.004	 0.003	 0.008	 0.005	 0.010	 -0.008	 0.009	 -0.002	 0.001	 0.001	 0.005	 0.010	 0.007	 -0.003	 -0.010	 -0.023	 -0.018	 -0.019	 -0.013	 -0.000	 0.003	 0.005	 0.003	 0.014	 0.008	 -0.003	 0.004	 0.003	 0.003	 0.003	 0.002	 -0.005	 0.000	 -0.006	 -0.004	 0.002	 0.010	 -0.010	 0.006	 -0.007	 0.008	 -0.006	 0.006	 0.002	 0.000	 0.003	 -0.001	 0.000	 -0.001	 -0.001	 0.002	 -0.010	 0.004	 0.003	 -0.010	 0.004	 0.006	 -0.002	 -0.006	 0.000	 0.008	 0.003	 -0.010	 -0.003	 -0.003	 0.003	 -0.009	 0.003	 -0.001	 0.008	 -0.004	 0.001	 -0.002	 -0.009	 -0.007	 0.005	 -0.006	 0.005	 0.001	 0.001	 -0.013	 0.001	 0.004	 -0.004	 -0.001	 -0.002	 0.003	 0.001	 -0.005	 -0.002	 0.003	 -0.001	 0.001	 -0.002	 -0.001	 0.009	 -0.008	 0.006	 0.008	 -0.003	 0.006	 -0.004	 0.006	 -0.001	 0.002	 0.019	 0.002	 -0.000	 0.005	 0.007	 0.005	 -0.002	 0.007	 -0.005	 0.006	 -0.009	 -0.018	 -0.023	 -0.020	 -0.013	 0.001	 0.000	 0.012	 0.006	 0.002	 -0.003	 -0.007	 0.002	 -0.001	 0.005	 -0.004	 -0.006	 -0.008	 0.004	 0.008	 -0.005	 0.001	 0.001	 0.003	 0.010	 -0.011	 0.002	 -0.001	 0.005	 -0.002	 -0.002	 0.007	 0.010	 -0.001	 0.003	 -0.000	 -0.001	 0.005	 0.001	 0.000	 -0.003	 -0.004	 0.007	 0.004	 -0.004	 0.004	 -0.004	 0.004	 -0.004	 -0.005	 0.000	 -0.009	 0.007	 
