FILE	
m2c66r2.htb 2.321 0.681 0.002 0.654 0.566 
m2c67r2.htb 9.710 0.504 0.836 0.718 0.414 
m2c70r2.htb 17.030 0.540 0.570 0.982 0.711 
m2c71r2.htb 5.918 0.623 0.058 0.116 0.081 
m2c72r2.htb 3.589 0.627 0.043 0.097 0.736 
m2c77r2.htb 11.682 0.544 0.383 0.005 0.992 
m2c78r2.htb 300.000 0.562 0.357 0.662 0.926 
m2c79r2.htb 20.630 0.518 0.597 0.806 0.150 
m2c81r2.htb 25.147 0.631 0.012 0.233 0.769 
m2c82r2.htb 29.610 0.358 0.007 0.265 0.880 
m2c84r2.htb 6.418 0.652 0.002 0.003 0.523 
m2c86r2.htb 7.810 0.545 0.431 0.247 0.746 
m2c91r2.htb 17.060 0.540 0.831 0.850 0.019 
m2c93r2.htb 5.471 0.501 0.909 0.241 0.510 
m2c94r2.htb 27.773 0.609 0.026 0.764 0.778 
m2c97r2.htb 10.446 0.523 0.517 0.000 0.821 
m2c98r2.htb 31.689 0.638 0.002 0.002 0.323 
m2c99r2.htb 3.723 0.595 0.026 0.284 0.177 
m2c100r2.htb 4.379 0.766 0.000 0.319 0.226 
m2c101r2.htb 126.016 0.526 0.475 0.818 0.802 
m2c103r2.htb 13.113 0.523 0.759 0.567 0.654 
m2c109r2.htb 20.087 0.576 0.087 0.934 0.877 
m2c110r2.htb 16.121 0.552 0.272 0.010 0.982 
m2c116r2.htb 15.257 0.590 0.106 0.147 0.171 
m2c119r2.htb 226.860 0.483 0.868 0.234 0.124 
m2c121r2.htb 51.128 0.464 0.428 0.431 0.308 
m2c125r2.htb 21.454 0.491 0.841 0.001 0.249 
m2c126r2.htb 34.020 0.480 0.821 0.297 0.424 
m2c127r2.htb 7.944 0.612 0.203 0.711 0.092 
m2c128r2.htb 7.383 0.571 0.225 0.028 0.077 
m2c129r2.htb 15.302 0.562 0.229 0.101 0.364 
m2c130r2.htb 7.580 0.612 0.022 0.071 0.409 
m2c131r2.htb 13.151 0.640 0.005 0.537 0.681 
m2c134r2.htb 9.717 0.448 0.092 0.170 0.859 
m2c135r2.htb 5.551 0.505 0.857 0.875 0.740 
m2c137r2.htb 2.811 0.529 0.516 0.136 0.909 
m2c138r2.htb 23.446 0.414 0.081 0.315 0.229 
m2c139r2.htb 108.464 0.517 0.949 0.373 0.623 
m2c140r2.htb 2.047 0.660 0.007 0.242 0.061 
m2c141r2.htb 7.316 0.578 0.196 0.787 0.908 
m2c143r2.htb 16.773 0.609 0.030 0.157 0.019 
m2c144r2.htb 7.573 0.631 0.047 0.635 0.229 
m2c145r2.htb 5.861 0.573 0.291 0.238 0.665 
m2c148r2.htb 19.178 0.524 0.411 0.330 0.190 
m2c149r2.htb 7.514 0.550 0.367 0.019 0.723 
m2c150r2.htb 25.026 0.574 0.249 0.513 0.383 
m2c151r2.htb 6.731 0.652 0.027 0.210 0.133 
m2c152r2.htb 17.526 0.467 0.147 0.878 0.799 
m2c155r2.htb 9.462 0.541 0.482 0.075 0.929 
m2c157r2.htb 2.089 0.567 0.244 0.512 0.721 
m2c158r2.htb 2.622 0.607 0.024 0.479 0.354 
m2c159r2.htb 9.128 0.452 0.433 0.273 0.847 
m2c160r2.htb 4.821 0.644 0.049 0.610 0.104 
m2c161r2.htb 7.055 0.645 0.009 0.306 0.264 
m2c162r2.htb 10.066 0.573 0.014 0.002 0.917 
m2c163r2.htb 64.784 0.468 0.470 0.472 0.244 
m2c168r3.htb 31.427 0.527 0.776 0.867 0.098 
m2c170r2.htb 13.219 0.661 0.141 0.425 0.489 
m2c172r2.htb 8.664 0.499 0.842 0.825 0.788 
m2c174r2.htb 5.945 0.565 0.223 0.807 0.653 
m2c175r2.htb 32.583 0.556 0.479 0.437 0.500 
m2c176r2.htb 21.309 0.528 0.489 0.426 0.463 
m2c177r2.htb 88.487 0.525 0.990 0.181 0.018 
m2c178r2.htb 58.740 0.604 0.052 0.071 0.973 
m2c179r2.htb 5.092 0.583 0.077 0.575 0.506 
m2c180r2.htb 22.488 0.506 0.895 0.624 0.190 
m2c181r2.htb 3.762 0.574 0.236 0.043 0.567 
m2c182r2.htb 6.408 0.619 0.002 0.821 0.454 
m2c183r2.htb 5.551 0.575 0.190 0.028 0.755 
m2c184r2.htb 3.590 0.576 0.093 0.067 0.333 
m2c185r2.htb 2.014 0.749 0.000 0.085 0.987 
m2c186r2.htb 42.255 0.411 0.091 0.483 0.094 
m2c187r2.htb 54.299 0.556 0.313 0.271 0.519 
m2c189r2.htb 80.117 0.499 0.702 0.950 0.400 
m2c190r2.htb 28.722 0.478 0.711 0.104 0.635 
m2c191r2.htb 11.459 0.514 0.610 0.147 0.924 
m2c193r2.htb 57.157 0.571 0.867 0.898 0.958 
m2c195r2.htb 300.000 0.466 0.572 0.027 0.474 
m2c196r3.htb 2.312 0.550 0.327 0.001 0.250 
m2c197r2.htb 5.076 0.533 0.253 0.139 0.630 
m2c198r2.htb 5.775 0.546 0.711 0.952 0.869 
m2c199r2.htb 7.696 0.555 0.221 0.583 0.485 
m2c200r2.htb 4.321 0.564 0.275 0.946 0.741 
m2c202r2.htb 47.324 0.582 0.055 0.027 0.105 
m2c214r2.htb 5.011 0.546 0.463 0.009 0.294 
m2c220r2.htb 21.992 0.568 0.415 0.392 0.237 
m2c221r2.htb 9.666 0.606 0.091 0.110 0.466 
m2c223r2.htb 11.481 0.551 0.347 0.000 0.711 
m2c226r2.htb 4.207 0.563 0.163 0.000 0.031 
m2c231r2.htb 14.287 0.589 0.064 0.588 0.976 
m2c233r2.htb 50.072 0.527 0.830 0.810 0.336 
m2c236r2.htb 7.546 0.624 0.028 0.068 0.583 
m2c237r2.htb 18.130 0.563 0.185 0.384 0.334 
m2c240r2.htb 94.726 0.476 0.262 0.918 0.888 
m2c241r2.htb 45.238 0.524 0.345 0.859 0.173 
m2c242r2.htb 3.914 0.595 0.237 0.472 0.785 
m2c244r2.htb 32.308 0.656 0.058 0.863 0.598 
m2c247r2.htb 24.664 0.535 0.556 0.860 0.648 
m2c252r2.htb 11.019 0.550 0.273 0.005 0.637 
m2c254r2.htb 3.727 0.555 0.093 0.024 0.517 
m2c258r2.htb 208.423 0.544 0.478 0.449 0.424 
m2c260r2.htb 23.118 0.489 0.598 0.029 0.266 
m2c262r2.htb 46.179 0.476 0.518 0.727 0.676 
m2c364r2.htb 37.687 0.428 0.281 0.897 0.858 
m2c365r2.htb 22.676 0.461 0.727 0.311 0.133 
m2c368r2.htb 24.948 0.495 0.789 0.074 0.714 
m2c369r2.htb 106.095 0.491 0.847 0.001 0.295 
m2c370r2.htb 5.794 0.532 0.779 0.402 0.409 
m2c372r2.htb 40.987 0.460 0.409 0.202 0.105 
m2c374r2.htb 4.811 0.653 0.000 0.109 0.874 
m2c376r2.htb 199.966 0.473 0.618 0.871 0.926 
m2c378r2.htb 28.927 0.545 0.188 0.606 0.172 
m2c382r2.htb 117.657 0.444 0.430 0.076 0.938 
m2c384r2.htb 27.974 0.520 0.796 0.537 0.971 
m2c392r2.htb 5.136 0.601 0.134 0.672 0.951 
m2c403r2.htb 8.469 0.562 0.198 0.435 0.712 
m2c409r2.htb 16.470 0.540 0.606 0.701 0.360 
m2c417r2.htb 54.651 0.483 0.735 0.088 0.823 
m2c423r2.htb 25.094 0.470 0.624 0.629 0.267 
m2c427r2.htb 16.081 0.513 0.814 0.957 0.672 
m2c429r2.htb 7.773 0.659 0.002 0.117 0.972 
m2c436r2.htb 3.951 0.605 0.005 0.473 0.829 
m2c441r2.htb 2.101 0.688 0.000 0.492 0.777 
m2c443r2.htb 300.000 0.522 0.733 0.089 0.533 
m2c445r2.htb 7.053 0.648 0.025 0.843 0.820 
m2c450r2.htb 11.697 0.659 0.046 0.000 0.938 
m5c4r2.htb 17.362 0.528 0.685 0.008 0.557 
m5c6r2.htb 96.866 0.599 0.027 0.224 0.007 
m5c7r2.htb 26.003 0.601 0.042 0.896 0.289 
m5c8r2.htb 6.886 0.565 0.560 0.887 0.848 
m5c13r2.htb 20.296 0.538 0.283 0.779 0.831 
m5c14r2.htb 32.157 0.495 0.681 0.713 0.787 
m5c15r2.htb 12.572 0.513 0.487 0.820 0.451 
m5c25r2.htb 42.704 0.508 0.839 0.121 0.442 
m5c29r2.htb 300.000 0.525 0.414 0.259 0.814 
m5c30r2.htb 20.032 0.504 0.758 0.310 0.689 
m5c35r2.htb 39.844 0.553 0.418 0.010 0.747 
m5c37r2.htb 31.523 0.705 0.001 0.056 0.421 
m5c38r2.htb 89.819 0.631 0.003 0.160 0.844 
m5c40r2.htb 24.844 0.470 0.400 0.020 0.674 
m5c42r2.htb 11.164 0.567 0.810 0.040 0.357 
m5c46r2.htb 74.957 0.467 0.278 0.261 0.553 
m5c49r2.htb 75.696 0.508 0.834 0.201 0.275 
m5c54r2.htb 197.608 0.485 0.924 0.307 0.285 
m5c60r2.htb 9.807 0.592 0.086 0.738 0.817 
m5c63r2.htb 9.521 0.551 0.732 0.238 0.000 
m5c66r2.htb 6.890 0.582 0.147 0.579 0.989 
m5c67r2.htb 110.701 0.474 0.676 0.097 0.844 
m5c69r2.htb 7.666 0.591 0.026 0.954 0.043 
m5c70r2.htb 16.461 0.617 0.004 0.996 0.100 
m5c71r2.htb 18.516 0.571 0.097 0.119 0.129 
m5c74r2.htb 59.638 0.517 0.711 0.274 0.082 
m5c75r2.htb 7.307 0.502 0.845 0.561 0.040 
m5c79r2.htb 48.025 0.540 0.331 0.105 0.944 
m5c81r2.htb 23.110 0.497 0.674 0.326 0.825 
m5c82r2.htb 37.023 0.573 0.266 0.075 0.491 
m5c83r2.htb 27.920 0.605 0.028 0.509 0.091 
m5c87r2.htb 21.377 0.606 0.081 0.009 0.905 
m5c92r2.htb 56.704 0.615 0.041 0.408 0.446 
m5c94r2.htb 68.757 0.503 0.968 0.331 0.570 
m5c95r2.htb 300.000 0.551 0.344 0.730 0.514 
m5c100r2.htb 32.844 0.513 0.969 0.869 0.307 
m5c103r2.htb 7.752 0.551 0.659 0.409 0.773 
m5c107r2.htb 164.080 0.510 0.376 0.598 0.571 
m5c108r3.htb 300.000 0.513 0.540 0.545 0.683 
m5c109r2.htb 26.033 0.438 0.055 0.615 0.415 
