FILE	
m2c66r2.htb 21.901 0.634 0.018 0.002 0.554 0.053 0.684 0.683 
m2c67r2.htb 470.628 0.346 0.000 0.848 0.420 0.805 0.503 0.506 
m2c70r2.htb 23.729 0.589 0.226 0.674 0.154 0.450 0.540 0.534 
m2c71r2.htb 25.003 0.646 0.024 0.143 0.081 0.384 0.617 0.596 
m2c72r2.htb 14.605 0.592 0.158 0.020 0.146 0.244 0.644 0.635 
m2c77r2.htb 55.749 0.582 0.076 0.317 0.001 0.233 0.555 0.541 
m2c78r2.htb 53.928 0.581 0.204 0.396 0.861 0.700 0.557 0.555 
m2c79r2.htb 42.243 0.610 0.020 0.533 0.086 0.394 0.519 0.522 
m2c81r2.htb -75.695 0.463 0.466 0.005 0.499 0.409 0.663 0.656 
m2c82r2.htb 111.069 0.682 0.000 0.007 0.442 0.902 0.347 0.354 
m2c84r2.htb 18.661 0.616 0.022 0.001 0.085 0.838 0.661 0.660 
m2c86r2.htb -43.118 0.406 0.060 0.402 0.394 0.022 0.543 0.549 
m2c91r2.htb 59.170 0.396 0.106 0.966 0.307 0.560 0.549 0.542 
m2c93r2.htb 141.224 0.634 0.000 0.588 0.084 0.816 0.506 0.484 
m2c94r2.htb -126.016 0.353 0.004 0.084 0.027 0.566 0.611 0.585 
m2c97r2.htb 41.056 0.596 0.038 0.116 0.299 0.130 0.572 0.569 
m2c98r2.htb 31.377 0.699 0.000 0.010 0.003 0.239 0.669 0.603 
m2c99r2.htb 43.165 0.577 0.052 0.032 0.104 0.286 0.596 0.593 
m2c100r2.htb 36.664 0.554 0.228 0.000 0.229 0.042 0.762 0.759 
m2c101r2.htb -131.477 0.382 0.024 0.517 0.877 0.426 0.524 0.521 
m2c103r2.htb 92.295 0.526 0.632 0.692 0.895 0.984 0.527 0.526 
m2c109r2.htb 24.328 0.624 0.024 0.132 0.068 0.966 0.575 0.568 
m2c110r2.htb -116.933 0.455 0.378 0.197 0.328 0.622 0.563 0.562 
m2c116r2.htb 321.043 0.577 0.146 0.062 0.017 0.222 0.585 0.605 
m2c119r2.htb 47.420 0.564 0.162 0.891 0.543 0.275 0.488 0.486 
m2c121r2.htb 40.496 0.619 0.024 0.331 0.184 0.234 0.469 0.455 
m2c125r2.htb -41.663 0.391 0.036 0.531 0.225 0.380 0.471 0.475 
m2c126r2.htb 40.145 0.647 0.004 0.929 0.387 0.051 0.472 0.479 
m2c127r2.htb 12.056 0.583 0.344 0.252 0.491 0.360 0.615 0.602 
m2c128r2.htb 16.327 0.552 0.280 0.208 0.322 0.260 0.575 0.573 
m2c129r2.htb 41.762 0.654 0.006 0.256 0.121 0.984 0.599 0.565 
m2c130r2.htb 19.270 0.629 0.004 0.017 0.898 0.492 0.629 0.618 
m2c131r2.htb 21.910 0.537 0.442 0.004 0.736 0.872 0.642 0.642 
m2c134r2.htb 35.963 0.556 0.270 0.048 0.072 0.650 0.438 0.419 
m2c135r2.htb 17.197 0.491 0.912 0.810 0.213 0.875 0.502 0.497 
m2c137r2.htb 14.729 0.564 0.520 0.288 0.418 0.023 0.578 0.590 
m2c138r2.htb 97.239 0.511 0.740 0.101 0.368 0.124 0.417 0.423 
m2c139r2.htb 25.749 0.604 0.076 0.939 0.515 0.148 0.511 0.514 
m2c140r2.htb 31.146 0.606 0.046 0.005 0.822 0.730 0.677 0.680 
m2c141r2.htb 15.596 0.660 0.000 0.498 0.016 0.642 0.584 0.541 
m2c143r2.htb 29.997 0.562 0.250 0.050 0.545 0.036 0.610 0.602 
m2c144r2.htb 56.041 0.556 0.456 0.045 0.410 0.653 0.631 0.630 
m2c145r2.htb 12.938 0.658 0.044 0.246 0.291 0.885 0.561 0.581 
m2c148r2.htb 29.039 0.631 0.034 0.743 0.209 0.545 0.516 0.491 
m2c149r2.htb 117.657 0.602 0.024 0.187 0.491 0.034 0.568 0.570 
m2c150r2.htb 53.215 0.657 0.044 0.168 0.209 0.170 0.569 0.587 
m2c151r2.htb 88.347 0.527 0.716 0.050 0.940 0.751 0.636 0.636 
m2c152r2.htb 17.880 0.560 0.228 0.156 0.881 0.617 0.466 0.464 
m2c155r2.htb 18.203 0.503 0.968 0.351 0.158 0.042 0.545 0.546 
m2c157r2.htb -71.728 0.328 0.000 0.349 0.328 0.482 0.567 0.551 
m2c158r2.htb 32.614 0.542 0.292 0.027 0.941 0.663 0.612 0.605 
m2c159r2.htb 41.806 0.501 0.922 0.355 0.935 0.548 0.442 0.443 
m2c160r2.htb 182.216 0.391 0.146 0.081 0.151 0.556 0.655 0.645 
m2c161r2.htb 38.698 0.624 0.008 0.013 0.591 0.244 0.649 0.633 
m2c162r2.htb 30.705 0.618 0.012 0.013 0.194 0.859 0.581 0.573 
m2c163r2.htb 28.577 0.614 0.004 0.603 0.483 0.744 0.470 0.475 
m2c168r3.htb -215.735 0.618 0.122 0.802 0.907 0.027 0.527 0.525 
m2c170r2.htb 205.152 0.632 0.072 0.246 0.646 0.309 0.656 0.643 
m2c172r2.htb 16.446 0.608 0.120 0.985 0.040 0.588 0.499 0.511 
m2c174r2.htb 16.200 0.593 0.142 0.232 0.806 0.076 0.568 0.559 
m2c175r2.htb 11.481 0.485 0.832 0.524 0.149 0.093 0.547 0.534 
m2c176r2.htb 15.459 0.608 0.120 0.699 0.838 0.032 0.512 0.508 
m2c177r2.htb 18.657 0.598 0.060 0.838 0.753 0.056 0.512 0.508 
m2c178r2.htb 20.161 0.575 0.172 0.070 0.544 0.133 0.597 0.594 
m2c179r2.htb 29.433 0.554 0.356 0.076 0.847 0.344 0.584 0.583 
m2c180r2.htb 11.706 0.585 0.182 0.758 0.103 0.308 0.505 0.514 
m2c181r2.htb 21.611 0.568 0.096 0.210 0.005 0.965 0.586 0.574 
m2c182r2.htb 58.077 0.556 0.134 0.004 0.214 0.947 0.618 0.611 
m2c183r2.htb 84.997 0.444 0.368 0.235 0.714 0.057 0.567 0.572 
m2c184r2.htb 18.808 0.443 0.186 0.042 0.795 0.836 0.592 0.591 
m2c185r2.htb 17.781 0.482 0.650 0.000 0.473 0.640 0.749 0.750 
m2c186r2.htb 20.987 0.580 0.126 0.039 0.041 0.537 0.413 0.393 
m2c187r2.htb 9.191 0.616 0.022 0.481 0.065 0.645 0.560 0.538 
m2c189r2.htb 20.919 0.618 0.066 0.971 0.026 0.771 0.499 0.480 
m2c190r2.htb 13.944 0.473 0.540 0.670 0.642 0.612 0.479 0.477 
m2c191r2.htb 14.667 0.516 0.720 0.787 0.055 0.118 0.512 0.504 
m2c193r2.htb 15.008 0.618 0.004 0.811 0.749 0.370 0.570 0.568 
m2c195r2.htb 12.005 0.609 0.040 0.955 0.152 0.768 0.469 0.492 
m2c196r3.htb 35.916 0.498 0.994 0.039 0.113 0.287 0.602 0.608 
m2c197r2.htb 31.476 0.591 0.024 0.229 0.764 0.462 0.534 0.535 
m2c198r2.htb 26.811 0.637 0.062 0.674 0.016 0.875 0.546 0.483 
m2c199r2.htb 92.295 0.503 0.902 0.187 0.514 0.336 0.560 0.564 
m2c200r2.htb 42.527 0.661 0.006 0.333 0.773 0.411 0.564 0.555 
m2c202r2.htb 13.045 0.590 0.092 0.099 0.129 0.799 0.581 0.571 
m2c214r2.htb 24.554 0.456 0.472 0.740 0.018 0.398 0.528 0.518 
m2c220r2.htb 27.899 0.599 0.162 0.471 0.805 0.073 0.559 0.553 
m2c221r2.htb 83.505 0.542 0.350 0.157 0.305 0.303 0.596 0.588 
m2c223r2.htb 34.260 0.547 0.310 0.392 0.320 0.801 0.563 0.556 
m2c226r2.htb 18.700 0.646 0.002 0.100 0.293 0.949 0.599 0.578 
m2c231r2.htb 56.166 0.553 0.330 0.072 0.764 0.855 0.590 0.585 
m2c233r2.htb 20.778 0.562 0.306 0.870 0.421 0.637 0.528 0.524 
m2c236r2.htb 31.126 0.519 0.718 0.022 0.980 0.170 0.629 0.623 
m2c237r2.htb 25.613 0.539 0.316 0.176 0.113 0.096 0.559 0.563 
m2c240r2.htb 38.807 0.653 0.000 0.173 0.402 0.419 0.469 0.459 
m2c241r2.htb 18.966 0.647 0.018 0.382 0.965 0.461 0.524 0.516 
m2c242r2.htb 32.085 0.466 0.630 0.207 0.443 0.897 0.599 0.597 
m2c244r2.htb 18.773 0.544 0.568 0.056 0.904 0.493 0.656 0.658 
