FILE	
m2c66r2.htb 21.901 0.634 0.024 0.366 0.002 0.689 0.076 0.684 0.682 
m2c67r2.htb 470.628 0.346 0.000 0.654 0.861 0.604 0.957 0.503 0.505 
m2c70r2.htb 23.729 0.589 0.236 0.411 0.643 0.170 0.381 0.540 0.539 
m2c71r2.htb 25.003 0.646 0.024 0.354 0.154 0.085 0.395 0.617 0.595 
m2c72r2.htb 14.605 0.592 0.124 0.592 0.025 0.310 0.547 0.644 0.634 
m2c77r2.htb 55.749 0.582 0.060 0.418 0.406 0.000 0.228 0.555 0.534 
m2c78r2.htb 53.928 0.581 0.232 0.581 0.393 0.879 0.553 0.557 0.556 
m2c79r2.htb 42.243 0.610 0.018 0.390 0.532 0.272 0.461 0.519 0.521 
m2c81r2.htb -62.304 0.332 0.000 0.668 0.006 0.964 0.795 0.663 0.641 
m2c82r2.htb 111.069 0.682 0.000 0.318 0.007 0.308 0.619 0.347 0.355 
m2c84r2.htb 18.661 0.616 0.022 0.616 0.002 0.221 0.877 0.661 0.653 
m2c86r2.htb -43.118 0.406 0.044 0.594 0.379 0.204 0.035 0.543 0.550 
m2c91r2.htb 59.170 0.396 0.106 0.604 0.928 0.496 0.519 0.549 0.539 
m2c93r2.htb 141.224 0.634 0.002 0.366 0.592 0.029 0.851 0.506 0.486 
m2c94r2.htb -126.016 0.353 0.000 0.647 0.102 0.050 0.337 0.611 0.579 
m2c97r2.htb 41.056 0.596 0.018 0.404 0.119 0.273 0.165 0.572 0.569 
m2c98r2.htb 31.377 0.699 0.000 0.699 0.015 0.001 0.362 0.669 0.592 
m2c99r2.htb 43.165 0.577 0.060 0.577 0.039 0.058 0.268 0.596 0.589 
m2c100r2.htb 36.664 0.554 0.236 0.554 0.000 0.199 0.075 0.762 0.762 
m2c101r2.htb -131.477 0.382 0.028 0.618 0.513 0.926 0.340 0.524 0.520 
m2c103r2.htb 92.295 0.526 0.610 0.474 0.701 0.802 0.831 0.527 0.527 
m2c109r2.htb 24.328 0.624 0.012 0.376 0.150 0.046 0.823 0.575 0.563 
m2c110r2.htb -116.933 0.455 0.336 0.545 0.188 0.377 0.506 0.563 0.566 
m2c116r2.htb 321.043 0.577 0.138 0.423 0.059 0.005 0.191 0.585 0.607 
m2c119r2.htb 47.420 0.564 0.148 0.564 0.923 0.804 0.290 0.488 0.484 
m2c121r2.htb 40.496 0.619 0.030 0.619 0.411 0.451 0.339 0.469 0.459 
m2c125r2.htb -41.663 0.391 0.050 0.609 0.465 0.256 0.582 0.471 0.467 
m2c126r2.htb 40.145 0.647 0.004 0.353 0.923 0.372 0.036 0.472 0.476 
m2c127r2.htb 12.056 0.583 0.390 0.417 0.243 0.533 0.346 0.615 0.606 
m2c128r2.htb 16.327 0.552 0.290 0.448 0.203 0.364 0.241 0.575 0.574 
m2c129r2.htb 41.762 0.654 0.006 0.654 0.245 0.045 0.883 0.599 0.570 
m2c130r2.htb 19.270 0.629 0.016 0.629 0.017 0.839 0.446 0.629 0.620 
m2c131r2.htb 21.910 0.537 0.444 0.537 0.004 0.974 0.863 0.642 0.642 
m2c134r2.htb 35.963 0.556 0.232 0.444 0.056 0.131 0.828 0.438 0.422 
m2c135r2.htb 17.197 0.491 0.900 0.509 0.855 0.209 0.845 0.502 0.496 
m2c137r2.htb 14.729 0.564 0.536 0.564 0.258 0.553 0.008 0.578 0.588 
m2c138r2.htb 97.239 0.511 0.852 0.489 0.088 0.276 0.245 0.417 0.417 
m2c139r2.htb 25.749 0.604 0.056 0.396 0.897 0.459 0.219 0.511 0.519 
m2c140r2.htb 31.146 0.606 0.034 0.394 0.005 0.883 0.936 0.677 0.678 
m2c141r2.htb 15.596 0.660 0.000 0.340 0.410 0.022 0.775 0.584 0.549 
m2c143r2.htb 29.997 0.562 0.218 0.562 0.049 0.513 0.018 0.610 0.603 
m2c144r2.htb 21.799 0.601 0.168 0.601 0.057 0.684 0.755 0.631 0.618 
m2c145r2.htb 12.938 0.658 0.026 0.658 0.286 0.419 0.527 0.561 0.575 
m2c148r2.htb 29.039 0.631 0.054 0.631 0.706 0.313 0.322 0.516 0.491 
m2c149r2.htb 117.657 0.602 0.028 0.602 0.225 0.906 0.029 0.568 0.570 
m2c150r2.htb 53.215 0.657 0.038 0.343 0.168 0.309 0.152 0.569 0.587 
m2c151r2.htb 88.347 0.527 0.738 0.527 0.051 0.804 0.919 0.636 0.636 
m2c152r2.htb 17.880 0.560 0.202 0.440 0.153 0.943 0.731 0.466 0.464 
m2c155r2.htb 18.203 0.503 0.980 0.497 0.380 0.254 0.016 0.545 0.538 
m2c157r2.htb -71.728 0.328 0.000 0.672 0.374 0.327 0.763 0.567 0.551 
m2c158r2.htb 32.614 0.542 0.298 0.542 0.030 0.423 0.495 0.612 0.604 
m2c159r2.htb 41.806 0.501 0.990 0.499 0.340 0.948 0.814 0.442 0.443 
m2c160r2.htb 26.788 0.453 0.548 0.547 0.051 0.650 0.339 0.655 0.656 
m2c161r2.htb 38.698 0.624 0.008 0.624 0.011 0.652 0.311 0.649 0.636 
m2c162r2.htb 30.705 0.618 0.002 0.618 0.014 0.282 0.954 0.581 0.570 
m2c163r2.htb 28.577 0.614 0.006 0.386 0.571 0.517 0.703 0.470 0.473 
m2c168r3.htb -215.735 0.618 0.120 0.618 0.827 0.766 0.039 0.527 0.526 
m2c170r2.htb 205.152 0.632 0.072 0.632 0.232 0.702 0.724 0.656 0.644 
m2c172r2.htb 16.446 0.608 0.096 0.392 0.928 0.055 0.649 0.499 0.520 
m2c174r2.htb 16.200 0.593 0.118 0.593 0.216 0.880 0.044 0.568 0.563 
m2c175r2.htb 23.308 0.618 0.148 0.382 0.477 0.667 0.622 0.547 0.552 
m2c176r2.htb 15.459 0.608 0.156 0.392 0.662 0.918 0.014 0.512 0.513 
m2c177r2.htb 18.657 0.598 0.062 0.402 0.818 0.670 0.073 0.512 0.506 
m2c178r2.htb 20.161 0.575 0.170 0.425 0.072 0.585 0.264 0.597 0.594 
m2c179r2.htb 29.433 0.554 0.364 0.446 0.074 0.750 0.409 0.584 0.584 
m2c180r2.htb 11.706 0.585 0.180 0.585 0.779 0.134 0.227 0.505 0.512 
