FILE	
m2c66r2.htb 0.448 0.417 0.372 0.360 0.391 0.366 0.367 0.384 0.559 0.455 0.441 0.546 0.866 0.992 0.955 0.919 22.028 32.335 300.000 32.509 17.181 21.901 21.313 27.592 69.781 42.661 124.995 52.136 7.266 1.514 1.204 0.691 
m2c67r2.htb 0.494 0.416 0.451 0.403 0.332 0.346 0.374 0.438 0.431 0.459 0.483 0.509 0.796 0.978 0.967 0.912 38.456 32.784 32.574 33.612 300.000 300.000 90.559 40.709 70.617 83.505 112.904 300.000 4.261 1.318 1.184 0.742 
m2c70r2.htb 0.579 0.450 0.536 0.569 0.396 0.411 0.466 0.416 0.350 0.434 0.438 0.468 0.799 1.000 0.973 0.783 300.000 40.134 59.908 39.858 27.282 23.729 16.865 300.000 33.626 48.467 300.000 45.737 1.352 1.234 1.279 0.495 
m2c71r2.htb 0.596 0.504 0.392 0.364 0.358 0.354 0.497 0.576 0.513 0.521 0.518 0.553 0.826 1.000 0.977 0.916 95.619 61.264 43.893 80.710 221.231 25.003 109.883 300.000 47.928 38.782 55.045 86.073 6.705 0.997 1.036 0.547 
m2c72r2.htb 0.435 0.436 0.488 0.469 0.401 0.408 0.434 0.471 0.451 0.525 0.561 0.597 0.878 0.996 0.950 0.872 34.135 18.054 300.000 50.720 20.405 14.605 19.255 23.941 34.103 48.220 43.328 300.000 1.666 1.773 0.972 0.301 
m2c77r2.htb 0.436 0.480 0.448 0.462 0.396 0.418 0.433 0.404 0.526 0.536 0.579 0.552 0.821 0.988 0.985 0.960 51.235 66.968 54.012 65.308 117.811 55.749 31.415 127.588 41.868 125.240 74.665 88.487 6.225 1.449 1.383 0.699 
m2c78r2.htb 0.434 0.492 0.448 0.320 0.425 0.419 0.407 0.447 0.514 0.551 0.567 0.560 0.900 1.000 0.982 0.950 57.737 300.000 49.124 40.196 15.707 53.928 300.000 35.169 38.526 300.000 52.039 30.476 1.890 1.078 1.184 0.640 
m2c79r2.htb 0.613 0.531 0.515 0.515 0.460 0.390 0.454 0.489 0.464 0.472 0.453 0.543 0.811 0.991 0.994 0.962 73.115 52.270 300.000 67.377 155.258 42.243 50.138 77.613 102.722 32.384 27.805 40.870 5.564 1.588 1.338 0.744 
m2c81r2.htb 0.390 0.362 0.364 0.346 0.311 0.332 0.318 0.369 0.349 0.457 0.530 0.527 0.798 0.996 0.992 0.959 34.183 52.778 300.000 300.000 157.614 300.000 15.623 48.360 28.830 227.481 35.887 44.850 6.644 1.645 1.552 0.764 
m2c82r2.htb 0.392 0.462 0.451 0.417 0.326 0.318 0.300 0.379 0.410 0.422 0.445 0.478 0.910 1.000 0.993 0.948 25.537 20.834 35.339 74.070 300.000 111.069 45.116 166.225 56.094 31.986 300.000 130.007 2.218 1.880 1.380 0.434 
m2c84r2.htb 0.535 0.471 0.388 0.392 0.373 0.384 0.457 0.465 0.499 0.499 0.474 0.477 0.808 0.946 0.978 0.890 17.464 14.959 18.836 43.175 19.000 18.661 13.698 25.301 300.000 300.000 37.964 230.917 4.363 1.349 1.064 0.471 
m2c86r2.htb 0.517 0.532 0.481 0.464 0.411 0.406 0.423 0.489 0.478 0.396 0.429 0.421 0.874 0.998 0.974 0.981 32.608 40.483 32.106 32.326 16.659 300.000 75.695 113.672 92.295 24.498 30.031 47.238 4.350 1.136 0.939 0.459 
m2c91r2.htb 0.363 0.411 0.452 0.588 0.404 0.396 0.436 0.401 0.426 0.422 0.474 0.503 0.857 1.000 1.000 0.997 300.000 300.000 92.560 47.648 57.884 59.170 23.942 65.283 34.573 300.000 57.224 100.842 4.325 1.372 1.849 0.445 
m2c93r2.htb 0.471 0.426 0.476 0.413 0.371 0.366 0.355 0.389 0.449 0.484 0.530 0.527 0.812 0.996 0.976 0.968 198.993 30.702 43.510 300.000 93.367 141.224 33.108 64.986 54.517 60.575 53.056 46.626 3.652 1.881 1.861 0.588 
m2c94r2.htb 0.482 0.449 0.434 0.388 0.379 0.353 0.402 0.436 0.485 0.424 0.455 0.432 0.841 0.999 0.978 0.970 45.198 300.000 300.000 26.865 29.791 300.000 34.957 28.369 46.675 29.660 19.015 30.813 1.685 1.679 1.337 0.528 
m2c97r2.htb 0.434 0.357 0.387 0.388 0.383 0.404 0.426 0.454 0.459 0.445 0.446 0.471 0.756 0.987 0.938 0.889 249.899 300.000 300.000 51.238 52.703 41.056 185.065 300.000 110.443 24.311 28.148 103.712 7.905 1.562 1.319 0.703 
m2c98r2.htb 0.499 0.421 0.416 0.394 0.358 0.301 0.358 0.313 0.335 0.365 0.395 0.420 0.907 1.000 0.978 0.960 65.203 300.000 42.905 16.126 21.971 31.377 15.864 84.898 50.893 38.832 27.911 300.000 3.473 1.365 1.029 0.766 
m2c99r2.htb 0.474 0.466 0.491 0.450 0.412 0.423 0.448 0.459 0.469 0.462 0.494 0.479 0.795 0.983 0.979 0.910 38.776 300.000 33.606 30.723 31.182 43.165 35.089 19.877 24.410 43.195 71.810 163.535 1.731 1.132 1.027 0.388 
m2c100r2.htb 0.511 0.414 0.414 0.415 0.441 0.446 0.455 0.472 0.468 0.482 0.500 0.579 0.810 0.989 0.988 0.963 117.657 27.551 26.830 44.480 28.567 36.664 24.933 120.256 54.519 27.146 27.432 300.000 1.778 1.376 1.712 0.644 
