FILE	
m5c35r2.htb 0.265 0.073 0.218 0.582 
m5c37r2.htb 0.000 0.009 0.063 0.728 
m5c40r2.htb 0.680 0.257 0.184 0.481 
m5c42r2.htb 0.921 0.495 0.491 0.561 
m5c46r2.htb 0.219 0.688 0.527 0.462 
m5c49r2.htb 0.912 0.615 0.784 0.526 
m5c54r2.htb 0.837 0.451 0.024 0.496 
m5c60r2.htb 0.037 0.100 0.092 0.604 
m5c63r2.htb 0.888 0.054 0.166 0.539 
m5c66r2.htb 0.140 0.586 0.179 0.582 
m5c67r2.htb 0.203 0.046 0.054 0.432 
m5c69r2.htb 0.085 0.001 0.144 0.557 
m5c70r2.htb 0.004 0.769 0.669 0.618 
m5c71r2.htb 0.060 0.027 0.074 0.580 
m5c74r2.htb 0.482 0.464 0.308 0.538 
m5c75r2.htb 0.921 0.629 0.933 0.500 
m5c79r2.htb 0.467 0.446 0.415 0.526 
m5c81r2.htb 0.859 0.768 0.199 0.505 
m5c82r2.htb 0.636 0.006 0.793 0.531 
m5c83r2.htb 0.005 0.036 0.826 0.645 
m5c87r2.htb 0.057 0.002 0.761 0.619 
m5c92r2.htb 0.034 0.066 0.475 0.638 
m5c94r2.htb 0.876 0.758 0.017 0.494 
m5c95r2.htb 0.304 0.000 0.133 0.436 
m5c100r2.htb 0.911 0.117 0.728 0.504 
m5c103r2.htb 0.383 0.930 0.177 0.556 
m5c107r2.htb 0.182 0.055 0.422 0.531 
m5c108r3.htb 0.536 0.494 0.786 0.512 
m5c109r2.htb 0.339 0.000 0.061 0.492 
m5c111r2.htb 0.163 0.093 0.487 0.578 
m5c118r2.htb 0.578 0.000 0.556 0.522 
m5c125r2.htb 0.601 0.436 0.979 0.504 
m5c128r2.htb 0.680 0.615 0.170 0.483 
m5c135r2.htb 0.372 0.095 0.514 0.577 
m5c140r2.htb 0.794 0.009 0.021 0.516 
m5c152r2.htb 0.085 0.045 0.694 0.619 
m5c154r2.htb 0.000 0.414 0.273 0.649 
m5c156r2.htb 0.426 0.505 0.160 0.565 
m5c159r2.htb 0.540 0.981 0.788 0.578 
m5c163r2.htb 0.442 0.865 0.915 0.455 
m5c164r3.htb 0.388 0.012 0.403 0.588 
m5c166r2.htb 0.311 0.394 0.469 0.576 
m5c167r2.htb 0.835 0.495 0.107 0.507 
m2c185r2.htb 0.000 0.001 0.754 0.712 
