FILE	
m5c35r2.htb 0.42 0.42 0.46 
m5c37r2.htb 0.52 0.41 0.42 
m5c40r2.htb 0.48 0.52 0.50 
m5c42r2.htb 0.57 0.49 0.48 
m5c46r2.htb 0.55 0.46 0.49 
m5c49r2.htb 0.45 0.48 0.49 
m5c54r2.htb 0.48 0.46 0.41 
m5c60r2.htb 0.41 0.50 0.42 
m5c63r2.htb 0.54 0.37 0.30 
m5c66r2.htb 0.53 0.35 0.39 
m5c67r2.htb 0.43 0.37 0.49 
m5c69r2.htb 0.58 0.39 0.45 
m5c70r2.htb 0.47 0.41 0.42 
m5c71r2.htb 0.47 0.44 0.45 
m5c74r2.htb 0.46 0.50 0.46 
m5c75r2.htb 0.68 0.43 0.34 
m5c79r2.htb 0.44 0.51 0.56 
m5c81r2.htb 0.51 0.39 0.37 
m5c82r2.htb 0.46 0.33 0.28 
m5c83r2.htb 0.53 0.39 0.33 
m5c87r2.htb 0.62 0.34 0.49 
m5c92r2.htb 0.59 0.45 0.34 
m5c94r2.htb 0.57 0.52 0.38 
m5c95r2.htb 0.63 0.37 0.45 
m5c100r2.htb 0.54 0.40 0.60 
m5c103r2.htb 0.79 0.12 0.33 
m5c107r2.htb 0.59 0.42 0.48 
m5c108r3.htb 0.50 0.32 0.56 
m5c109r2.htb 0.54 0.35 0.46 
m5c111r2.htb 0.57 0.41 0.54 
m5c118r2.htb 0.52 0.35 0.41 
m5c125r2.htb 0.53 0.34 0.44 
m5c128r2.htb 0.58 0.51 0.46 
m5c135r2.htb 0.54 0.61 0.54 
m5c140r2.htb 0.51 0.44 0.53 
m5c152r2.htb 0.51 0.47 0.40 
m5c154r2.htb 0.50 0.50 0.49 
m5c156r2.htb 0.46 0.42 0.28 
m5c159r2.htb 0.42 0.36 0.35 
m5c163r2.htb 0.55 0.42 0.48 
m5c164r3.htb 0.52 0.58 0.40 
