FILE	
m5c35r2.htb -0.04 0.82 -0.18 0.37 0.20 0.31 
m5c37r2.htb 0.12 0.47 -0.08 0.62 0.01 0.96 
m5c40r2.htb -0.15 0.35 -0.12 0.45 -0.07 0.65 
m5c42r2.htb -0.73 0.01 0.18 0.56 -0.35 0.27 
m5c46r2.htb 0.06 0.70 -0.00 0.99 -0.07 0.61 
m5c49r2.htb -0.10 0.58 0.12 0.49 0.17 0.33 
m5c54r2.htb 0.25 0.21 -0.43 0.03 -0.39 0.05 
m5c60r2.htb -0.30 0.08 0.05 0.76 0.07 0.68 
m5c63r2.htb 0.09 0.74 -0.51 0.04 -0.08 0.76 
m5c66r2.htb 0.05 0.77 -0.34 0.04 -0.31 0.06 
m5c67r2.htb 0.07 0.65 -0.20 0.21 -0.01 0.96 
m5c69r2.htb 0.07 0.65 -0.09 0.59 -0.25 0.13 
m5c70r2.htb 0.29 0.04 -0.13 0.36 -0.09 0.54 
m5c71r2.htb 0.14 0.32 0.07 0.63 -0.09 0.52 
m5c74r2.htb 0.13 0.45 -0.16 0.33 0.17 0.30 
m5c75r2.htb -0.06 0.74 -0.25 0.14 0.12 0.50 
m5c79r2.htb -0.14 0.42 -0.25 0.15 0.01 0.95 
m5c81r2.htb 0.12 0.55 0.08 0.68 0.20 0.30 
m5c82r2.htb -0.01 0.97 0.23 0.33 0.23 0.33 
m5c83r2.htb 0.16 0.47 0.19 0.37 0.14 0.50 
m5c87r2.htb -0.03 0.88 0.19 0.36 -0.39 0.05 
m5c92r2.htb 0.10 0.67 0.07 0.78 0.39 0.08 
m5c94r2.htb -0.11 0.65 -0.32 0.17 -0.28 0.22 
m5c95r2.htb -0.15 0.46 -0.39 0.04 0.31 0.11 
m5c100r2.htb -0.19 0.32 -0.22 0.25 0.11 0.58 
m5c103r2.htb 0.70 0.02 0.58 0.06 0.31 0.35 
m5c107r2.htb -0.03 0.86 0.04 0.81 0.18 0.27 
m5c108r3.htb -0.02 0.92 0.02 0.93 0.29 0.17 
m5c109r2.htb -0.04 0.81 0.03 0.88 0.08 0.64 
m5c111r2.htb -0.01 0.97 0.40 0.04 -0.01 0.96 
m5c118r2.htb 0.01 0.97 -0.02 0.92 0.17 0.30 
m5c125r2.htb 0.05 0.76 0.09 0.58 -0.05 0.74 
m5c128r2.htb -0.19 0.32 0.14 0.45 -0.05 0.79 
m5c135r2.htb -0.40 0.13 0.49 0.05 0.37 0.15 
m5c140r2.htb -0.13 0.48 -0.00 0.99 -0.03 0.88 
m5c152r2.htb 0.09 0.69 -0.17 0.44 -0.07 0.75 
m5c154r2.htb 0.40 0.01 0.16 0.32 -0.09 0.57 
m5c156r2.htb 0.16 0.47 -0.19 0.39 0.40 0.06 
m5c159r2.htb 0.26 0.27 0.25 0.29 0.26 0.27 
m5c163r2.htb -0.19 0.32 -0.38 0.05 0.28 0.15 
m5c164r3.htb -0.01 0.96 0.35 0.13 -0.19 0.42 
