FILE	
m2c66r2.htb 0.00 0.97 0.52 
m2c67r2.htb 0.82 0.57 0.86 
m2c70r2.htb 0.46 0.12 0.64 
m2c71r2.htb 0.09 0.89 0.07 
m2c72r2.htb 0.02 0.13 0.39 
m2c77r2.htb 0.15 0.02 0.84 
m2c78r2.htb 0.38 0.82 0.50 
m2c79r2.htb 0.61 0.84 0.49 
m2c81r2.htb 0.00 0.28 0.13 
m2c82r2.htb 0.00 0.97 0.71 
m2c84r2.htb 0.00 0.22 0.19 
m2c86r2.htb 0.40 0.00 0.32 
m2c91r2.htb 0.96 0.18 0.00 
m2c93r2.htb 0.92 0.53 0.35 
m2c94r2.htb 0.03 0.93 0.19 
m2c97r2.htb 0.08 0.38 0.60 
m2c98r2.htb 0.00 0.51 0.07 
m2c99r2.htb 0.02 0.43 0.53 
m2c100r2.htb 0.00 0.29 0.14 
m2c101r2.htb 0.34 0.37 0.08 
m2c103r2.htb 0.62 0.47 0.31 
m2c109r2.htb 0.06 0.40 0.36 
m2c110r2.htb 0.21 0.50 0.45 
m2c116r2.htb 0.31 0.03 0.14 
m2c119r2.htb 0.79 0.03 0.03 
m2c121r2.htb 0.48 0.60 0.36 
m2c125r2.htb 0.54 0.86 0.76 
m2c126r2.htb 0.76 0.95 0.31 
m2c127r2.htb 0.21 0.60 0.50 
m2c128r2.htb 0.17 0.62 0.54 
m2c129r2.htb 0.09 0.35 0.80 
m2c130r2.htb 0.01 0.11 0.37 
m2c131r2.htb 0.00 0.83 0.96 
m2c134r2.htb 0.14 0.04 0.99 
m2c135r2.htb 0.59 0.08 0.37 
m2c137r2.htb 0.19 0.33 0.25 
m2c138r2.htb 0.07 0.34 0.57 
m2c139r2.htb 0.99 0.93 0.65 
m2c140r2.htb 0.00 0.36 0.40 
m2c141r2.htb 0.20 0.90 0.20 
m2c143r2.htb 0.09 0.45 0.66 
m2c144r2.htb 0.04 0.38 0.94 
m2c145r2.htb 0.40 0.88 0.66 
m2c148r2.htb 0.39 0.15 0.30 
m2c149r2.htb 0.23 0.88 0.15 
m2c150r2.htb 0.24 0.73 0.59 
m2c151r2.htb 0.05 0.66 0.50 
m2c152r2.htb 0.12 0.25 0.13 
m2c155r2.htb 0.46 0.35 0.84 
m2c157r2.htb 0.26 0.90 0.88 
m2c158r2.htb 0.02 0.61 0.52 
m2c159r2.htb 0.11 0.00 0.00 
m2c160r2.htb 0.04 0.70 0.28 
m2c161r2.htb 0.01 0.22 0.14 
m2c162r2.htb 0.00 0.04 0.10 
m2c163r2.htb 0.45 0.56 0.18 
m2c168r3.htb 0.82 0.32 0.00 
m2c170r2.htb 0.19 0.82 0.61 
m2c172r2.htb 0.28 0.00 0.70 
m2c174r2.htb 0.19 0.71 0.16 
m2c175r2.htb 0.58 0.07 0.45 
m2c176r2.htb 0.65 0.49 0.01 
m2c177r2.htb 0.94 0.15 0.69 
m2c178r2.htb 0.10 0.40 0.51 
m2c179r2.htb 0.05 0.30 0.79 
m2c180r2.htb 0.95 1.00 0.91 
m2c181r2.htb 0.10 0.38 0.22 
m2c182r2.htb 0.00 0.02 0.48 
m2c183r2.htb 0.29 0.71 0.90 
m2c184r2.htb 0.04 0.14 0.65 
m2c185r2.htb 0.00 0.01 0.87 
m2c186r2.htb 0.10 0.42 0.12 
m2c187r2.htb 0.42 0.33 0.82 
m2c189r2.htb 0.54 0.45 0.12 
m2c190r2.htb 0.74 0.67 0.44 
m2c191r2.htb 0.79 0.13 0.70 
m2c193r2.htb 0.79 0.52 0.00 
m2c195r2.htb 0.30 0.00 0.41 
m2c196r3.htb 0.04 0.94 0.77 
m2c197r2.htb 0.33 0.01 0.58 
m2c197r2.htb 0.33 0.01 0.58 
m2c199r2.htb 0.17 0.48 0.95 
m2c200r2.htb 0.27 0.86 0.30 
m2c202r2.htb 0.08 0.22 0.33 
m2c214r2.htb 0.79 0.42 0.45 
m2c220r2.htb 0.53 0.46 0.20 
m2c221r2.htb 0.03 0.01 0.68 
m2c223r2.htb 0.19 0.04 0.87 
m2c226r2.htb 0.07 0.04 0.02 
m2c231r2.htb 0.08 0.43 0.14 
m2c233r2.htb 0.78 0.47 0.45 
m2c236r2.htb 0.02 0.88 0.75 
m2c237r2.htb 0.31 0.08 0.04 
m2c240r2.htb 0.26 0.81 0.63 
m2c241r2.htb 0.33 0.60 0.34 
m2c242r2.htb 0.19 0.76 0.30 
m2c244r2.htb 0.14 0.05 0.47 
m2c247r2.htb 0.57 0.81 0.83 
m2c252r2.htb 0.11 0.48 0.69 
m2c254r2.htb 0.10 0.67 0.91 
m2c258r2.htb 0.67 0.09 0.55 
m2c260r2.htb 0.33 0.06 0.64 
m2c262r2.htb 0.51 0.84 0.81 
m2c364r2.htb 0.26 0.80 0.10 
m2c365r2.htb 0.85 0.51 0.19 
m2c368r2.htb 0.22 0.01 0.42 
m2c369r2.htb 0.42 0.74 0.48 
m2c370r2.htb 0.70 0.04 0.41 
m2c372r2.htb 0.25 0.24 0.86 
m2c374r2.htb 0.00 0.45 0.29 
m2c376r2.htb 0.56 0.22 0.57 
m2c378r2.htb 0.24 0.04 0.13 
m2c382r2.htb 0.68 0.48 0.62 
m2c384r2.htb 0.77 0.01 0.92 
m2c392r2.htb 0.12 0.78 0.98 
m2c403r2.htb 0.21 0.07 0.55 
m2c409r2.htb 0.68 0.80 0.04 
m2c417r2.htb 0.87 0.88 1.00 
m2c423r2.htb 0.54 0.31 0.20 
m2c427r2.htb 0.59 0.04 0.67 
m2c429r2.htb 0.00 0.01 0.35 
m2c432r2.htb 0.00 0.58 0.10 
m2c436r2.htb 0.01 0.94 0.63 
m2c441r2.htb 0.00 0.76 0.84 
m2c443r2.htb 0.32 0.13 0.29 
m2c445r2.htb 0.02 0.31 0.64 
m2c450r2.htb 0.38 0.09 0.97 
m5c4r2.htb 0.81 0.41 0.44 
m5c6r2.htb 0.01 0.45 0.01 
m5c7r2.htb 0.13 0.57 0.12 
m5c8r2.htb 0.66 0.72 0.25 
m5c13r2.htb 0.60 0.55 0.72 
m5c14r2.htb 0.98 0.77 0.61 
m5c15r2.htb 0.53 0.89 0.13 
m5c25r2.htb 0.99 0.32 0.56 
m5c29r2.htb 0.41 0.61 0.06 
m5c30r2.htb 0.35 0.04 0.52 
m5c35r2.htb 0.29 0.83 0.16 
m5c37r2.htb 0.00 0.23 0.62 
m5c38r2.htb 0.00 0.14 0.87 
m5c40r2.htb 0.59 0.63 0.17 
m5c42r2.htb 0.67 0.37 0.86 
m5c46r2.htb 0.87 0.00 0.42 
m5c49r2.htb 0.64 0.30 0.91 
m5c54r2.htb 0.54 0.09 0.44 
m5c60r2.htb 0.06 0.10 0.57 
m5c63r2.htb 0.91 0.01 0.11 
m5c66r2.htb 0.06 0.16 0.46 
m5c67r2.htb 0.95 0.11 0.32 
m5c69r2.htb 0.04 0.97 0.05 
m5c70r2.htb 0.13 0.00 0.13 
m5c71r2.htb 0.11 0.59 0.33 
m5c74r2.htb 0.45 0.06 0.53 
m5c75r2.htb 0.82 0.59 0.42 
m5c79r2.htb 0.50 0.73 0.08 
m5c81r2.htb 0.98 0.82 0.15 
m5c82r2.htb 0.14 0.19 0.96 
m5c83r2.htb 0.11 0.13 0.05 
m5c87r2.htb 0.00 0.00 0.41 
m5c92r2.htb 0.02 0.15 0.72 
m5c94r2.htb 0.67 0.63 0.11 
m5c95r2.htb 0.30 0.59 0.51 
m5c100r2.htb 0.84 0.48 0.53 
m5c103r2.htb 0.45 0.86 0.57 
m5c107r2.htb 0.85 0.07 0.06 
m5c108r3.htb 0.46 0.83 0.88 
m5c109r2.htb 0.02 0.40 0.18 
m5c111r2.htb 0.25 0.00 0.24 
m5c118r2.htb 0.47 0.93 0.04 
m5c125r2.htb 0.16 0.01 0.76 
m5c128r2.htb 0.85 0.20 0.67 
m5c129r2.htb 0.31 0.02 0.26 
m5c135r2.htb 0.47 0.74 0.83 
m5c140r2.htb 0.41 0.92 0.53 
m5c152r2.htb 0.08 0.64 0.25 
m5c154r2.htb 0.00 0.08 0.97 
m5c156r2.htb 0.30 0.47 0.93 
m5c159r2.htb 0.80 0.12 0.22 
m5c163r2.htb 0.44 0.85 0.95 
m5c164r3.htb 0.56 0.69 0.82 
m5c166r2.htb 0.64 0.43 0.20 
m5c167r2.htb 0.82 0.37 0.24 
m2c66r2.htb 0.68 
m2c67r2.htb 0.50 
m2c70r2.htb 0.56 
m2c71r2.htb 0.62 
m2c72r2.htb 0.65 
m2c77r2.htb 0.56 
m2c78r2.htb 0.56 
