FILE	         Coher	 repet	 Ve_N_u	 Ve_N_thr	 vi_N_u	 Vi_N_thr	 co_N_u	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	
m2c66r2.htb 11.679 151.605 11.663 0.318 0.805 0.351 0.000 0.000 0.024 
m2c67r2.htb 9.845 -2171.260 9.149 0.448 0.455 0.381 0.230 0.304 0.036 
m2c70r2.htb 1.245 1371.435 1.672 0.428 0.514 0.497 0.314 0.880 1.020 
m2c71r2.htb 5.637 128.256 5.552 0.591 0.481 0.453 0.168 0.774 0.444 
m2c72r2.htb 5.504 110.140 5.384 0.613 0.451 0.639 0.046 0.532 0.008 
m2c77r2.htb 9.184 233.626 10.105 0.546 0.734 0.708 0.284 0.000 0.000 
m2c78r2.htb 1.451 68.378 1.394 0.494 0.537 0.449 0.946 0.738 0.450 
m2c79r2.htb 8.636 1392.093 9.756 0.348 0.470 0.403 0.002 0.566 0.080 
m2c81r2.htb 1.640 84.997 1.403 0.414 0.490 0.487 0.098 0.796 0.750 
m2c82r2.htb 7.305 223.390 7.184 0.608 0.590 0.429 0.040 0.168 0.200 
m2c84r2.htb 1.324 625.503 1.660 0.358 0.434 0.495 0.004 0.428 0.978 
m2c86r2.htb 2.597 161.197 2.873 0.559 0.621 0.460 0.254 0.006 0.502 
m2c91r2.htb 1.656 263.485 1.729 0.491 0.456 0.492 0.926 0.504 0.920 
m2c93r2.htb 1.718 84.740 1.526 0.523 0.498 0.530 0.640 0.942 0.510 
m2c94r2.htb 1.519 103.166 1.368 0.557 0.483 0.492 0.220 0.772 0.932 
m2c97r2.htb 1.172 463.621 1.349 0.447 0.443 0.576 0.236 0.220 0.092 
m2c98r2.htb 1.651 128.014 1.480 0.440 0.473 0.456 0.234 0.596 0.550 
m2c99r2.htb 1.549 -742.825 1.338 0.518 0.468 0.442 0.694 0.502 0.232 
m2c100r2.htb 1.581 103.343 1.321 0.507 0.501 0.518 0.846 0.984 0.768 
m2c101r2.htb 1.608 49.277 1.822 0.590 0.417 0.527 0.090 0.086 0.610 
m2c103r2.htb 1.740 183.561 1.652 0.484 0.491 0.484 0.716 0.916 0.744 
m2c109r2.htb 1.643 92.954 1.456 0.494 0.534 0.499 0.900 0.546 0.986 
m2c110r2.htb 1.916 169.967 1.904 0.538 0.545 0.556 0.386 0.348 0.228 
m2c116r2.htb 1.817 -1916.906 1.220 0.426 0.429 0.528 0.156 0.254 0.662 
m2c119r2.htb 1.500 75.756 1.681 0.514 0.508 0.503 0.850 0.918 0.914 
m2c121r2.htb 1.308 185.076 1.259 0.578 0.557 0.515 0.136 0.418 0.772 
m2c125r2.htb 1.699 71.304 2.038 0.560 0.457 0.526 0.270 0.446 0.750 
m2c126r2.htb 1.137 462.516 1.402 0.503 0.554 0.417 0.962 0.352 0.112 
m2c127r2.htb 1.400 99.147 1.285 0.557 0.478 0.439 0.514 0.746 0.314 
m2c128r2.htb 2.089 71.763 2.206 0.501 0.514 0.521 0.978 0.820 0.660 
m2c129r2.htb 1.940 195.449 2.143 0.393 0.531 0.463 0.044 0.638 0.480 
m2c130r2.htb 1.614 211.552 1.790 0.452 0.598 0.353 0.318 0.100 0.002 
m2c131r2.htb 1.511 130.110 1.389 0.605 0.578 0.501 0.046 0.172 0.944 
m2c134r2.htb 3.001 79.780 2.904 0.499 0.461 0.565 0.948 0.500 0.226 
m2c135r2.htb 1.988 610.081 1.913 0.625 0.572 0.664 0.014 0.212 0.004 
m2c137r2.htb 2.022 122.748 1.467 0.497 0.760 0.385 0.986 0.006 0.124 
m2c138r2.htb 1.656 81.119 1.530 0.424 0.383 0.444 0.174 0.070 0.360 
m2c139r2.htb 1.548 -3265.776 1.528 0.500 0.489 0.541 0.984 0.878 0.398 
m2c140r2.htb 1.388 239.451 1.284 0.526 0.500 0.583 0.658 0.982 0.122 
m2c141r2.htb 1.508 79.768 1.450 0.579 0.429 0.569 0.134 0.188 0.144 
m2c143r2.htb 1.634 362.885 1.593 0.533 0.644 0.539 0.558 0.002 0.464 
m2c144r2.htb 1.255 128.502 1.269 0.534 0.508 0.473 0.678 0.960 0.668 
m2c145r2.htb 1.812 86.310 1.752 0.626 0.531 0.554 0.082 0.662 0.468 
m2c148r2.htb 1.838 170.732 1.909 0.560 0.576 0.469 0.378 0.276 0.570 
m2c149r2.htb 1.466 512.687 1.407 0.489 0.548 0.500 0.780 0.316 0.996 
m2c150r2.htb 1.699 109.589 1.352 0.589 0.553 0.525 0.246 0.594 0.760 
m2c151r2.htb 1.394 81.772 1.319 0.392 0.390 0.605 0.130 0.132 0.240 
m2c152r2.htb 1.170 -59.805 1.834 0.428 0.470 0.524 0.126 0.634 0.734 
m2c155r2.htb 1.462 52.906 1.434 0.520 0.438 0.403 0.766 0.438 0.218 
m2c157r2.htb 1.568 -135.826 1.813 0.465 0.577 0.528 0.460 0.066 0.638 
m2c158r2.htb 1.631 214.496 1.734 0.529 0.482 0.482 0.500 0.724 0.702 
m2c159r2.htb 1.677 118.540 1.685 0.534 0.524 0.460 0.446 0.550 0.320 
m2c160r2.htb 1.485 116.375 1.799 0.372 0.568 0.666 0.110 0.336 0.022 
m2c161r2.htb 1.741 231.131 1.837 0.381 0.358 0.567 0.012 0.060 0.314 
m2c162r2.htb 1.779 71.810 1.573 0.528 0.462 0.444 0.498 0.474 0.220 
m2c163r2.htb 1.765 273.910 1.737 0.468 0.519 0.450 0.428 0.732 0.282 
m2c168r3.htb 1.284 73.281 1.825 0.551 0.525 0.350 0.498 0.744 0.042 
m2c170r2.htb 1.318 89.913 1.438 0.469 0.424 0.458 0.690 0.300 0.578 
m2c172r2.htb 127.831 87.070 172.816 0.519 0.598 0.466 0.792 0.096 0.544 
m2c174r2.htb 96.248 465.477 74.279 0.446 0.543 0.339 0.354 0.474 0.020 
m2c175r2.htb 54.933 63.744 125.050 0.494 0.547 0.511 0.996 0.406 0.788 
m2c176r2.htb 139.455 43.673 164.080 0.464 0.391 0.514 0.622 0.258 0.838 
m2c177r2.htb 146.871 -261.166 -51.593 0.513 0.503 0.390 0.766 1.010 0.058 
m2c178r2.htb 119.244 1077.697 330.137 0.456 0.506 0.506 0.450 0.924 0.884 
m2c179r2.htb 120.294 66.609 -450.823 0.419 0.522 0.546 0.162 0.680 0.356 
m2c180r2.htb 184.910 124.288 1769.519 0.600 0.513 0.597 0.124 0.932 0.296 
m2c181r2.htb -156.363 201.321 145.336 0.481 0.490 0.520 0.664 0.816 0.682 
m2c182r2.htb 406.124 -4212.753 112.633 0.475 0.512 0.486 0.522 0.724 0.692 
m2c183r2.htb 381.475 -488.687 302.773 0.445 0.535 0.508 0.372 0.480 0.872 
m2c184r2.htb -257.304 405.489 465.642 0.463 0.477 0.472 0.380 0.668 0.542 
m2c185r2.htb 70.659 106.778 125.898 0.533 0.516 0.501 0.410 0.660 0.976 
m2c186r2.htb 241.479 189.991 81.381 0.579 0.480 0.723 0.128 0.666 0.000 
m2c187r2.htb 1587.958 74.361 107.676 0.583 0.497 0.579 0.096 1.018 0.180 
m2c189r2.htb 139.340 217.286 63.608 0.554 0.563 0.470 0.358 0.208 0.522 
m2c190r2.htb -228.299 204.362 97.718 0.542 0.584 0.523 0.344 0.098 0.688 
m2c191r2.htb 152.219 92.782 -574.507 0.444 0.479 0.584 0.228 0.620 0.098 
m2c193r2.htb 183.694 64.837 172.040 0.532 0.446 0.514 0.360 0.192 0.732 
m2c195r2.htb 655.730 -790.650 -134.111 0.458 0.430 0.537 0.432 0.126 0.570 
m2c196r3.htb 196.886 570.681 44.349 0.494 0.568 0.510 0.870 0.156 0.962 
m2c197r2.htb 14.005 1996.675 14.567 0.490 0.529 0.399 0.822 0.558 0.008 
m2c197r2.htb 14.005 1996.675 14.567 0.490 0.529 0.399 0.810 0.550 0.008 
m2c199r2.htb 87.036 257.485 -356.741 0.537 0.499 0.512 0.482 0.950 0.836 
m2c200r2.htb 84.536 88.604 -90.431 0.504 0.476 0.432 0.940 0.668 0.210 
m2c202r2.htb 30.840 146.919 25.372 0.581 0.591 0.538 0.098 0.028 0.346 
m2c214r2.htb 81.119 189.403 -123.649 0.399 0.446 0.571 0.078 0.434 0.430 
m2c220r2.htb 321.660 76.607 122.599 0.407 0.487 0.537 0.158 0.840 0.682 
m2c221r2.htb -1036.135 326.712 -208.802 0.501 0.580 0.348 0.934 0.138 0.016 
m2c223r2.htb 114.589 891.077 120.135 0.426 0.402 0.506 0.148 0.050 0.898 
m2c226r2.htb 889.720 540.975 147.012 0.519 0.524 0.403 0.720 0.674 0.068 
m2c231r2.htb -961.516 240.303 146.918 0.539 0.433 0.510 0.522 0.214 0.882 
m2c233r2.htb 499.236 65.443 100.490 0.574 0.452 0.556 0.290 0.472 0.420 
m2c236r2.htb 109.979 189.799 -266.039 0.524 0.563 0.513 0.594 0.180 0.778 
m2c237r2.htb 183.237 357.551 94.033 0.404 0.498 0.405 0.026 0.962 0.034 
m2c240r2.htb 1656.851 232.334 128.293 0.354 0.392 0.600 0.002 0.014 0.058 
m2c241r2.htb 103.854 80.257 291.435 0.426 0.532 0.653 0.258 0.666 0.026 
m2c242r2.htb 229.266 871.606 105.718 0.503 0.437 0.499 0.950 0.362 0.962 
m2c244r2.htb -193.197 99.601 -114.528 0.316 0.406 0.462 0.006 0.394 0.812 
m2c247r2.htb 20.306 52.118 30.701 0.476 0.570 0.379 0.730 0.504 0.214 
m2c252r2.htb -367.371 312.650 -1544.337 0.389 0.478 0.546 0.018 0.582 0.380 
m2c254r2.htb 127.326 119.911 -372.411 0.516 0.513 0.516 0.668 0.728 0.748 
m2c258r2.htb 752.847 102.137 313.215 0.454 0.588 0.567 0.258 0.060 0.148 
m2c260r2.htb 167.339 56.175 35.872 0.391 0.514 0.496 0.030 0.836 0.948 
m2c262r2.htb 663.666 450.540 191.708 0.426 0.539 0.379 0.080 0.374 0.000 
m2c364r2.htb 1.724 -109.687 1.542 0.466 0.484 0.497 0.488 0.700 0.980 
m2c365r2.htb 3.061 227.515 3.081 0.566 0.453 0.528 0.214 0.346 0.588 
m2c368r2.htb -692.930 159.139 234.490 0.506 0.539 0.551 0.924 0.424 0.290 
m2c369r2.htb 1.793 327.607 1.940 0.379 0.542 0.491 0.018 0.348 0.884 
m2c370r2.htb 363.142 1526.594 -217.645 0.497 0.402 0.510 0.976 0.226 0.986 
m2c372r2.htb 129.238 375.864 99.766 0.436 0.437 0.496 0.168 0.200 0.934 
m2c374r2.htb 1.965 70.113 1.969 0.563 0.538 0.577 0.132 0.396 0.084 
m2c376r2.htb 141.182 164.535 1010.489 0.439 0.432 0.520 0.276 0.240 0.776 
m2c378r2.htb 2.576 153.734 2.334 0.462 0.579 0.456 0.358 0.084 0.358 
m2c382r2.htb 1.757 168.884 1.671 0.513 0.454 0.490 0.718 0.258 0.772 
m2c384r2.htb 6.224 149.458 3.899 0.489 0.483 0.484 0.764 0.640 0.676 
m2c392r2.htb 5.082 -261.162 5.553 0.497 0.457 0.492 0.940 0.448 0.876 
m2c403r2.htb 1.964 120.364 2.087 0.519 0.496 0.623 0.678 0.970 0.018 
m2c409r2.htb 128.648 1898.321 -180.006 0.568 0.586 0.501 0.378 0.520 0.956 
m2c417r2.htb 1.726 -198.696 1.553 0.531 0.427 0.515 0.632 0.474 0.748 
m2c423r2.htb 1.747 594.169 1.828 0.473 0.407 0.537 0.506 0.052 0.392 
m2c427r2.htb 1.560 649.919 1.861 0.574 0.408 0.550 0.136 0.070 0.426 
m2c429r2.htb 1.873 61.354 1.935 0.403 0.484 0.488 0.090 0.722 0.860 
m2c432r2.htb 1.924 -200.087 1.875 0.533 0.578 0.471 0.534 0.110 0.676 
m2c436r2.htb 2.736 128.720 2.693 0.457 0.387 0.480 0.266 0.004 0.680 
m2c441r2.htb 2.365 80.121 2.284 0.548 0.478 0.493 0.284 0.612 0.856 
m2c443r2.htb 1.969 1089.154 2.148 0.497 0.487 0.439 0.968 0.816 0.122 
m2c445r2.htb 2.284 -277.913 2.229 0.552 0.539 0.519 0.342 0.574 0.772 
m2c450r2.htb 2.305 -562.716 1.765 0.552 0.530 0.463 0.438 0.722 0.618 
m5c4r2.htb 43.383 83.609 58.792 0.573 0.439 0.387 0.132 0.176 0.080 
m5c6r2.htb 304.653 792.022 132.175 0.575 0.490 0.574 0.078 0.884 0.142 
m5c7r2.htb 218.647 149.278 47.844 0.482 0.462 0.529 0.706 0.460 0.616 
m5c8r2.htb 154.400 433.820 70.119 0.573 0.367 0.435 0.362 0.084 0.522 
m5c13r2.htb 105.970 -227.068 -331.761 0.473 0.522 0.418 0.506 0.642 0.120 
m5c14r2.htb 61.527 -5823.347 53.088 0.473 0.551 0.393 0.484 0.232 0.034 
m5c15r2.htb 1437.460 177.532 54.605 0.465 0.459 0.560 0.580 0.512 0.250 
m5c25r2.htb 171.002 -601.870 130.211 0.452 0.540 0.581 0.208 0.398 0.086 
m5c29r2.htb 481.773 440.682 714.411 0.571 0.524 0.541 0.028 0.556 0.322 
m5c30r2.htb -1336.293 -368.291 273.690 0.438 0.533 0.437 0.442 0.708 0.450 
m5c35r2.htb 109.096 385.793 364.340 0.555 0.553 0.507 0.246 0.316 0.888 
m5c37r2.htb 104.864 -1242.909 79.152 0.495 0.454 0.469 0.838 0.210 0.442 
m5c38r2.htb -3398.887 300.633 103.970 0.468 0.487 0.470 0.460 0.754 0.658 
m5c40r2.htb 206.180 115.903 120.266 0.474 0.527 0.551 0.530 0.476 0.270 
m5c42r2.htb 139.966 77.962 77.725 0.513 0.508 0.415 0.880 0.946 0.498 
m5c46r2.htb 210.470 -1286.661 -1709.332 0.466 0.522 0.470 0.356 0.466 0.406 
m5c49r2.htb 98.435 -213.407 169.835 0.512 0.568 0.433 0.818 0.130 0.138 
m5c54r2.htb 235.867 1631.255 466.762 0.464 0.441 0.522 0.454 0.296 0.684 
m5c60r2.htb 102.184 371.469 192.937 0.622 0.561 0.563 0.016 0.144 0.202 
m5c63r2.htb 172.540 89.667 132.205 0.630 0.500 0.638 0.138 0.944 0.114 
m5c66r2.htb 353.314 4759.498 644.954 0.555 0.598 0.525 0.244 0.024 0.516 
m5c67r2.htb 372.052 194.403 205.124 0.588 0.507 0.507 0.156 0.914 0.834 
m5c69r2.htb 203.348 156.225 531.082 0.438 0.525 0.450 0.166 0.546 0.274 
m5c70r2.htb -949.059 228.855 -1033.204 0.506 0.455 0.487 0.798 0.272 0.748 
m5c71r2.htb 3767.876 340.386 335.341 0.482 0.486 0.515 0.690 0.718 0.764 
m5c74r2.htb 409.768 145.417 203.388 0.541 0.488 0.501 0.408 0.792 0.960 
m5c75r2.htb 457.808 454.989 189.666 0.536 0.585 0.458 0.468 0.064 0.406 
m5c79r2.htb 173.047 -1028.561 326.251 0.420 0.480 0.506 0.118 0.560 0.892 
m5c81r2.htb 119.268 399.378 -572.083 0.495 0.514 0.524 0.978 0.828 0.750 
m5c82r2.htb -390.035 189.504 113.504 0.586 0.494 0.428 0.286 0.908 0.358 
m5c83r2.htb 77.115 130.183 127.217 0.384 0.439 0.603 0.048 0.288 0.224 
m5c87r2.htb 488.004 -235.909 750.377 0.525 0.482 0.594 0.748 0.698 0.192 
m5c92r2.htb 1.752 -651.932 1.420 0.355 0.632 0.538 0.018 0.046 0.640 
m5c94r2.htb 1.957 325.287 1.672 0.467 0.372 0.435 0.702 0.046 0.430 
m5c95r2.htb 1.651 139.171 2.257 0.420 0.460 0.414 0.156 0.422 0.150 
m5c100r2.htb 2.029 233.723 1.566 0.509 0.543 0.457 0.904 0.444 0.446 
m5c103r2.htb 2.845 92.322 10.834 0.444 0.785 0.300 0.696 0.018 0.290 
m5c107r2.htb 7.821 2108.382 6.140 0.485 0.485 0.544 0.668 0.634 0.352 
m5c108r3.htb 9.528 293.945 7.686 0.334 0.542 0.474 0.002 0.430 0.664 
m5c109r2.htb 1.991 121.095 1.797 0.399 0.572 0.401 0.030 0.108 0.042 
m5c111r2.htb -149.889 698.085 -2035.626 0.475 0.479 0.483 0.658 0.792 0.826 
m5c118r2.htb 2.230 455.340 2.044 0.545 0.479 0.467 0.284 0.638 0.448 
m5c125r2.htb 2.126 214.648 2.076 0.485 0.458 0.441 0.800 0.416 0.206 
m5c128r2.htb 2.056 399.378 2.160 0.524 0.579 0.474 0.608 0.112 0.568 
m5c129r2.htb 2.667 283.189 2.402 0.370 0.479 0.405 0.012 0.636 0.044 
m5c135r2.htb 78.433 2183.351 312.932 0.532 0.460 0.504 0.814 0.752 0.978 
m5c140r2.htb 1.740 -250.708 1.877 0.490 0.549 0.500 0.772 0.334 0.978 
m5c152r2.htb 1.735 156.425 1.471 0.494 0.426 0.496 0.904 0.202 0.952 
m5c154r2.htb 2.138 491.997 1.824 0.442 0.463 0.538 0.132 0.358 0.344 
m5c156r2.htb 1.740 176.430 2.038 0.401 0.477 0.479 0.074 0.726 0.834 
