FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c66r2.htb 5.664 0.710 0.002 0.722 
m2c67r2.htb 21.803 0.453 0.262 0.485 
m2c70r2.htb 99.698 0.522 0.812 0.544 
m2c71r2.htb 11.641 0.606 0.120 0.592 
m2c72r2.htb 12.004 0.677 0.002 0.521 
m2c77r2.htb 34.515 0.499 0.966 0.510 
m2c78r2.htb 147.403 0.451 0.478 0.705 
m2c79r2.htb 45.374 0.541 0.380 0.585 
m2c81r2.htb 41.801 0.656 0.002 0.552 
m2c82r2.htb 34.938 0.396 0.056 0.460 
m2c84r2.htb 12.444 0.649 0.002 0.722 
m2c86r2.htb 22.943 0.526 0.592 0.621 
m2c91r2.htb 300.000 0.515 0.792 0.389 
m2c93r2.htb 16.060 0.489 0.784 0.484 
m2c94r2.htb 51.730 0.572 0.116 0.631 
m2c97r2.htb 23.255 0.547 0.284 0.511 
m2c98r2.htb 122.045 0.666 0.000 0.604 
m2c99r2.htb 17.747 0.596 0.014 0.868 
m2c100r2.htb 14.657 0.736 0.000 0.707 
m2c101r2.htb 300.000 0.510 0.872 0.302 
m2c103r2.htb 49.588 0.525 0.650 0.615 
m2c110r2.htb 28.597 0.534 0.428 0.635 
m2c116r2.htb 24.601 0.600 0.066 0.625 
m2c119r2.htb 105.395 0.468 0.464 0.424 
m2c121r2.htb 93.803 0.454 0.354 0.447 
m2c125r2.htb 48.649 0.509 0.908 0.525 
m2c126r2.htb 100.254 0.574 0.138 0.550 
m2c127r2.htb 16.015 0.559 0.490  NaN 
m2c128r2.htb 16.152 0.574 0.140 0.656 
m2c129r2.htb 29.652 0.564 0.246 0.581 
m2c130r2.htb 15.355 0.627 0.018 0.644 
m2c131r2.htb 22.957 0.628 0.008 0.664 
m2c134r2.htb 26.275 0.422 0.166 0.313 
m2c135r2.htb 12.012 0.456 0.436 0.556 
m2c137r2.htb 17.526 0.573 0.438 0.422 
m2c138r2.htb 71.452 0.417 0.118 0.245 
m2c139r2.htb 242.554 0.518 0.720 0.637 
m2c140r2.htb 4.876 0.706 0.000 0.898 
m2c141r2.htb 17.141 0.572 0.120 0.622 
