FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c66r2.htb 0.667 0.198 
m2c67r2.htb 0.571 0.450 
m2c70r2.htb 0.520 0.848 
m2c71r2.htb 0.679 0.140 
m2c72r2.htb 0.490 0.954 
m2c77r2.htb 0.565 0.526 
m2c78r2.htb 0.330 0.252 
m2c79r2.htb 0.622 0.370 
m2c81r2.htb 0.595 0.366 
m2c82r2.htb 0.379 0.246 
m2c84r2.htb 0.739 0.064 
m2c86r2.htb 0.505 0.904 
m2c91r2.htb 0.729 0.072 
m2c93r2.htb 0.547 0.600 
m2c94r2.htb 0.591 0.402 
m2c97r2.htb 0.517 0.878 
m2c98r2.htb 0.554 0.590 
m2c99r2.htb 0.699 0.018 
m2c100r2.htb 0.767 0.018 
m2c101r2.htb 0.353 0.164 
m2c103r2.htb 0.621 0.294 
m2c109r2.htb 0.593 0.378 
m2c110r2.htb 0.669 0.074 
m2c116r2.htb 0.518 0.868 
m2c119r2.htb 0.452 0.614 
m2c121r2.htb 0.386 0.364 
m2c125r2.htb 0.581 0.588 
m2c126r2.htb 0.372 0.258 
m2c127r2.htb  NaN  NaN 
m2c128r2.htb 0.701 0.056 
m2c129r2.htb 0.597 0.368 
m2c130r2.htb 0.644 0.174 
m2c131r2.htb 0.685 0.062 
m2c134r2.htb 0.313 0.066 
m2c135r2.htb 0.551 0.618 
m2c137r2.htb 0.336 0.368 
m2c138r2.htb 0.270 0.084 
m2c139r2.htb 0.750 0.092 
m2c140r2.htb 0.852 0.014 
m2c141r2.htb 0.572 0.440 
m2c143r2.htb 0.647 0.154 
m2c144r2.htb 0.717 0.092 
m2c145r2.htb 0.643 0.346 
m2c148r2.htb 0.688 0.160 
m2c149r2.htb 0.550 0.650 
m2c150r2.htb 0.526 0.808 
m2c151r2.htb 0.904 0.002 
m2c152r2.htb 0.440 0.556 
m2c155r2.htb 0.630 0.324 
m2c157r2.htb 0.638 0.126 
m2c158r2.htb 0.599 0.278 
m2c159r2.htb 0.422 0.400 
m2c160r2.htb 0.655 0.248 
m2c161r2.htb 0.629 0.260 
m2c162r2.htb 0.488 0.928 
m2c163r2.htb 0.510 0.940 
m2c168r3.htb 0.500 0.960 
m2c170r2.htb 0.545 0.716 
m2c172r2.htb 0.544 0.742 
m2c174r2.htb 0.445 0.622 
m2c175r2.htb 0.546 0.754 
m2c176r2.htb 0.632 0.298 
m2c177r2.htb 0.546 0.626 
m2c178r2.htb 0.706 0.052 
m2c179r2.htb 0.485 0.820 
m2c180r2.htb 0.377 0.338 
m2c181r2.htb 0.620 0.114 
m2c182r2.htb 0.686 0.012 
m2c183r2.htb 0.632 0.238 
m2c184r2.htb 0.571 0.464 
m2c185r2.htb 0.885 0.000 
m2c186r2.htb 0.422 0.546 
m2c187r2.htb 0.583 0.458 
m2c189r2.htb 0.419 0.398 
m2c190r2.htb 0.377 0.258 
m2c191r2.htb 0.569 0.554 
m2c193r2.htb 0.533 0.704 
m2c195r2.htb 0.543 0.722 
m2c196r3.htb 0.661 0.142 
m2c197r2.htb 0.485 0.918 
m2c198r2.htb 0.565 0.644 
m2c199r2.htb 0.641 0.210 
m2c200r2.htb 0.598 0.338 
m2c202r2.htb 0.616 0.210 
m2c214r2.htb 0.565 0.572 
m2c220r2.htb 0.480 0.874 
m2c221r2.htb 0.514 0.924 
m2c223r2.htb 0.704 0.074 
m2c226r2.htb 0.638 0.186 
m2c231r2.htb 0.566 0.552 
m2c233r2.htb 0.520 0.922 
m2c236r2.htb 0.670 0.138 
m2c237r2.htb 0.548 0.628 
m2c240r2.htb 0.577 0.488 
m2c241r2.htb 0.482 0.946 
m2c242r2.htb 0.753 0.046 
m2c244r2.htb 0.521 0.898 
m2c247r2.htb 0.299 0.168 
m2c252r2.htb 0.515 0.850 
m2c254r2.htb 0.563 0.452 
m2c258r2.htb 0.626 0.170 
m2c260r2.htb 0.606 0.342 
m2c262r2.htb 0.411 0.318 
m2c364r2.htb 0.376 0.272 
m2c365r2.htb 0.484 0.908 
m2c368r2.htb 0.503 0.950 
m2c369r2.htb 0.472 0.840 
m2c370r2.htb 0.813 0.048 
m2c372r2.htb 0.455 0.690 
m2c374r2.htb 0.687 0.076 
m2c376r2.htb 0.529 0.834 
m2c378r2.htb 0.407 0.358 
m2c382r2.htb 0.406 0.294 
m2c384r2.htb 0.522 0.772 
m2c392r2.htb 0.663 0.164 
m2c403r2.htb 0.561 0.562 
m2c409r2.htb 0.493 0.972 
m2c417r2.htb 0.347 0.234 
m2c423r2.htb 0.529 0.830 
m2c427r2.htb 0.472 0.810 
m2c429r2.htb 0.679 0.114 
m2c436r2.htb 0.659 0.086 
m2c441r2.htb 0.727 0.008 
m2c443r2.htb 0.645 0.120 
m2c445r2.htb 0.790 0.030 
m2c450r2.htb 0.586 0.554 
m5c4r2.htb 0.432 0.592 
m5c6r2.htb 0.583 0.374 
m5c7r2.htb 0.464 0.764 
m5c8r2.htb 0.777 0.072 
m5c13r2.htb 0.670 0.122 
m5c14r2.htb 0.477 0.826 
m5c15r2.htb 0.506 0.926 
m5c25r2.htb 0.436 0.470 
m5c29r2.htb 0.478 0.782 
m5c30r2.htb 0.481 0.920 
m5c35r2.htb 0.658 0.156 
m5c37r2.htb 0.847 0.018 
m5c38r2.htb 0.736 0.058 
m5c40r2.htb 0.454 0.640 
m5c42r2.htb  NaN  NaN 
m5c46r2.htb 0.462 0.670 
m5c49r2.htb 0.465 0.716 
m5c54r2.htb 0.475 0.822 
m5c60r2.htb 0.498 0.894 
m5c63r2.htb 0.236 0.090 
