FILE	         theshold	 CP	 Rfiring	 Rdfttrial	 Rdftmean	 phase	 ratio	
m2c66r2.htb 2.280 4.692 0.603 0.476 0.050 0.082 0.918 0.903 0.000 0.001 
m2c67r2.htb 193.398 47.614 0.567 0.603 0.102 0.084 -0.155 0.402 0.691 0.283 
m2c70r2.htb 22.666 6.620 0.523 0.413 0.794 0.764 0.464 0.948 0.208 0.000 
m2c71r2.htb 17.811 78.889 0.594 0.577 0.168 0.152 0.833 0.394 0.005 0.294 
m2c72r2.htb 6.033 15.219 0.572 0.511 0.236 0.284 -0.932 -0.630 0.000 0.069 
m2c77r2.htb 16.872 20.784 0.589 0.595 0.048 0.064 0.716 -0.692 0.030 0.039 
m2c78r2.htb 23.876 18.948 0.542 0.525 0.504 0.508 -0.784 -0.878 0.012 0.002 
m2c79r2.htb 15.270 27.702 0.512 0.498 0.770 0.746 0.725 -0.611 0.027 0.080 
m2c81r2.htb 38.648 11.860 0.422 0.456 0.168 0.134 0.155 -0.739 0.690 0.023 
m2c82r2.htb 20.056 11.261 0.389 0.499 0.038 0.030 0.645 -0.879 0.061 0.002 
m2c84r2.htb 6.978 17.577 0.610 0.567 0.050 0.036 -0.888 0.673 0.001 0.047 
m2c86r2.htb 10.098 56.944 0.584 0.522 0.114 0.080 0.801 0.214 0.009 0.579 
m2c91r2.htb 27.353 22.220 0.497 0.530 1.010 0.940 0.355 -0.544 0.348 0.130 
m2c93r2.htb 11.212 19.870 0.580 0.545 0.078 0.086 0.856 0.751 0.003 0.020 
m2c94r2.htb 15.605 20.491 0.601 0.561 0.050 0.042 -0.771 -0.840 0.015 0.005 
m2c97r2.htb 9.708 11.068 0.559 0.549 0.208 0.190 0.885 -0.918 0.002 0.000 
m2c98r2.htb 29.109 22.344 0.637 0.599 0.000 0.004 -0.593 -0.473 0.092 0.198 
m2c99r2.htb 5.968 13.697 0.528 0.437 0.490 0.534 -0.836 -0.733 0.005 0.025 
m2c100r2.htb 4.779 7.731 0.618 0.462 0.012 0.010 -0.916 -0.779 0.001 0.013 
m2c101r2.htb 61.324 20.919 0.573 0.589 0.142 0.194 -0.635 -0.783 0.066 0.013 
m2c103r2.htb 17.453 110.262 0.552 0.553 0.336 0.322 -0.725 -0.398 0.027 0.288 
m2c109r2.htb 32.032 52.731 0.568 0.503 0.206 0.196 0.320 -0.222 0.402 0.565 
m2c110r2.htb 18.474 32.571 0.583 0.557 0.048 0.058 0.620 -0.459 0.075 0.213 
m2c116r2.htb 20.678 12.185 0.527 0.528 0.590 0.616 0.704 -0.835 0.034 0.005 
m2c119r2.htb 37.460 47.324 0.541 0.458 0.334 0.334 -0.233 -0.343 0.545 0.365 
m2c121r2.htb 300.000 63.899 0.495 0.573 0.846 0.892 -0.023 0.253 0.953 0.512 
m2c125r2.htb 32.916 52.851 0.448 0.512 0.352 0.328 0.579 -0.094 0.102 0.810 
m2c126r2.htb 11.232 109.883 0.563 0.519 0.198 0.174 0.751 0.067 0.020 0.864 
m2c127r2.htb 9.422 8.179 0.607 0.525 0.234 0.224 0.789 -0.814 0.011 0.008 
m2c128r2.htb 10.948 11.213 0.519 0.568 0.702 0.712 0.907 -0.917 0.001 0.001 
m2c129r2.htb 16.120 20.590 0.583 0.543 0.068 0.130 -0.798 -0.693 0.010 0.038 
m2c130r2.htb 9.696 78.296 0.508 0.537 0.924 0.928 -0.796 -0.329 0.010 0.387 
m2c131r2.htb 14.351 43.091 0.648 0.589 0.002 0.000 -0.736 -0.427 0.024 0.251 
m2c134r2.htb 8.476 30.571 0.479 0.560 0.690 0.660 0.931 0.511 0.000 0.160 
m2c135r2.htb 6.597 23.235 0.568 0.498 0.168 0.210 0.949 0.638 0.000 0.065 
m2c137r2.htb 300.000 4.240 0.539 0.447 0.684 0.734 -0.175 -0.884 0.653 0.002 
m2c138r2.htb 17.277 18.656 0.443 0.493 0.322 0.276 0.788 0.705 0.012 0.034 
m2c139r2.htb 70.836 27.268 0.476 0.467 0.666 0.704 -0.292 0.523 0.446 0.148 
m2c140r2.htb 2.219 2.219 0.602 0.649 0.066 0.052 0.978 -0.963 0.000 0.000 
m2c141r2.htb 6.501 11.141 0.534 0.500 0.564 0.522 0.843 -0.718 0.004 0.029 
m2c143r2.htb 44.989 58.558 0.566 0.544 0.166 0.166 -0.314 -0.076 0.411 0.846 
m2c144r2.htb 7.310 25.218 0.594 0.553 0.164 0.216 -0.950 0.549 0.000 0.126 
m2c145r2.htb 6.116 10.227 0.671 0.516 0.030 0.032 -0.834 -0.792 0.005 0.011 
m2c148r2.htb 32.814 178.901 0.573 0.483 0.284 0.268 -0.277 0.085 0.471 0.828 
m2c149r2.htb 11.198 113.672 0.530 0.468 0.480 0.440 -0.908 -0.196 0.001 0.614 
m2c150r2.htb 36.916 32.123 0.550 0.421 0.530 0.520 0.571 -0.497 0.108 0.173 
m2c151r2.htb 5.086 9.194 0.636 0.597 0.044 0.044 -0.888 0.820 0.001 0.007 
m2c152r2.htb 96.983 40.987 0.503 0.501 0.992 1.002 0.098 0.232 0.801 0.549 
m2c155r2.htb 10.774 43.761 0.548 0.593 0.426 0.420 0.768 0.439 0.016 0.237 
m2c157r2.htb 3.244 6.814 0.515 0.381 0.742 0.684 -0.977 -0.932 0.000 0.000 
