m2c162r2.htb 0.902 0.780 0.732 0.707 0.561 0.610 0.366 0.512 0.366 0.634 0.463 0.610 0.634 0.707 0.488 0.732 0.341 0.659 0.415 0.634 0.561 0.756 0.829 0.927 0.780 0.878 0.561 1.341 0.902 1.195 1.244 1.317 1.195 1.195 1.366 1.512 1.049 1.317 1.341 1.000 1.220 0.927 0.902 0.878 0.854 0.659 0.634 0.707 0.829 0.829 1.073 0.829 0.951 0.780 0.854 0.805 0.927 0.976 0.756 1.122 1.171 0.951 1.244 1.000 1.463 1.195 0.780 0.415 0.488 0.366 0.683 0.805 0.366 0.073 0.024 0.024 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.900 0.650 0.825 0.600 0.625 0.500 0.450 0.575 0.575 0.325 0.575 0.625 0.575 0.950 0.575 0.950 0.825 0.875 0.950 0.650 0.775 0.625 0.775 0.200 0.525 0.625 0.700 0.725 0.975 0.825 1.025 0.950 1.200 1.025 1.150 1.250 1.200 1.425 1.250 1.400 1.225 1.150 1.200 0.925 0.975 0.950 0.875 0.875 1.175 1.000 0.975 0.825 1.125 0.975 1.050 0.750 0.600 0.750 0.600 0.575 0.550 0.625 0.725 0.825 1.100 1.075 0.900 0.450 0.300 0.400 0.525 0.625 0.575 0.275 0.025 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.561 0.683 0.561 0.488 0.488 0.537 0.341 0.561 0.610 0.537 0.439 0.707 0.683 0.707 0.634 0.463 0.902 0.707 0.390 0.634 0.537 0.659 0.805 0.341 0.756 0.732 0.610 0.610 0.927 0.732 1.146 1.049 1.024 1.390 1.049 1.098 1.341 1.146 1.439 1.439 1.171 1.195 0.756 0.610 0.585 0.366 0.610 0.659 0.659 0.634 0.537 0.805 0.902 0.659 0.805 0.585 0.805 0.951 0.756 1.024 0.732 1.000 0.951 1.146 1.390 1.122 1.024 0.390 0.341 0.366 0.585 0.951 0.439 0.049 0.122 0.024 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
m2c163r2.htb 0.872 0.974 0.974 0.744 0.615 0.385 0.718 0.487 0.410 0.641 0.487 0.615 0.513 0.410 0.564 0.436 0.487 0.462 0.513 0.538 0.564 0.359 0.385 0.282 0.410 0.333 0.436 0.462 0.462 0.308 0.308 0.436 0.359 0.333 0.410 0.718 0.846 0.667 0.718 0.718 0.590 0.744 0.641 0.897 1.154 1.256 1.051 1.026 0.897 1.205 0.795 0.564 0.487 0.487 0.487 0.487 0.462 0.333 0.205 0.308 0.256 0.487 0.308 0.282 0.256 0.179 0.231 0.436 0.333 0.385 0.564 0.513 0.487 0.308 0.128 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.775 0.775 0.700 0.725 0.675 0.650 0.600 0.650 0.550 0.600 0.625 0.475 0.475 0.550 0.525 0.625 0.425 0.700 0.400 0.400 0.400 0.525 0.525 0.425 0.350 0.275 0.275 0.350 0.125 0.325 0.250 0.300 0.275 0.250 0.475 0.275 0.175 0.450 0.475 0.600 0.550 0.550 0.475 0.700 0.275 0.375 0.375 0.375 0.375 0.575 0.325 0.225 0.275 0.300 0.225 0.250 0.175 0.175 0.100 0.100 0.250 0.100 0.225 0.025 0.175 0.400 0.250 0.350 0.575 0.450 0.400 0.625 0.475 0.200 0.100 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.600 0.625 0.700 0.775 0.750 0.700 0.875 0.725 0.525 0.650 0.825 0.775 0.525 0.800 0.850 0.650 0.400 0.475 0.350 0.475 0.250 0.425 0.500 0.525 0.325 0.275 0.275 0.150 0.200 0.250 0.250 0.225 0.250 0.175 0.300 0.325 0.500 0.375 0.325 0.500 0.600 0.575 0.875 0.850 0.975 0.900 0.800 0.950 0.925 0.725 0.800 0.375 0.250 0.175 0.350 0.150 0.125 0.100 0.075 0.050 0.150 0.050 0.050 0.050 0.050 0.125 0.175 0.200 0.100 0.225 0.325 0.500 0.425 0.200 0.025 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
m2c168r3.htb 0.095 0.143 0.333 0.333 0.476 0.333 0.190 0.143 0.333 0.238 0.095 0.524 0.333 0.190 0.190 0.095 0.048 0.143 0.143 0.143 0.000 0.048 0.048 0.143 0.190 0.429 0.429 0.286 0.143 0.238 0.190 0.333 0.143 0.143 0.095 0.048 0.238 0.190 0.333 0.238 0.429 1.143 0.381 1.286 0.762 0.810 0.714 0.714 0.238 0.333 0.333 0.190 0.048 0.190 0.095 0.048 0.190 0.286 0.000 0.095 0.048 0.048 0.143 0.381 0.190 0.381 0.190 0.095 0.190 0.048 0.095 0.143 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.200 0.100 0.150 0.150 0.100 0.150 0.300 0.250 0.250 0.250 0.500 0.350 0.200 0.200 0.050 0.100 0.150 0.200 0.100 0.350 0.000 0.100 0.200 0.150 0.350 0.250 0.500 0.300 0.050 0.200 0.350 0.400 0.150 0.300 0.150 0.250 0.250 0.750 1.350 1.700 1.800 1.750 1.850 1.900 1.050 1.350 1.400 0.850 0.800 0.500 0.750 0.600 0.300 0.350 0.350 0.300 0.250 0.100 0.200 0.050 0.000 0.000 0.000 0.000 0.050 0.200 0.100 0.250 0.000 0.050 0.000 0.000 0.050 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.350 0.350 0.300 0.400 0.200 0.200 0.250 0.200 0.250 0.150 0.300 0.700 0.200 0.100 0.050 0.000 0.100 0.150 0.000 0.100 0.050 0.300 0.300 0.250 0.100 0.350 0.300 0.250 0.100 0.350 0.150 0.200 0.200 0.250 0.200 0.200 0.350 0.700 1.000 1.350 1.800 1.700 1.950 1.850 1.450 1.050 1.500 1.000 1.200 0.700 0.400 0.500 0.500 0.350 0.350 0.050 0.000 0.000 0.050 0.000 0.000 0.000 0.100 0.050 0.100 0.150 0.050 0.100 0.050 0.100 0.050 0.150 0.050 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
m2c170r2.htb 1.200 1.450 1.250 0.900 0.950 1.050 1.100 1.250 1.600 1.200 1.600 1.150 0.950 0.650 1.100 0.700 0.850 1.100 0.750 1.050 1.000 0.850 1.200 0.550 1.000 0.350 1.200 1.100 1.050 1.200 1.000 1.000 1.000 1.050 0.950 0.600 0.400 1.200 1.100 1.300 0.850 1.650 1.400 1.500 1.400 2.300 1.700 1.950 2.200 1.800 1.650 1.750 1.700 1.300 1.150 1.250 1.150 0.900 0.750 0.850 0.600 1.100 1.250 0.500 0.450 0.950 0.300 0.300 0.500 0.400 0.250 0.800 0.550 0.200 0.000 0.050 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.750 0.500 1.350 1.400 1.150 1.150 0.900 0.900 1.250 1.300 1.100 1.300 1.000 1.400 1.550 1.150 0.700 0.550 0.700 0.550 0.650 1.300 0.550 1.050 0.500 0.600 0.700 0.750 0.800 0.700 0.750 1.100 0.500 1.500 1.750 1.800 1.800 2.000 1.450 1.500 1.700 1.750 1.100 0.850 0.700 1.100 0.900 1.250 1.150 1.150 1.250 1.250 1.300 1.000 1.150 0.600 0.950 0.550 0.650 0.550 0.450 0.850 0.600 1.350 0.600 0.850 0.550 0.700 0.600 1.100 0.700 1.300 0.250 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.300 1.150 1.200 0.750 1.000 1.200 1.200 1.750 1.150 1.950 1.100 1.400 0.950 0.950 1.000 0.450 0.750 0.450 0.550 0.650 0.950 0.800 0.400 0.600 0.500 1.050 0.750 0.950 0.700 0.950 0.550 1.100 0.700 0.450 0.750 0.850 1.550 1.550 1.650 0.900 1.350 1.600 2.100 1.950 2.000 1.750 1.750 1.700 2.300 1.850 1.500 1.450 1.650 2.500 1.450 1.250 1.000 0.950 0.750 0.650 1.050 1.150 1.000 1.650 0.750 0.700 0.450 0.400 0.700 0.400 1.050 1.200 0.200 0.150 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
m2c172r2.htb 1.071 0.821 0.750 1.214 1.000 0.821 0.857 0.750 0.893 0.786 0.571 0.714 0.643 0.464 0.357 0.821 0.643 0.571 0.500 0.643 0.393 0.500 0.393 0.536 0.464 0.429 0.393 0.179 0.393 0.286 0.393 0.321 0.286 0.429 0.286 0.321 0.393 0.286 0.429 0.500 0.571 0.857 0.786 1.000 1.000 1.321 1.071 1.000 0.821 0.929 0.714 0.786 0.857 0.643 0.893 0.857 1.071 0.821 0.679 0.393 0.464 0.321 0.714 0.250 0.607 0.750 1.000 0.607 1.036 1.000 1.786 1.214 1.000 0.393 0.071 0.036 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.857 1.143 0.964 0.571 0.786 0.607 0.714 1.143 0.964 0.679 0.750 0.857 0.786 0.750 0.643 0.821 0.714 0.821 0.821 0.679 0.464 0.393 0.607 0.429 0.000 0.143 0.036 0.250 0.143 0.107 0.179 0.250 0.107 0.143 0.143 0.321 0.214 0.357 0.571 0.750 1.107 0.893 1.143 0.964 0.929 0.607 0.607 0.607 0.500 0.607 0.714 0.929 0.929 0.821 0.679 0.679 0.679 0.679 0.679 0.679 0.643 0.393 0.429 0.393 0.500 0.429 0.429 0.607 0.321 0.607 0.607 0.571 0.429 0.179 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.321 1.179 1.393 1.000 1.107 0.893 0.893 0.679 1.000 0.714 0.679 0.821 0.643 0.464 0.643 0.571 0.679 0.786 0.679 0.500 0.500 0.357 0.607 0.464 0.143 0.107 0.143 0.179 0.071 0.179 0.179 0.036 0.000 0.071 0.036 0.000 0.071 0.071 0.179 0.214 0.321 0.286 0.393 0.643 0.393 0.786 0.679 0.607 0.500 0.429 0.464 0.286 0.536 0.429 0.321 0.250 0.571 0.250 0.464 0.357 0.214 0.357 0.321 0.179 0.214 0.500 0.536 0.321 0.786 0.893 1.000 0.821 0.429 0.036 0.036 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
m2c174r2.htb 0.560 0.400 0.200 0.280 0.440 0.520 0.200 0.200 0.080 0.320 0.240 0.280 0.200 0.240 0.480 0.480 0.160 0.160 0.400 0.160 0.640 0.480 0.400 0.520 0.320 0.440 0.560 0.400 0.480 0.520 0.440 0.480 0.720 0.760 0.920 1.520 1.320 1.200 1.200 1.280 1.440 1.760 1.560 1.840 2.360 1.120 1.560 1.560 0.960 0.960 0.560 1.200 1.040 0.560 0.720 0.680 0.560 0.360 0.640 0.360 0.480 0.520 0.560 0.400 0.440 0.080 0.080 0.680 0.640 0.680 0.760 1.000 0.680 0.360 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.458 0.417 0.458 0.375 0.542 0.333 0.208 0.333 0.292 0.208 0.625 0.250 0.208 0.417 0.417 0.417 0.250 0.208 0.458 0.333 0.417 0.125 0.458 0.208 0.708 0.250 0.500 0.500 0.417 0.750 0.708 0.875 0.875 1.083 1.292 1.542 1.708 2.083 2.208 1.792 1.958 2.042 1.125 1.917 1.625 1.167 1.708 1.583 1.250 1.125 1.208 1.083 0.708 0.667 0.542 0.625 1.000 0.792 0.667 0.708 1.000 0.792 0.583 0.458 0.292 0.125 0.417 1.167 1.125 0.708 0.792 0.958 0.625 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.292 0.375 0.417 0.500 0.375 0.208 0.292 0.292 0.500 0.208 0.333 0.292 0.333 0.583 0.375 0.333 0.417 0.458 0.375 0.375 0.500 0.250 0.333 0.333 0.667 0.625 0.667 0.750 0.500 0.750 0.625 0.625 1.125 1.292 1.500 1.792 2.375 2.208 2.208 2.125 2.750 2.417 2.083 2.042 2.167 1.917 1.958 2.292 1.292 1.500 1.792 1.167 1.000 0.875 0.750 0.917 0.583 0.458 0.708 0.667 0.500 0.625 0.500 0.125 0.292 0.000 0.167 0.583 1.083 0.500 0.375 0.458 0.708 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
m2c175r2.htb 0.333 0.375 0.333 0.333 0.458 0.208 0.417 0.458 0.375 0.333 0.292 0.500 0.542 0.708 0.500 0.667 0.667 0.625 0.167 0.458 0.417 0.375 0.583 0.417 0.292 0.458 0.750 0.583 0.458 1.000 1.167 1.167 1.167 1.333 1.417 1.292 1.333 1.250 0.750 1.042 0.917 1.167 1.125 1.333 1.292 1.708 1.625 1.500 1.417 1.625 1.458 0.833 1.125 0.667 0.792 0.625 0.625 0.750 0.417 0.583 0.250 0.292 0.750 0.333 0.458 0.125 0.458 0.542 0.458 0.500 0.083 0.333 0.417 0.208 0.000 0.042 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.292 0.458 0.458 0.333 0.625 0.375 0.500 0.500 0.458 0.417 0.375 0.625 0.500 0.667 0.625 0.583 0.542 0.542 0.583 0.375 0.500 0.583 0.458 0.500 0.667 0.750 0.583 0.583 0.292 0.667 0.417 0.250 0.458 0.333 0.375 0.333 0.292 0.375 0.417 0.500 0.542 0.458 0.458 0.500 0.458 0.542 0.625 0.417 0.417 0.750 0.667 0.667 0.542 0.500 0.542 0.333 0.417 0.917 0.375 0.500 0.500 0.458 0.500 0.583 0.500 0.292 0.542 0.208 0.292 0.542 0.083 0.083 0.250 0.167 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.333 0.292 0.292 0.250 0.458 0.292 0.292 0.250 0.417 0.542 0.292 0.375 0.542 0.542 0.292 0.750 0.500 0.542 0.500 0.583 0.333 0.583 0.458 0.708 0.417 0.625 0.667 0.583 0.792 0.792 1.000 0.625 0.542 0.667 0.583 0.458 0.750 0.500 0.583 0.833 0.625 0.667 0.667 0.917 1.125 1.250 1.583 1.542 1.417 1.333 1.292 1.125 1.042 0.792 0.500 0.667 0.417 0.708 0.500 0.250 0.250 0.292 0.250 0.458 0.375 0.167 0.083 0.417 0.542 0.125 0.083 0.458 0.375 0.042 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
m2c176r2.htb 0.182 0.409 0.455 0.318 0.773 0.682 0.364 0.545 0.318 0.364 0.318 0.636 0.455 0.591 0.545 0.273 0.409 0.182 0.364 0.682 0.500 0.273 0.500 0.409 0.545 0.636 0.727 0.500 0.682 1.000 1.000 0.727 0.545 0.955 1.273 1.364 1.545 2.273 1.636 1.591 1.682 1.545 1.682 1.545 1.682 2.000 2.636 2.045 1.909 1.545 1.545 0.955 1.227 0.500 0.682 0.545 0.864 0.545 0.909 1.182 1.000 0.773 0.773 0.409 0.455 0.500 0.227 0.500 0.364 0.318 0.045 0.273 0.091 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.318 0.364 0.136 0.682 0.409 0.500 0.318 0.409 0.182 0.318 0.500 0.591 0.364 0.636 0.818 0.455 0.227 0.455 0.545 0.864 0.591 0.500 0.591 0.409 0.364 0.409 0.364 0.591 0.364 1.182 0.545 0.227 0.636 0.773 0.773 1.000 1.227 1.091 1.545 1.545 1.636 1.909 1.364 1.091 1.364 1.045 0.727 0.500 0.500 0.591 1.000 1.409 0.955 0.545 1.000 1.227 0.636 0.909 1.045 1.000 0.682 0.591 0.545 0.773 0.227 0.227 0.318 0.182 0.545 0.636 0.045 0.136 0.091 0.136 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.227 0.591 0.409 0.409 0.364 0.364 0.364 0.227 0.636 0.318 0.227 0.455 0.364 0.727 0.864 0.455 0.409 0.636 0.455 0.500 0.500 0.591 0.182 0.364 0.409 0.545 0.682 0.455 0.318 0.500 0.409 0.500 0.591 0.318 0.864 0.909 1.182 1.818 1.636 1.591 1.409 1.500 1.636 1.364 1.409 1.636 1.545 1.500 0.955 1.545 1.091 0.818 0.500 0.727 1.045 0.864 0.409 0.636 0.455 0.455 0.591 0.364 0.409 0.318 0.227 0.364 0.182 0.364 0.136 0.227 0.136 0.136 0.045 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
m2c177r2.htb 0.606 0.212 0.545 0.394 0.545 0.394 0.212 0.333 0.667 0.364 0.364 0.576 0.424 0.758 0.727 0.576 0.545 0.606 0.636 0.515 0.939 0.667 0.515 0.515 0.303 0.364 0.515 0.333 0.455 0.788 0.667 0.485 0.697 0.818 0.788 1.424 1.212 1.273 1.121 1.152 1.152 1.152 1.273 1.364 0.879 1.303 1.394 1.364 1.273 1.242 1.394 1.303 1.000 0.848 0.636 0.758 0.727 0.909 0.848 0.788 0.818 0.758 0.515 0.424 0.394 0.394 0.273 0.152 0.091 0.182 0.242 0.515 0.576 0.394 0.030 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.364 0.242 0.455 0.303 0.364 0.606 0.515 0.364 0.394 0.455 0.455 0.485 0.818 0.788 0.879 0.727 0.848 0.606 0.848 0.788 0.485 0.788 0.636 0.455 0.424 0.333 0.606 0.424 0.485 0.636 0.727 0.576 0.758 0.727 0.758 0.697 1.121 0.970 0.939 1.273 0.758 0.879 0.848 0.667 0.697 0.636 0.455 0.455 0.758 0.333 0.455 0.394 0.303 0.636 0.788 0.576 0.667 0.515 0.394 0.333 0.394 0.455 0.273 0.364 0.152 0.121 0.061 0.182 0.212 0.333 0.394 0.455 0.515 0.303 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.455 0.455 0.485 0.242 0.303 0.364 0.242 0.333 0.364 0.515 0.364 0.667 0.424 0.636 0.667 0.818 0.606 0.606 0.788 0.515 0.697 0.515 0.576 0.424 0.424 0.515 0.727 0.485 0.303 0.364 0.545 0.576 0.697 0.909 0.939 1.576 1.212 1.182 0.970 1.242 1.000 1.212 1.182 0.909 0.879 0.879 1.000 0.909 0.788 0.909 0.667 1.061 0.939 0.758 0.727 0.636 0.636 0.576 0.606 0.606 0.576 0.303 0.364 0.424 0.303 0.152 0.000 0.061 0.273 0.212 0.364 0.364 0.727 0.182 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
m2c178r2.htb 1.000 1.100 0.767 0.967 1.067 1.033 1.133 1.033 1.067 0.867 1.200 1.100 1.000 0.933 1.133 1.200 1.067 1.367 1.333 1.133 1.267 1.400 1.700 1.067 1.333 1.700 1.600 1.300 1.800 1.733 1.967 2.267 2.233 2.233 2.933 3.233 2.767 2.533 2.900 2.867 2.600 2.133 2.400 2.133 2.233 2.967 2.633 2.567 2.333 1.800 2.000 2.067 1.733 1.633 1.733 1.400 1.500 1.567 1.267 1.367 1.033 0.867 1.100 1.500 1.700 1.367 0.567 0.767 1.000 1.267 1.167 1.133 0.500 0.167 0.033 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.067 1.233 1.100 0.967 1.200 0.933 1.033 1.133 1.033 1.067 1.033 1.067 1.167 1.267 1.167 1.100 1.233 1.000 1.000 1.333 1.467 1.800 1.267 1.167 1.000 1.033 0.967 0.733 0.833 0.900 1.200 1.000 0.933 1.033 0.967 1.000 1.000 0.800 0.900 1.267 1.733 1.900 1.900 1.800 1.700 1.567 1.433 1.100 1.400 1.400 1.233 1.767 1.467 1.733 1.167 1.333 1.033 1.133 1.033 1.100 1.200 0.900 0.867 1.067 1.300 1.800 1.433 0.700 1.000 1.533 1.367 1.100 0.700 0.133 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.967 1.067 1.267 1.300 1.067 0.967 1.267 1.533 1.367 1.400 1.000 1.400 1.100 1.233 1.433 1.100 1.600 1.333 1.167 1.700 1.467 1.500 1.400 1.067 0.933 0.533 0.600 0.733 0.833 0.533 0.667 1.100 0.733 1.267 1.500 1.767 2.433 2.467 3.600 3.533 3.500 3.567 3.433 2.867 2.667 2.600 2.467 2.867 2.467 2.500 2.533 2.233 1.900 1.933 1.767 1.000 1.467 1.100 1.533 1.533 1.333 1.400 1.767 1.533 1.433 1.433 1.700 1.267 1.267 1.433 0.867 0.900 0.633 0.133 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
