FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c162r2.htb 0.493 0.581 0.665 0.580 0.441 0.529 0.615 0.528 0.443 0.535 0.629 0.537 
m2c163r2.htb 0.389 0.470 0.552 0.469 0.440 0.533 0.627 0.533 0.463 0.554 0.645 0.555 
m2c168r3.htb 0.381 0.527 0.677 0.529 0.382 0.512 0.640 0.512 0.437 0.580 0.734 0.582 
m2c170r2.htb 0.506 0.656 0.796 0.654 0.220 0.356 0.502 0.358 0.194 0.334 0.479 0.333 
m2c172r2.htb 0.376 0.499 0.623 0.499 0.216 0.337 0.460 0.335 0.423 0.531 0.639 0.532 
m2c174r2.htb 0.452 0.568 0.680 0.567 0.497 0.615 0.726 0.614 0.581 0.707 0.822 0.708 
m2c175r2.htb 0.381 0.547 0.705 0.547 0.495 0.607 0.720 0.611 0.293 0.410 0.524 0.408 
m2c176r2.htb 0.368 0.512 0.652 0.512 0.371 0.548 0.713 0.547 0.431 0.576 0.719 0.577 
m2c177r2.htb 0.412 0.512 0.610 0.512 0.363 0.456 0.549 0.456 0.446 0.570 0.686 0.569 
m2c178r2.htb 0.489 0.597 0.697 0.596 0.421 0.519 0.613 0.518 0.353 0.452 0.554 0.451 
m2c179r2.htb 0.471 0.584 0.696 0.585 0.366 0.463 0.560 0.463 0.391 0.486 0.585 0.487 
m2c180r2.htb 0.381 0.505 0.631 0.505 0.284 0.464 0.632 0.462 0.235 0.431 0.635 0.430 
m2c181r2.htb 0.506 0.586 0.661 0.584 0.428 0.499 0.570 0.499 0.419 0.501 0.581 0.500 
m2c182r2.htb 0.545 0.618 0.689 0.618 0.474 0.539 0.605 0.540 0.376 0.451 0.528 0.451 
m2c183r2.htb 0.448 0.567 0.687 0.568 0.447 0.554 0.660 0.553 0.417 0.534 0.652 0.536 
m2c184r2.htb 0.512 0.592 0.675 0.593 0.415 0.500 0.583 0.499 0.458 0.564 0.659 0.562 
m2c185r2.htb 0.679 0.749 0.814 0.749 0.434 0.523 0.617 0.524 0.498 0.605 0.705 0.605 
m2c186r2.htb 0.315 0.413 0.519 0.415 0.366 0.457 0.552 0.458 0.424 0.529 0.635 0.528 
m2c187r2.htb 0.463 0.560 0.660 0.560 0.367 0.464 0.565 0.464 0.381 0.496 0.611 0.496 
m2c189r2.htb 0.380 0.499 0.621 0.500 0.373 0.458 0.545 0.458 0.398 0.497 0.600 0.498 
m2c190r2.htb 0.393 0.479 0.563 0.479 0.337 0.439 0.535 0.436 0.389 0.488 0.587 0.488 
m2c191r2.htb 0.424 0.512 0.597 0.512 0.447 0.533 0.617 0.533 0.454 0.551 0.650 0.551 
m2c193r2.htb 0.501 0.570 0.642 0.570 0.327 0.399 0.473 0.400 0.386 0.457 0.529 0.458 
m2c195r2.htb 0.361 0.469 0.574 0.469 0.461 0.552 0.646 0.551 0.428 0.559 0.677 0.556 
m2c196r3.htb 0.496 0.602 0.706 0.603 0.458 0.554 0.649 0.555 0.551 0.680 0.801 0.678 
m2c197r2.htb 0.453 0.534 0.610 0.534 0.588 0.671 0.755 0.672 0.470 0.547 0.625 0.547 
m2c198r2.htb 0.398 0.546 0.689 0.546 0.567 0.704 0.830 0.704 0.459 0.605 0.749 0.605 
m2c199r2.htb 0.458 0.560 0.661 0.560 0.396 0.503 0.603 0.501 0.422 0.527 0.632 0.529 
m2c200r2.htb 0.455 0.564 0.669 0.564 0.436 0.539 0.644 0.540 0.307 0.406 0.509 0.406 
m2c202r2.htb 0.480 0.581 0.683 0.582 0.432 0.521 0.611 0.521 0.433 0.519 0.599 0.518 
m2c214r2.htb 0.415 0.528 0.633 0.527 0.496 0.625 0.744 0.623 0.493 0.647 0.797 0.650 
m2c220r2.htb 0.431 0.559 0.687 0.558 0.317 0.440 0.565 0.441 0.404 0.549 0.693 0.549 
m2c221r2.htb 0.499 0.596 0.689 0.596 0.315 0.420 0.530 0.420 0.324 0.450 0.576 0.448 
m2c223r2.htb 0.464 0.563 0.658 0.563 0.422 0.516 0.614 0.515 0.394 0.488 0.585 0.488 
m2c226r2.htb 0.514 0.599 0.680 0.598 0.416 0.513 0.611 0.513 0.480 0.594 0.701 0.593 
m2c231r2.htb 0.489 0.590 0.691 0.590 0.320 0.423 0.525 0.423 0.397 0.517 0.634 0.516 
m2c233r2.htb 0.396 0.528 0.661 0.528 0.436 0.564 0.686 0.563 0.372 0.502 0.629 0.500 
m2c236r2.htb 0.540 0.629 0.713 0.629 0.318 0.407 0.498 0.406 0.356 0.462 0.567 0.461 
m2c237r2.htb 0.473 0.559 0.641 0.559 0.481 0.567 0.648 0.566 0.527 0.608 0.695 0.611 
m2c240r2.htb 0.409 0.504 0.598 0.504 0.607 0.694 0.774 0.695 0.509 0.616 0.717 0.615 
m2c241r2.htb 0.391 0.524 0.654 0.523 0.459 0.599 0.738 0.601 0.454 0.603 0.748 0.602 
m2c242r2.htb 0.464 0.599 0.731 0.599 0.231 0.357 0.495 0.361 0.498 0.611 0.721 0.612 
m2c244r2.htb 0.527 0.656 0.779 0.657 0.143 0.313 0.490 0.312 0.406 0.681 0.931 0.680 
m2c247r2.htb 0.395 0.537 0.669 0.535 0.502 0.690 0.863 0.691 0.348 0.539 0.723 0.540 
m2c252r2.htb 0.476 0.568 0.657 0.569 0.379 0.463 0.546 0.464 0.426 0.522 0.619 0.522 
m2c254r2.htb 0.474 0.549 0.634 0.554 0.531 0.600 0.672 0.603 0.510 0.605 0.696 0.605 
m2c258r2.htb 0.468 0.546 0.627 0.547 0.382 0.471 0.565 0.473 0.484 0.571 0.661 0.572 
m2c260r2.htb 0.387 0.483 0.584 0.484 0.470 0.568 0.665 0.569 0.521 0.631 0.738 0.631 
m2c262r2.htb 0.398 0.473 0.554 0.475 0.449 0.539 0.627 0.538 0.307 0.393 0.477 0.393 
m2c364r2.htb 0.330 0.428 0.527 0.429 0.411 0.510 0.603 0.508 0.342 0.440 0.536 0.439 
m2c365r2.htb 0.353 0.453 0.556 0.455 0.413 0.520 0.626 0.521 0.348 0.450 0.554 0.450 
m2c368r2.htb 0.385 0.485 0.584 0.485 0.406 0.499 0.593 0.499 0.447 0.539 0.636 0.540 
m2c369r2.htb 0.426 0.534 0.638 0.535 0.439 0.529 0.621 0.531 0.455 0.553 0.650 0.554 
m2c370r2.htb 0.355 0.519 0.682 0.515 0.389 0.541 0.687 0.540 0.464 0.617 0.768 0.618 
m2c372r2.htb 0.361 0.449 0.540 0.450 0.472 0.563 0.655 0.563 0.468 0.574 0.672 0.573 
m2c374r2.htb 0.570 0.647 0.723 0.647 0.247 0.328 0.413 0.328 0.287 0.375 0.462 0.373 
m2c376r2.htb 0.360 0.471 0.588 0.473 0.321 0.432 0.545 0.432 0.437 0.553 0.664 0.551 
m2c378r2.htb 0.459 0.545 0.625 0.545 0.435 0.515 0.597 0.516 0.466 0.558 0.642 0.555 
m2c382r2.htb 0.368 0.453 0.538 0.452 0.415 0.500 0.583 0.499 0.370 0.465 0.565 0.466 
m2c384r2.htb 0.443 0.523 0.606 0.524 0.515 0.596 0.676 0.597 0.429 0.517 0.604 0.517 
m2c392r2.htb 0.490 0.606 0.716 0.606 0.488 0.601 0.710 0.602 0.493 0.604 0.713 0.605 
m2c403r2.htb 0.474 0.565 0.652 0.565 0.472 0.574 0.679 0.575 0.421 0.518 0.618 0.519 
m2c409r2.htb 0.419 0.557 0.699 0.558 0.050 0.314 0.621 0.313 0.439 0.596 0.743 0.596 
m2c417r2.htb 0.380 0.505 0.633 0.504 0.448 0.618 0.780 0.620 0.434 0.560 0.679 0.558 
m2c423r2.htb 0.386 0.472 0.553 0.471 0.506 0.594 0.678 0.594 0.477 0.561 0.646 0.561 
m2c427r2.htb 0.416 0.512 0.607 0.511 0.409 0.502 0.598 0.502 0.376 0.493 0.618 0.494 
m2c429r2.htb 0.530 0.651 0.755 0.647 0.509 0.619 0.727 0.620 0.547 0.671 0.785 0.669 
m2c436r2.htb 0.527 0.603 0.675 0.602 0.659 0.740 0.815 0.740 0.637 0.712 0.784 0.712 
m2c441r2.htb 0.612 0.691 0.765 0.691 0.721 0.793 0.860 0.793 0.534 0.626 0.711 0.626 
m2c443r2.htb 0.447 0.528 0.612 0.529 0.575 0.664 0.746 0.663 0.487 0.566 0.646 0.567 
