FILE	         CP	
m2c66r2.htb  NaN  NaN  NaN 0.767 0.667 0.497 0.925  NaN  NaN 0.684 0.767 
m2c67r2.htb  NaN  NaN 0.654 0.434 0.571 0.396 0.458  NaN  NaN 0.433 0.506 
m2c70r2.htb  NaN  NaN  NaN  NaN 0.520 0.577 0.565  NaN  NaN 0.562  NaN 
m2c71r2.htb  NaN  NaN  NaN 0.486 0.679 0.690  NaN  NaN  NaN 0.690 0.486 
m2c72r2.htb  NaN  NaN 0.757  NaN 0.490 0.796 0.662  NaN  NaN 0.757 0.728 
m2c77r2.htb  NaN  NaN 0.522 0.611 0.565 0.605 0.431  NaN  NaN 0.547 0.573 
m2c78r2.htb  NaN  NaN 0.553 0.616 0.330 0.780  NaN  NaN  NaN 0.577 0.780 
m2c79r2.htb  NaN  NaN 0.500 0.303 0.622 0.683 0.651  NaN  NaN 0.657 0.399 
m2c81r2.htb  NaN  NaN 0.805 0.577 0.595 0.804  NaN  NaN  NaN 0.675 0.804 
m2c82r2.htb  NaN  NaN 0.162 0.439 0.379 0.321  NaN  NaN  NaN 0.321 0.333 
m2c84r2.htb  NaN  NaN 0.701 0.676 0.739 0.690 0.843  NaN  NaN 0.696 0.731 
m2c86r2.htb  NaN  NaN 0.627 0.479 0.505 0.585  NaN  NaN  NaN 0.585 0.540 
m2c91r2.htb  NaN  NaN 0.435 0.511 0.729  NaN  NaN  NaN  NaN 0.470  NaN 
m2c93r2.htb  NaN  NaN 0.683 0.462 0.547 0.407 0.481  NaN  NaN 0.431 0.553 
m2c94r2.htb  NaN  NaN 0.608 0.700 0.591 0.620 0.679  NaN  NaN 0.641 0.632 
m2c97r2.htb  NaN  NaN  NaN 0.689 0.517 0.481 0.678  NaN  NaN 0.581 0.689 
m2c98r2.htb  NaN  NaN 0.681 0.800 0.554 0.766  NaN  NaN  NaN 0.733 0.766 
m2c99r2.htb  NaN  NaN 0.761 0.615 0.699 0.556 0.557  NaN  NaN 0.656 0.538 
m2c100r2.htb  NaN  NaN 0.666 0.889 0.767 0.855 0.948  NaN  NaN 0.782 0.854 
m2c101r2.htb  NaN  NaN 0.589 0.675 0.353 0.521  NaN  NaN  NaN 0.635 0.521 
m2c103r2.htb  NaN  NaN 0.478 0.486 0.621 0.560  NaN  NaN  NaN 0.472 0.560 
m2c109r2.htb  NaN  NaN 0.644 0.579 0.593 0.649  NaN  NaN  NaN 0.649 0.565 
m2c110r2.htb  NaN  NaN 0.604 0.561 0.669 0.565 0.406  NaN  NaN 0.498 0.575 
m2c116r2.htb  NaN  NaN 0.668 0.636 0.518 0.564  NaN  NaN  NaN 0.564 0.624 
m2c119r2.htb  NaN  NaN 0.664 0.326 0.452 0.544 0.395  NaN  NaN 0.474 0.511 
m2c121r2.htb  NaN  NaN  NaN 0.427 0.386 0.526 0.480  NaN  NaN 0.427 0.513 
m2c125r2.htb  NaN 0.340 0.566 0.434 0.581 0.325  NaN  NaN  NaN 0.325 0.464 
m2c126r2.htb  NaN  NaN 0.495 0.567 0.372 0.420 0.444  NaN  NaN 0.430 0.524 
m2c127r2.htb  NaN  NaN  NaN 0.606  NaN 0.684  NaN  NaN  NaN 0.684 0.606 
m2c128r2.htb  NaN  NaN  NaN 0.382 0.701 0.520 0.676  NaN  NaN 0.582 0.382 
m2c129r2.htb  NaN  NaN  NaN 0.428 0.597 0.690 0.808  NaN  NaN 0.428 0.711 
m2c130r2.htb  NaN  NaN  NaN 0.690 0.644 0.742 0.480  NaN  NaN 0.690 0.645 
m2c131r2.htb  NaN  NaN  NaN 0.597 0.685 0.722 0.794  NaN  NaN 0.597 0.730 
m2c134r2.htb  NaN  NaN 0.392 0.514 0.313 0.488  NaN  NaN  NaN 0.488 0.462 
m2c135r2.htb  NaN  NaN 0.347 0.484 0.551 0.624  NaN  NaN  NaN 0.624 0.441 
m2c137r2.htb  NaN  NaN  NaN  NaN 0.336 0.893  NaN  NaN  NaN  NaN 0.893 
m2c138r2.htb  NaN  NaN 0.197 0.425 0.270 0.385 0.665  NaN  NaN 0.503 0.337 
m2c139r2.htb  NaN  NaN 0.525 0.419 0.750 0.404  NaN  NaN  NaN 0.404 0.475 
m2c140r2.htb  NaN  NaN 0.634 0.768 0.852 0.639  NaN  NaN  NaN 0.639 0.702 
m2c141r2.htb  NaN  NaN 0.500 0.602 0.572 0.652  NaN  NaN  NaN 0.652 0.568 
m2c143r2.htb  NaN  NaN 0.565 0.677 0.647 0.674  NaN  NaN  NaN 0.617 0.674 
m2c144r2.htb  NaN  NaN  NaN 0.705 0.717 0.513  NaN  NaN  NaN 0.705 0.513 
m2c145r2.htb  NaN  NaN  NaN 0.516 0.643 0.530  NaN  NaN  NaN 0.516 0.530 
m2c148r2.htb  NaN  NaN  NaN 0.487 0.688 0.402  NaN  NaN  NaN 0.487 0.402 
m2c149r2.htb  NaN  NaN  NaN 0.719 0.550 0.535 0.550  NaN  NaN 0.719 0.542 
m2c150r2.htb  NaN  NaN  NaN 0.687 0.526 0.545  NaN  NaN  NaN 0.545 0.687 
m2c151r2.htb  NaN  NaN  NaN 0.582 0.904 0.468  NaN  NaN  NaN 0.582 0.468 
m2c152r2.htb  NaN  NaN 0.548 0.327 0.440 0.488 0.452  NaN  NaN 0.478 0.427 
m2c155r2.htb  NaN  NaN 0.555  NaN 0.630 0.449 0.549  NaN  NaN 0.524 0.555 
m2c157r2.htb  NaN  NaN  NaN 0.484 0.638 0.546  NaN  NaN  NaN 0.484 0.546 
m2c158r2.htb  NaN  NaN 0.777 0.559 0.599 0.600 0.662  NaN  NaN 0.638 0.625 
m2c159r2.htb  NaN  NaN 0.269 0.383 0.422 0.629 0.269  NaN  NaN 0.528 0.363 
m2c160r2.htb  NaN  NaN  NaN 0.720 0.655 0.667  NaN  NaN  NaN 0.667 0.720 
m2c161r2.htb  NaN  NaN 0.615 0.587 0.629 0.732 0.864  NaN  NaN 0.584 0.802 
m2c162r2.htb  NaN  NaN 0.578 0.584 0.488 0.721 0.826  NaN  NaN 0.575 0.763 
m2c163r2.htb  NaN  NaN 0.444 0.520 0.510 0.380 0.382  NaN  NaN 0.388 0.488 
m2c168r3.htb  NaN  NaN  NaN 0.555 0.500 0.469  NaN  NaN  NaN 0.555 0.469 
m2c170r2.htb  NaN  NaN  NaN 0.830 0.545 0.637  NaN  NaN  NaN 0.830 0.637 
m2c172r2.htb  NaN  NaN  NaN 0.476 0.544 0.497  NaN  NaN  NaN 0.497 0.476 
m2c174r2.htb  NaN  NaN 0.384 0.723 0.445 0.696  NaN  NaN  NaN 0.589 0.696 
m2c175r2.htb  NaN  NaN  NaN 0.533 0.546  NaN  NaN  NaN  NaN  NaN 0.533 
m2c176r2.htb  NaN  NaN  NaN 0.357 0.632 0.586  NaN  NaN  NaN 0.586 0.357 
m2c177r2.htb  NaN  NaN 0.507 0.415 0.546 0.537  NaN  NaN  NaN 0.537 0.468 
m2c178r2.htb  NaN  NaN  NaN 0.552 0.706 0.463 0.822  NaN  NaN 0.618 0.552 
m2c179r2.htb  NaN  NaN  NaN 0.635 0.485 0.655  NaN  NaN  NaN 0.655 0.635 
m2c180r2.htb  NaN  NaN  NaN 0.507 0.377 0.495 0.662  NaN  NaN 0.507 0.566 
m2c181r2.htb  NaN  NaN  NaN 0.557 0.620 0.655 0.489  NaN  NaN 0.557 0.603 
m2c182r2.htb  NaN  NaN 0.617 0.714 0.686 0.543  NaN  NaN  NaN 0.543 0.675 
