FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c162r2.htb 25.000 40.000 -0.645 0.491 0.081 1.382 1.306 0.879 1.160 0.816 0.898 51.276 12.180 11.456 0.424 0.577 0.431 0.080 0.092 0.140 180.000 0.000 0.339 0.112 0.362 -0.567 0.915 0.348 0.359 
m2c163r2.htb 25.000 39.000 0.029 -0.057 0.115 1.238 1.062 0.944 1.906 0.379 0.382 110.243 20.900 30.626 0.565 0.550 0.503 0.132 0.298 0.902 180.000 180.000 0.167 0.053 -0.503 0.660 0.469 -0.005 0.990 
m2c168r3.htb 25.000 20.000 0.043 0.303 -0.072 1.277 1.289 0.821 0.174 0.534 0.690 58.252 43.725 60.311 0.527 0.512 0.580 0.734 0.822 0.332 180.000 0.000 0.749 0.486 -0.125 0.268 -0.079 0.721 0.028 
m2c170r2.htb 25.000 20.000 0.034 -0.006 -0.262 1.069 1.240 1.006 0.282 0.310 -1.033 20.864 26.765 300.000 0.587 0.367 0.648 0.226 0.072 0.056 180.000 0.000 0.014 0.168 -0.778 0.502 -0.087 -0.117 0.764 
m2c172r2.htb 25.000 28.000 -0.071 0.061 -0.339 0.767 1.262 1.012 0.687 0.340 3.035 42.310 29.402 227.481 0.595 0.630 0.548 0.134 0.034 0.416 180.000 0.000 0.011 0.000 -0.794 0.956 -0.319 -0.731 0.025 
m2c174r2.htb 25.000 24.000 -0.123 0.149 -0.140 1.226 1.241 0.806 1.556 1.203 27.074 90.020 85.648 300.000 0.387 0.401 0.584 0.078 0.102 0.242 180.000 0.000 0.106 0.841 -0.574 0.079 -0.143 0.034 0.932 
m2c175r2.htb 25.000 24.000 -0.271 0.466 -0.139 0.954 1.191 1.076 0.133 0.511 -0.064 25.888 38.679 13.131 0.477 0.509 0.468 0.784 0.940 0.588 0.000 0.000 0.241 0.245 -0.436 -0.433 -0.759 0.066 0.865 
m2c176r2.htb 25.000 22.000 0.038 1.147 -0.067 1.086 1.597 0.901 0.493 0.668 0.476 28.819 120.838 22.793 0.478 0.566 0.691 0.758 0.450 0.008 0.000 0.000 0.331 0.545 0.367 0.234 0.553 0.498 0.173 
m2c177r2.htb 25.000 33.000 -0.262 0.703 -0.204 1.275 1.362 0.772 0.438 0.741 1.073 71.114 64.802 120.446 0.521 0.536 0.568 0.688 0.418 0.266 180.000 180.000 0.195 0.081 -0.476 0.610 0.621 -0.032 0.935 
m2c179r2.htb 25.000 33.000 0.249 -0.200 0.241 0.859 1.182 1.126 8.262 3.261 2.276 300.000 300.000 131.884 0.624 0.431 0.541 0.044 0.172 0.412 0.000 180.000 0.478 0.419 -0.272 -0.308 0.249 -0.160 0.682 
m2c180r2.htb 25.000 21.000 0.511 1.367 0.442 1.433 1.365 0.554 27.074 -0.146 1.230 300.000 300.000 18.109 0.637 0.486 0.475 0.028 0.860 0.754 0.000 180.000 0.899 0.707 -0.049 -0.146 0.385 0.368 0.330 
m2c186r2.htb 26.000 30.000 -0.222 0.041 -0.305 1.430 1.167 0.960 2.631 0.030 0.480 215.283 33.897 41.774 0.606 0.502 0.358 0.036 0.928 0.008 180.000 180.000 0.937 0.052 0.031 -0.661 -0.406 0.307 0.422 
m2c187r2.htb 26.000 33.000 0.424 -0.107 -0.046 1.000 1.230 0.687 1.419 3.035 0.419 300.000 227.481 81.392 0.522 0.461 0.514 0.666 0.474 0.796 0.000 0.000 0.484 0.085 -0.269 -0.604 -0.260 0.593 0.093 
m2c189r2.htb 25.000 32.000 0.137 0.127 0.191 0.788 1.420 1.075 -10.629 0.749 0.728 300.000 65.492 63.607 0.461 0.535 0.530 0.586 0.472 0.580 0.000 0.000 0.837 0.362 0.080 0.346 0.424 -0.053 0.892 
m2c190r2.htb 25.000 35.000 0.256 0.504 0.161 1.225 1.296 1.021 0.515 0.546 0.036 47.950 6.876 7.447 0.559 0.560 0.484 0.186 0.206 0.784 180.000 180.000 0.270 0.001 0.412 -0.905 -0.970 -0.226 0.558 
m2c195r2.htb 25.000 30.000 0.021 -0.132 -0.217 1.110 1.507 0.902 0.047 0.239 0.235 54.940 20.351 20.034 0.462 0.470 0.477 0.496 0.452 0.748 0.000 0.000 0.011 0.001 -0.793 -0.899 -0.753 0.709 0.033 
m2c198r2.htb 27.000 20.000 -0.005 -0.546 -0.263 0.820 1.497 0.767 0.221 0.508 1.084 10.668 16.012 16.600 0.585 0.621 0.482 0.282 0.106 0.838 0.000 0.000 0.001 0.294 0.910 0.394 0.442 0.577 0.104 
