FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c162r2.htb 0.000 0.000 0.366 0.537 0.650 0.825 0.900 1.000 1.000 0.025 0.000 0.073 0.250 0.500 0.375 0.725 1.000 1.000 0.000 0.000 0.050 0.268 0.400 0.756 0.900 1.000 1.000 0.227 0.249 0.440 0.405 0.595 0.560 0.751 0.773 0.154 0.340 0.440 0.458 0.542 0.560 0.660 0.846 0.316 0.431 0.468 0.534 0.466 0.532 0.569 0.684 
m2c163r2.htb 0.000 0.000 0.154 0.375 0.385 0.692 0.850 1.000 1.000 0.000 0.000 0.154 0.333 0.410 0.744 0.923 1.000 1.000 0.000 0.000 0.000 0.325 0.487 0.692 0.846 1.000 1.000 0.427 0.484 0.607 0.443 0.557 0.393 0.516 0.573 0.411 0.434 0.466 0.490 0.510 0.534 0.566 0.589 0.297 0.367 0.474 0.502 0.498 0.526 0.633 0.703 
m2c168r3.htb 0.000 0.000 0.100 0.524 0.350 0.600 0.857 1.000 1.000 0.000 0.000 0.150 0.300 0.250 0.600 0.800 1.000 1.000 0.000 0.000 0.100 0.200 0.550 0.800 0.950 1.000 1.000 0.406 0.565 0.467 0.458 0.542 0.533 0.435 0.594 0.394 0.498 0.579 0.587 0.412 0.421 0.502 0.606 0.415 0.547 0.614 0.456 0.544 0.386 0.453 0.585 
m2c170r2.htb 0.000 0.000 0.100 0.350 0.450 0.650 0.900 1.000 1.000 0.000 0.000 0.150 0.400 0.500 0.550 0.900 1.000 1.000 0.000 0.000 0.150 0.400 0.700 0.700 0.950 1.000 1.000 0.340 0.181 0.473 0.453 0.547 0.528 0.819 0.660 0.115 0.458 0.453 0.491 0.509 0.547 0.542 0.885 0.230 0.550 0.355 0.491 0.509 0.645 0.450 0.770 
m2c172r2.htb 0.000 0.036 0.036 0.393 0.536 0.679 1.000 1.000 1.000 0.000 0.000 0.286 0.107 0.464 0.643 0.893 1.000 1.000 0.000 0.000 0.179 0.464 0.643 0.750 0.964 1.000 1.000 0.169 0.328 0.442 0.397 0.603 0.558 0.672 0.831 0.073 0.270 0.384 0.517 0.483 0.616 0.730 0.927 0.320 0.430 0.270 0.403 0.597 0.730 0.570 0.680 
m2c174r2.htb 0.000 0.000 0.208 0.333 0.560 0.625 0.917 1.000 1.000 0.000 0.000 0.083 0.333 0.520 0.583 0.792 1.000 1.000 0.000 0.000 0.042 0.500 0.417 0.750 1.000 1.000 1.000 0.113 0.117 0.306 0.500 0.500 0.694 0.883 0.887 0.000 0.087 0.310 0.496 0.504 0.690 0.913 1.000 0.000 0.033 0.180 0.391 0.609 0.820 0.967 1.000 
m2c175r2.htb 0.000 0.000 0.083 0.375 0.708 0.875 0.875 1.000 1.000 0.000 0.000 0.042 0.375 0.167 0.542 0.760 1.000 1.000 0.000 0.000 0.167 0.292 0.667 0.600 0.958 1.000 1.000 0.453 0.375 0.408 0.598 0.402 0.592 0.625 0.547 0.372 0.526 0.398 0.482 0.518 0.602 0.474 0.628 0.452 0.430 0.524 0.487 0.513 0.476 0.570 0.548 
m2c176r2.htb 0.000 0.000 0.091 0.318 0.500 0.682 0.864 1.000 1.000 0.000 0.000 0.136 0.091 0.136 0.455 0.478 0.955 1.000 0.000 0.000 0.045 0.273 0.696 0.682 0.909 1.000 1.000 0.288 0.536 0.352 0.512 0.488 0.648 0.464 0.712 0.290 0.513 0.449 0.543 0.457 0.551 0.487 0.710 0.395 0.388 0.393 0.279 0.721 0.607 0.612 0.605 
m2c177r2.htb 0.000 0.000 0.273 0.333 0.606 0.697 0.909 1.000 1.000 0.000 0.000 0.121 0.121 0.333 0.424 0.636 1.000 1.000 0.000 0.000 0.061 0.394 0.545 0.848 0.970 1.000 1.000 0.496 0.490 0.573 0.570 0.430 0.427 0.510 0.504 0.218 0.436 0.399 0.458 0.542 0.601 0.564 0.782 0.343 0.422 0.500 0.410 0.590 0.500 0.578 0.657 
m2c178r2.htb 0.000 0.000 0.100 0.433 0.367 0.767 0.867 1.000 1.000 0.000 0.000 0.167 0.267 0.333 0.467 0.767 1.000 1.000 0.000 0.000 0.167 0.333 0.533 0.833 0.967 1.000 1.000 0.445 0.424 0.435 0.459 0.541 0.565 0.576 0.555 0.302 0.433 0.454 0.450 0.550 0.546 0.567 0.698 0.083 0.238 0.491 0.437 0.563 0.509 0.762 0.917 
