FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c162r2.htb 40.000 1.307 1.510 1.080 2.749 1.069 0.716 14.988 17.269 24.413 13.272 26.307 60.355 
m2c163r2.htb 39.000 0.948 1.477 0.995 1.142 1.096 0.800 300.000 79.834 55.817 127.138 40.649 20.848 
m2c168r3.htb 20.000 1.346 1.203 1.642 0.958 0.819 0.755 241.311 125.453 83.765 63.570 300.000 300.000 
m2c170r2.htb 20.000 1.017 1.130 1.444 1.012 0.897 1.242 21.107 27.010 20.912 11.952 119.359 26.528 
m2c172r2.htb 28.000 0.675 1.356 1.342 1.105 1.003 1.108 18.587 16.670 13.966 12.129 52.150 25.824 
m2c174r2.htb 24.000 0.897 1.488 1.105 1.366 0.744 0.809 7.619 11.444 7.875 7.115 4.237 5.784 
m2c175r2.htb 24.000 1.050 0.855 1.555 0.972 1.207 0.932 37.113 300.000 63.338 300.000 300.000 53.697 
m2c176r2.htb 22.000 0.993 1.149 1.719 1.750 1.054 0.727 53.769 26.335 90.369 20.296 24.608 248.205 
m2c177r2.htb 33.000 1.440 1.200 1.512 1.370 0.588 0.986 67.625 300.000 22.220 22.928 42.305 21.534 
m2c178r2.htb 30.000 0.879 1.307 1.417 1.392 0.750 1.015 69.538 90.736 22.777 36.212 13.728 11.092 
m2c179r2.htb 33.000 0.943 0.691 1.319 1.060 1.334 0.925 10.536 12.491 25.472 18.858 17.537 12.577 
m2c180r2.htb 21.000 1.727 0.963 1.613 1.780 0.766 0.560 27.828 60.886 67.064 21.774 17.137 21.268 
m2c181r2.htb 52.000 1.058 0.737 1.493 1.458 1.143 0.914 9.300 7.672 11.273 10.866 7.399 7.723 
m2c182r2.htb 60.000 1.034 1.015 1.564 1.159 1.047 0.801 12.875 16.027 31.870 108.657 15.892 13.320 
m2c183r2.htb 30.000 0.729 1.078 1.094 1.255 1.043 0.772 10.771 10.915 25.065 45.369 10.583 11.832 
m2c184r2.htb 37.000 1.391 1.322 2.012 1.658 0.879 1.057 7.203 5.679 18.758 100.368 14.132 12.078 
m2c185r2.htb 40.000 1.296 1.289 1.011 1.064 0.703 0.763 4.715 3.793 7.204 7.465 4.392 3.006 
m2c186r2.htb 30.000 1.619 1.356 0.945 1.380 0.644 1.200 209.124 72.143 38.022 22.517 44.059 60.072 
m2c187r2.htb 33.000 1.075 1.016 0.993 1.557 0.674 0.698 44.084 71.525 43.975 36.012 25.656 23.572 
m2c189r2.htb 32.000 1.129 0.921 1.537 1.292 1.128 1.048 109.037 268.410 300.000 26.039 300.000 82.054 
m2c190r2.htb 35.000 1.534 0.901 1.437 1.221 0.958 1.058 69.042 38.467 12.497 12.775 10.679 13.397 
m2c191r2.htb 35.000 1.438 1.023 1.656 1.040 1.234 0.912 32.654 21.437 40.014 25.973 117.677 269.305 
m2c193r2.htb 52.000 1.166 1.263 1.384 1.921 0.968 1.061 300.000 300.000 300.000 197.031 110.668 79.736 
m2c195r2.htb 30.000 1.092 1.129 1.514 1.531 0.789 1.057 300.000 73.154 300.000 300.000 265.495 81.880 
m2c196r3.htb 27.000 0.662 1.145 1.901 1.651 0.774 0.993 8.648 6.173 4.612 4.096 4.088 3.098 
m2c197r2.htb 42.000 1.199 1.046 1.493 0.961 1.280 1.146 17.388 8.669 3.343 3.196 3.962 2.457 
m2c198r2.htb 20.000 0.775 0.859 1.159 1.776 0.598 0.885 16.396 12.278 11.826 9.890 9.900 7.177 
m2c199r2.htb 30.000 1.043 0.989 1.163 1.124 0.987 0.703 22.655 13.972 15.353 27.682 14.975 8.854 
m2c200r2.htb 30.000 1.218 1.079 0.974 1.304 1.198 0.728 8.623 11.764 8.154 9.702 7.858 5.518 
m2c202r2.htb 40.000 0.945 0.718 1.181 0.682 1.084 0.854 93.760 62.532 26.419 30.920 51.317 58.774 
m2c214r2.htb 26.000 1.094 1.008 0.667 0.947 0.813 0.615 13.747 13.684 4.784 4.426 2.788 2.817 
m2c220r2.htb 20.000 1.337 1.173 1.384 1.107 0.807 0.670 47.338 79.851 7.920 10.079 18.918 9.585 
m2c221r2.htb 28.000 1.659 2.991 1.050 1.066 0.670 0.876 22.220 22.526 300.000 43.437 14.456 19.766 
m2c223r2.htb 36.000 1.599 1.075 0.883 1.054 0.926 0.560 31.499 38.208 47.660 300.000 12.693 17.303 
m2c226r2.htb 35.000 0.968 1.568 1.228 0.779 0.914 0.874 8.428 10.075 10.734 11.704 6.670 12.004 
m2c231r2.htb 31.000 1.242 1.184 0.965 1.215 0.648 0.867 43.017 24.772 11.703 10.513 23.092 19.118 
m2c233r2.htb 27.000 1.049 0.838 1.345 1.078 0.825 0.811 300.000 135.094 22.899 24.991 49.052 26.002 
m2c236r2.htb 40.000 1.114 1.018 0.935 1.039 0.784 0.703 16.655 16.884 300.000 60.433 24.012 34.653 
m2c237r2.htb 44.000 0.978 1.317 0.923 1.009 0.957 1.433 49.148 24.403 6.792 5.737 6.835 4.948 
m2c240r2.htb 37.000 0.778 1.439 0.908 1.138 0.908 0.662 35.970 117.675 13.760 41.548 16.745 33.849 
m2c241r2.htb 20.000 1.183 1.187 1.146 1.032 1.351 0.588 66.822 75.352 9.416 52.173 73.644 29.909 
