FILE	         Ve_N_thr	 ves_CP	 ves_p	
m2c66r2.htb 4.565 3.952 2.814 2.414 1.980 2.321 1.883 1.917 1.956 2.017 1.869 0.538 0.602 0.620 0.670 0.681 0.684 0.696 0.726 0.749 0.761 0.777 
m2c67r2.htb 11.245 11.815 13.543 8.143 8.658 9.667 11.837 13.251 18.874 19.958 24.851 0.554 0.559 0.562 0.568 0.527 0.503 0.504 0.478 0.447 0.422 0.400 
m2c70r2.htb 9.941 9.065 10.295 9.776 12.329 15.442 29.910 179.309 24.948 20.562 14.426 0.490 0.505 0.538 0.524 0.544 0.540 0.553 0.572 0.443 0.475 0.497 
m2c71r2.htb 9.685 8.644 7.827 6.235 5.852 5.918 6.005 6.515 6.110 5.605 6.531 0.613 0.599 0.656 0.646 0.614 0.617 0.608 0.606 0.576 0.544 0.546 
m2c72r2.htb 6.166 5.059 4.726 3.877 2.679 2.524 3.761 3.706 3.869 4.358 4.493 0.537 0.561 0.643 0.654 0.656 0.644 0.670 0.670 0.644 0.698 0.710 
m2c77r2.htb 61.441 37.069 20.130 13.688 10.486 10.952 11.236 16.072 15.770 15.450 20.931 0.448 0.425 0.476 0.530 0.548 0.555 0.557 0.543 0.560 0.556 0.543 
m2c78r2.htb 84.466 55.181 71.582 59.563 89.323 185.167 300.000 299.734 127.231 110.385 51.734 0.537 0.537 0.544 0.542 0.552 0.557 0.554 0.545 0.531 0.459 0.454 
m2c79r2.htb 102.886 44.195 27.367 27.205 34.607 20.658 15.779 14.861 15.634 16.473 23.759 0.525 0.539 0.536 0.503 0.516 0.519 0.531 0.513 0.533 0.551 0.536 
m2c81r2.htb 12.456 11.760 14.188 12.746 20.617 21.612 23.264 37.662 135.237 300.000 70.964 0.616 0.636 0.654 0.652 0.651 0.663 0.658 0.634 0.628 0.635 0.350 
m2c82r2.htb 74.251 57.730 157.614 115.750 86.765 29.610 20.168 19.697 14.077 12.609 9.998 0.584 0.620 0.650 0.337 0.337 0.347 0.341 0.376 0.408 0.401 0.426 
