FILE	         Ve_N_thr	 ves_CP	 ves_p	
m14c113r1.htb 16.954 33.751 34.041 45.366 41.721 39.599 62.677 116.281 103.060 300.000 300.000 0.541 0.545 0.573 0.571 0.578 0.585 0.580 0.575 0.575 0.432 0.563 
m14c114r1.htb 111.154 104.257 55.210 59.384 61.248 59.384 49.935 55.210 46.943 55.210 55.210 0.516 0.528 0.519 0.509 0.509 0.516 0.515 0.516 0.506 0.517 0.524 
m14c115r1.htb 18.160 15.965 15.584 15.965 15.965 18.563 18.563 15.965 15.965 15.034 15.034 0.618 0.620 0.620 0.624 0.626 0.631 0.635 0.635 0.641 0.648 0.653 
m14c119r1.htb 96.117 81.030 49.823 67.662 81.030 81.030 81.030 81.030 84.997 71.310 71.310 0.453 0.458 0.454 0.460 0.470 0.467 0.464 0.467 0.463 0.460 0.454 
m14c122r1.htb 300.000 300.000 130.007 120.416 157.614 92.537 81.031 81.031 78.296 51.451 73.215 0.510 0.511 0.487 0.499 0.498 0.500 0.495 0.494 0.498 0.495 0.485 
m14c124r2.htb 42.580 66.240 67.967 100.929 300.000 300.000 215.283 215.283 195.185 167.692 300.000 0.569 0.573 0.565 0.565 0.560 0.555 0.554 0.549 0.542 0.543 0.542 
m14c125r1.htb 27.792 27.792 27.945 35.467 45.237 47.908 300.000 70.917 48.996 300.000 41.075 0.494 0.500 0.504 0.504 0.502 0.502 0.509 0.489 0.479 0.518 0.499 
m14c126r1.htb 16.713 15.775 17.274 20.927 25.090 24.604 24.604 24.604 34.328 30.893 26.774 0.489 0.495 0.500 0.498 0.488 0.480 0.466 0.455 0.448 0.448 0.452 
m14c133r2.htb 18.807 18.750 18.655 19.721 20.224 21.179 24.521 25.577 25.867 23.406 24.477 0.598 0.594 0.610 0.599 0.592 0.596 0.594 0.599 0.604 0.598 0.593 
m14c134r2.htb 11.362 11.315 11.315 10.875 10.519 9.413 10.474 10.050 10.861 10.039 10.039 0.486 0.480 0.484 0.488 0.496 0.494 0.505 0.523 0.530 0.540 0.531 
m14c135r2.htb 3.729 3.729 3.729 4.288 4.288 3.729 3.729 7.598 7.598 8.417 7.598  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN 
m14c136r2.htb 5.322 6.323 7.095 7.905 8.654 9.549 10.609 11.159 12.334 11.976 11.070 0.284 0.274 0.264 0.252 0.256 0.265 0.272 0.274 0.288 0.302 0.306 
