FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c66r2.htb 26.000 0.000 0.000 0.115 0.423 0.308 0.577 0.769 1.000 1.000 0.005 0.058 0.195 0.573 0.427 0.805 0.942 0.995 
m2c67r2.htb 40.000 0.000 0.000 0.125 0.350 0.500 0.775 0.750 1.000 1.000 0.159 0.439 0.480 0.312 0.688 0.520 0.561 0.841 
m2c70r2.htb 22.000 0.000 0.043 0.091 0.136 0.391 0.591 0.773 0.909 1.000 0.368 0.308 0.277 0.539 0.461 0.723 0.692 0.632 
m2c71r2.htb 29.000 0.000 0.000 0.069 0.310 0.276 0.448 0.897 1.000 1.000 0.113 0.222 0.477 0.321 0.679 0.523 0.778 0.887 
m2c72r2.htb 21.000 0.000 0.000 0.182 0.143 0.273 0.545 0.810 0.955 1.000 0.024 0.062 0.364 0.468 0.532 0.636 0.938 0.976 
m2c77r2.htb 33.000 0.000 0.000 0.212 0.364 0.606 0.667 0.788 1.000 1.000 0.271 0.300 0.328 0.439 0.561 0.672 0.700 0.729 
m2c78r2.htb 20.000 0.000 0.000 0.250 0.450 0.500 0.700 0.950 1.000 1.000 0.483 0.524 0.451 0.464 0.536 0.549 0.476 0.517 
m2c79r2.htb 33.000 0.000 0.000 0.364 0.515 0.794 0.794 0.879 0.970 1.000 0.344 0.390 0.501 0.503 0.497 0.499 0.610 0.656 
m2c81r2.htb 30.000 0.000 0.000 0.333 0.700 0.667 0.833 0.933 1.000 1.000 0.415 0.317 0.393 0.448 0.552 0.607 0.683 0.585 
m2c82r2.htb 32.000 0.000 0.031 0.375 0.656 0.625 0.813 0.969 1.000 1.000 0.386 0.470 0.489 0.463 0.537 0.511 0.530 0.614 
m2c84r2.htb 26.000 0.000 0.000 0.148 0.192 0.346 0.593 0.808 1.000 1.000 0.048 0.330 0.355 0.392 0.608 0.645 0.670 0.952 
m2c86r2.htb 33.000 0.000 0.000 0.206 0.412 0.500 0.676 0.941 1.000 1.000 0.189 0.218 0.370 0.452 0.548 0.630 0.782 0.811 
m2c91r2.htb 26.000 0.000 0.037 0.370 0.593 0.741 0.889 1.000 1.000 1.000 0.325 0.414 0.392 0.564 0.436 0.608 0.586 0.675 
m2c93r2.htb 36.000 0.000 0.000 0.189 0.351 0.556 0.459 0.730 0.973 1.000 0.088 0.235 0.378 0.383 0.617 0.622 0.765 0.912 
m2c94r2.htb 30.000 0.000 0.000 0.200 0.387 0.500 0.600 0.774 1.000 1.000 0.357 0.458 0.510 0.562 0.438 0.490 0.542 0.643 
m2c97r2.htb 41.000 0.000 0.000 0.049 0.220 0.357 0.439 0.634 1.000 1.000 0.260 0.314 0.378 0.515 0.485 0.622 0.686 0.740 
m2c98r2.htb 36.000 0.000 0.000 0.361 0.528 0.667 0.806 0.944 1.000 1.000 0.431 0.372 0.434 0.498 0.502 0.566 0.628 0.569 
m2c99r2.htb 41.000 0.000 0.000 0.122 0.357 0.415 0.707 0.881 1.000 1.000 0.067 0.114 0.244 0.371 0.629 0.756 0.886 0.933 
