FILE	 azimuth	 stim_type	 delta	 coherence	 bias	 bias_lower	 bias_upper	 thresh	 thresh_lower	 thresh_upper	 num_reps	 norm_rev	 CP_zero	 p_zero	 CP_all	 p_all	
m5c103r2.htb	90.000	1.000	0.000	16.000	92.770	3.527	214428.861	300.000	20.065	680578.190	21.000	AllTrials	0.627	0.306	0.562	0.502	
m5c103r2.htb	90.000	2.000	0.000	16.000	-18.925	-111591.820	1654.590	152.218	20.033	556185.755	21.000	AllTrials	 NaN	 NaN	0.481	0.922	
m5c103r2.htb	90.000	2.000	0.000	90.000	-13.572	-89290.834	-0.849	60.128	16.115	311131.104	21.000	AllTrials	0.352	0.338	0.471	0.730	
m5c103r2.htb	90.000	3.000	-2.000	16.000	18.504	-1.135	129572.990	116.247	18.346	523421.505	21.000	AllTrials	0.394	0.500	0.508	0.890	
m5c103r2.htb	90.000	3.000	-2.000	90.000	2.523	-22543.911	27324.471	67.466	17.956	718848.812	21.000	AllTrials	0.367	0.374	0.509	0.896	
m5c103r2.htb	90.000	3.000	0.000	16.000	7.362	-5773.213	74538.802	147.650	19.764	703018.041	21.000	AllTrials	 NaN	 NaN	0.522	0.894	
m5c103r2.htb	90.000	3.000	0.000	90.000	10.271	1.314	69570.750	47.515	15.026	377357.110	21.000	AllTrials	0.633	0.354	0.642	0.110	
m5c103r2.htb	90.000	3.000	2.000	16.000	-57.949	-158778.218	-2.624	300.000	-589490.527	-19.411	21.000	AllTrials	 NaN	 NaN	0.450	0.764	
m5c103r2.htb	90.000	3.000	2.000	90.000	-1.960	-37.848	10.549	26.687	12.463	79768.672	21.000	AllTrials	0.279	0.190	0.310	0.028	
m5c103r2.htb	90.000	1.000	0.000	16.000	14.864	-1.984	297568.875	54.719	8.689	748663.419	8.000	AllTrials	0.633	0.604	0.595	0.498	
m5c103r2.htb	90.000	2.000	0.000	16.000	91.712	-1.411	429727.556	263.198	12.771	1211403.069	8.000	AllTrials	 NaN	 NaN	0.625	0.562	
m5c103r2.htb	90.000	2.000	0.000	90.000	-12.660	-371200.099	-3.275	24.065	8.609	537412.126	8.000	AllTrials	 NaN	 NaN	 NaN	0.000	
m5c103r2.htb	90.000	3.000	-2.000	16.000	38.817	3.856	506572.254	93.631	10.250	840996.116	8.000	AllTrials	 NaN	 NaN	0.563	0.698	
m5c103r2.htb	90.000	3.000	-2.000	90.000	-31.882	-380720.488	15.218	300.000	-1094953.826	-11.558	8.000	AllTrials	0.500	0.972	0.311	0.102	
