FILE	 Wves_predicted	 Wves_actual	 coherence	 thresh_predicted	 thresh_actual_d0	 coherence	 thresh_actual_all	 thresh_actual_pm	 bias_delta0	 Wves_actual_minus	 Wves_actual_plus
m5c103r2.htb	0.205	0.085	16	135.744	147.65	16	187.966	208.124	7.362	-5.071	-32.156
m5c103r2.htb	0.039	0.364	90	58.955	47.515	90	47.222	47.076	10.271	4.374	-5.615
m5c103r2.htb	0.959	0.999	16	53.573	103.509	16	165.713	196.815	-17.069	-27.443	5.753
m5c103r2.htb	0.162	0.617	90	22.029	281.648	90	206.517	168.952	-61.455	-14.286	27.088
m5c103r2.htb	0.305	1.079	16	10.469	12.216	16	51.985	71.87	2.442	-25.385	-17.577
m5c103r2.htb	0.992	0.451	90	18.883	29.656	90	113.631	155.619	-15.801	-414.001	3.2
m24c21r2.htb	0.998	0.847	15	13.758	17.514	15	18.526	19.032	6.584	1.246	-1.407
m24c21r2.htb	0.998	0.032	60	13.758	73.676	60	45.955	32.094	40.023	8.926	-10.178
m24c29r2.htb	0.944	0.856	15	8.586	7.622	15	6.287	5.619	3.758	1.561	-0.527
m24c29r2.htb	0.378	0.036	60	5.435	5.795	60	3.54	2.413	0.937	0.764	0.387
m24c29r2.htb	0.769	0.856	15	8.698	5.369	15	6.359	6.854	1.396	1.058	0.133
m24c29r2.htb	0.186	0.036	60	4.276	5.355	60	4.08	3.442	1.181	0.758	0.387
m24c36r2.htb	0.987	0.864	18	13.758	14.738	18	15.757	16.267	-1.609	-0.881	1.681
m24c36r2.htb	0.753	0.078	60	12.02	9.49	60	11.991	13.242	1.217	1.263	1.754
m24c36r2.htb	0.989	0.925	18	8.802	15.19	18	14.061	13.496	-1.149	0.196	1.153
m24c36r2.htb	0.82	0.068	60	8.014	6.906	60	12.592	15.435	1.084	1.201	2.092
m24c36r2.htb	0.999	0.925	18	8.41	10.118	18	13.114	14.612	-0.765	-0.811	0.984
m24c36r2.htb	0.947	0.068	60	8.188	11.792	60	12.918	13.48	4.885	2.275	0.333
m24c36r2.htb	0.998	0.939	18	10.07	11.938	18	13.174	13.791	0.62	-0.879	0.391
m24c36r2.htb	0.939	0.092	60	9.765	12.105	60	12.705	13.005	5.006	2.191	0.267
m24c37r2.htb	0.005	0.718	18	9.435	10.365	18	9.611	9.234	-1.01	1.085	0.909
m24c37r2.htb	0.001	0.083	60	3.668	4.033	60	4.493	4.723	0.002	0.966	0.375
m24c38r2.htb	0.808	0.773	16	6.432	3.204	16	3.145	3.115	-0.106	0.429	0.454
m24c38r2.htb	0.079	0.016	60	2.006	1.291	60	1.63	1.799	-0.206	0.449	0.596
m24c38r2.htb	0.808	0.773	16	6.432	3.204	16	3.145	3.115	-0.106	0.429	0.454
m24c38r2.htb	0.079	0.016	60	2.006	1.291	60	1.63	1.799	-0.206	0.449	0.596
m24c38r2.htb	0.802	0.773	16	6.022	3.46	16	3.374	3.332	0.54	0.791	0.735
m24c38r2.htb	0.088	0.016	60	1.995	1.139	60	1.449	1.604	-0.104	0.266	0.063
m24c21r2.htb	0.975	0.847	15	15.374	21.523	15	18.174	16.5	7.925	1.926	0.224
m24c21r2.htb	0.997	0.032	60	15.546	73.676	60	58.95	51.587	40.023	7.61	-23.582
m24c21r2.htb	0.975	0.847	15	15.374	21.523	15	18.174	16.5	7.925	1.926	0.224
m24c21r2.htb	0.997	0.032	60	15.546	73.676	60	58.95	51.587	40.023	7.61	-23.582
m24c21r2.htb	0.975	0.847	15	15.374	21.523	15	18.174	16.5	7.925	1.926	0.224
