FILE	 Wves_predicted	 Wves_actual	 coherence	 thresh_predicted	 thresh_actual_d0	 coherence	 thresh_actual_all	 thresh_actual_pm	 bias_delta0	 Wves_actual_minus	 Wves_actual_plus
m24c68r2.htb	0.773	0.635	16	20.179	12.274	16	11.946	11.781	0.572	0.647	0.623
m24c68r2.htb	0.105	-0.162	60	7.445	9.309	60	8.826	8.584	1.361	-0.014	-0.309
m24c72r2.htb	0.991	0.499	16	8.583	7.172	16	8.971	9.871	-1.344	0.653	0.345
m24c72r2.htb	0.7	0.601	60	7.211	3.556	60	4.417	4.847	0.867	0.267	0.934
m18c101r2.htb	0.024	0.975	16	46.661	131.382	16	129.393	128.399	8.094	3.966	-2.016
m18c101r2.htb	0.009	1.477	90	28.954	27.399	90	31.338	33.308	-4.065	2.161	0.794
m18c127r2.htb	0.003	0.203	16	5.926	5.901	16	5.786	5.728	0.354	0.056	0.35
m18c127r2.htb	0.001	-0.065	90	2.465	2.053	90	2.201	2.276	-0.184	-0.312	0.181
m24c84r3.htb	0.97	1.967	16	9.195	17.706	16	18.446	18.816	-2.524	2.936	0.997
m24c84r3.htb	0.996	0.476	60	9.319	24.295	60	19.761	17.495	1.865	0.695	0.256
m24c84r3.htb	0.954	1.449	16	8.493	15.035	16	14.397	14.078	-2.876	1.496	1.402
m24c84r3.htb	0.999	0.462	60	8.692	12.009	60	12.386	12.575	1.564	0.257	0.668
m24c84r3.htb	0.962	1.387	16	8.225	14.237	16	13.085	12.509	-2.133	1.503	1.271
m24c84r3.htb	0.999	0.628	60	8.384	13.795	60	13.866	13.902	1.445	0.38	0.876
m24c84r3.htb	0.954	1.449	16	8.493	15.035	16	14.397	14.078	-2.876	1.496	1.402
m24c84r3.htb	0.999	0.462	60	8.692	12.009	60	12.386	12.575	1.564	0.257	0.668
m24c85r2.htb	0.865	0.946	16	19.618	16.999	16	16.912	16.869	-1.743	0.942	0.949
m24c85r2.htb	0.533	0.894	60	15.404	14.069	60	16.647	17.936	0.898	1.154	0.634
m24c38r2.htb	0.805	0.767	16	6.608	4.523	16	4.168	3.99	0.672	0.748	0.785
m24c38r2.htb	0.06	0.189	60	1.802	1.784	60	1.693	1.648	-0.064	0.202	0.176
m24c38r2.htb	0.805	0.767	16	6.608	4.523	16	4.168	3.99	0.672	0.748	0.785
m24c38r2.htb	0.06	0.189	60	1.802	1.784	60	1.693	1.648	-0.064	0.202	0.176
m24c38r2.htb	0.808	0.789	16	6.432	3.204	16	3.091	3.035	-0.106	0.726	0.853
m24c38r2.htb	0.079	0.166	60	2.006	1.291	60	1.443	1.519	-0.206	0.257	0.075
m24c38r2.htb	0.805	0.767	16	6.608	4.523	16	4.168	3.99	0.672	0.748	0.785
m24c38r2.htb	0.06	0.189	60	1.802	1.784	60	1.693	1.648	-0.064	0.202	0.176
m24c38r2.htb	0.808	0.789	16	6.432	3.204	16	3.091	3.035	-0.106	0.726	0.853
m24c38r2.htb	0.079	0.166	60	2.006	1.291	60	1.443	1.519	-0.206	0.257	0.075
m24c38r2.htb	0.802	0.763	16	6.022	3.46	16	3.374	3.332	0.54	0.791	0.735
m24c38r2.htb	0.088	0.165	60	1.995	1.139	60	1.449	1.604	-0.104	0.266	0.063
m24c37r2.htb	0.005	-0.053	18	9.435	10.365	18	9.694	9.358	-1.01	0.195	-0.3
m24c37r2.htb	0.001	-0.209	60	3.601	4.033	60	3.407	3.095	0.002	-0.371	-0.046
m24c37r2.htb	0.008	-0.108	18	9.529	10.521	18	9.771	9.396	-2.03	0.059	-0.276
m24c37r2.htb	0.001	-0.234	60	3.259	4.266	60	3.57	3.222	-0.138	-0.388	-0.081
m24c72r2.htb	0.943	0.41	16	8.372	7.148	16	8.023	8.46	-1.865	0.546	0.273
m24c72r2.htb	0.818	0.501	60	7.797	2.748	60	4.044	4.692	0.833	0.178	0.823
m24c68r2.htb	0.718	0.662	16	18.041	12.13	16	11.292	10.873	0.801	0.705	0.619
m24c68r2.htb	0.128	-0.142	60	7.611	8.513	60	8.682	8.766	1.044	-0.094	-0.19
m24c64r2.htb	0.599	0.681	16	13.663	6.535	16	6.874	7.044	0.093	0.734	0.628
m24c64r2.htb	0.048	-0.089	60	3.873	6.142	60	7.042	7.492	-0.233	0.322	-0.501
m24c52r2.htb	0.185	0.45	18	18.694	10.101	18	9.749	9.573	2.436	0.739	0.16
m24c52r2.htb	0.036	0.116	60	8.292	5.692	60	4.843	4.419	-3.418	-0.047	0.279
m18c101r2.htb	0.03	0.99	16	51.735	181.967	16	119.615	88.44	14.741	5.731	-3.752
m18c101r2.htb	0.005	2.115	90	22.236	22.175	90	34.871	41.218	-3.351	3.904	0.325
m18c101r2.htb	0.09	1.618	16	22.993	38.119	16	61.417	73.066	8.189	1.343	1.893
m18c101r2.htb	0.019	0.104	90	10.596	10.561	90	10.514	10.49	2.701	0.175	0.034
m18c108r3.htb	0.22	0.7	16	30.641	27.866	16	25.006	23.577	-2.514	0.832	0.567
m18c108r3.htb	0.143	0.217	90	24.772	32.368	90	25.6	22.216	9.623	0.5	-0.066
m18c108r3.htb	0.867	0.672	16	109.496	300	16	172.522	108.783	-28.858	-6.426	7.771
m18c108r3.htb	0.867	6.185	90	109.496	114.534	90	175.029	205.277	-6.434	10.954	1.416
m18c108r3.htb	0.848	-0.428	16	116.887	58.83	16	70.121	75.767	3.233	0.141	-0.996
m18c108r3.htb	0.005	-0.639	90	8.538	8.392	90	8.991	9.29	0.244	-0.546	-0.732
m18c115r2.htb	0.376	-2.022	16	28.186	21.096	16	39.671	48.958	8.936	-2.736	-1.307
m18c115r2.htb	0.093	-0.43	90	13.985	11.382	90	10.559	10.147	1.991	-0.424	-0.435
m18c115r2.htb	0.775	1.039	16	16.554	18.152	16	18.572	18.783	0.907	0.69	1.387
m18c115r2.htb	0.946	-1.014	90	18.289	22.021	90	24.414	25.61	6.029	-0.958	-1.071
m18c117r3.htb	0.724	-0.432	16	21.67	31.2	16	56.593	69.289	11.091	-4.105	3.241
m18c117r3.htb	0.659	0.037	90	20.679	20.661	90	18.846	17.939	1.299	0.368	-0.294
m18c119r3.htb	0.701	34.795	16	17.234	73.936	16	205.137	270.738	-7.064	52.695	16.895
m18c119r3.htb	0.408	-0.66	90	13.154	209.364	90	88.226	27.657	73.267	15.192	-16.513
m18c119r3.htb	0.701	34.795	16	17.234	73.936	16	205.137	270.738	-7.064	52.695	16.895
m18c119r3.htb	0.408	-0.66	90	13.154	209.364	90	88.226	27.657	73.267	15.192	-16.513
m18c119r3.htb	0.015	0.669	16	13.664	5.744	16	5.582	5.5	2.37	1.077	0.261
m18c119r3.htb	0.001	-0.012	90	2.522	5.882	90	3.966	3.008	-0.757	-0.089	0.066
m18c120r2.htb	0.576	0.297	16	24.078	300	16	139.248	58.872	-22.068	0.427	0.166
m18c120r2.htb	0.161	-1.211	90	12.722	22.549	90	121.686	171.254	2.129	-2.579	0.158
m18c121r2.htb	0.699	-1.007	16	39.381	48.349	16	36.993	31.315	-4.279	-2.592	0.579
m18c121r2.htb	0.018	-0.145	90	6.302	8.171	90	6.541	5.726	-0.205	-0.085	-0.205
m18c121r2.htb	0.992	1.603	16	26.147	41.691	16	63.266	74.053	-3.57	4.117	-0.911
m18c121r2.htb	0.846	-0.885	90	24.137	200.284	90	88.531	32.655	-10.92	-2.992	1.223
m18c127r2.htb	0.013	0.263	16	5.897	5.098	16	5.369	5.505	0.443	0.021	0.505
m18c127r2.htb	0.002	-0.144	90	2.36	3.747	90	3.853	3.906	0.409	-0.418	0.13
m24c115r2.htb	0.042	-0.863	16	61.338	46.892	16	88.43	109.199	-2.897	-1.97	0.243
m24c115r2.htb	0.003	-0.53	60	16.106	16.255	60	20.537	22.679	1.823	-0.126	-0.934
m24c111r2.htb	0.994	1.805	16	23.42	23.611	16	29.452	32.372	0.241	1.123	2.488
m24c111r2.htb	0.9	0.131	60	22.284	16.001	60	19.346	21.019	-1.218	0.14	0.121
m24c119r2.htb	0.54	0.605	16	6.698	3.652	16	3.321	3.155	0.04	0.714	0.496
m24c119r2.htb	0.038	0.151	60	1.775	2.031	60	1.974	1.946	-0.135	0.039	0.262
m24c18r2.htb	0.987	0.306	15	34.12	300	15	216.878	175.318	3.787	1.081	-0.469
m24c18r2.htb	0.75	-0.38	60	29.739	300	60	152.203	78.304	-3.222	-1.704	0.945
