FILE	 azimuth	 stim_type	 delta	 coherence	 bias	 bias_lower	 bias_upper	 thresh	 thresh_lower	 thresh_upper	 pct_correct	 num_reps	 norm_rev
m5c103r2.htb	90.000	1.000	0.000	16.000	0.348	0.078	0.720	0.879	0.634	 NaN	0.871	21.000	AllTrials	
m5c103r2.htb	90.000	2.000	0.000	16.000	9.614	7.905	14.055	4.254	2.129	 NaN	0.646	21.000	AllTrials	
m5c103r2.htb	90.000	2.000	0.000	90.000	-0.255	-0.792	0.228	1.694	1.118	2.800	0.789	21.000	AllTrials	
m5c103r2.htb	90.000	3.000	-2.000	16.000	0.407	0.107	0.798	1.020	0.752	 NaN	0.891	21.000	AllTrials	
m5c103r2.htb	90.000	3.000	-2.000	90.000	0.306	-0.024	0.700	1.045	0.794	 NaN	0.878	21.000	AllTrials	
m5c103r2.htb	90.000	3.000	0.000	16.000	1.276	0.810	1.687	0.869	0.535	 NaN	0.878	21.000	AllTrials	
m5c103r2.htb	90.000	3.000	0.000	90.000	0.463	0.186	0.750	0.811	0.560	 NaN	0.898	21.000	AllTrials	
m5c103r2.htb	90.000	3.000	2.000	16.000	2.066	1.554	2.540	0.959	0.427	1.560	0.823	21.000	AllTrials	
m5c103r2.htb	90.000	3.000	2.000	90.000	0.852	0.437	1.260	1.122	0.744	1.861	0.864	21.000	AllTrials	
m5c103r2.htb	90.000	1.000	0.000	16.000	0.581	0.016	1.256	1.124	0.662	 NaN	0.857	8.000	AllTrials	
m5c103r2.htb	90.000	2.000	0.000	16.000	8.702	6.596	15.192	3.792	1.312	 NaN	0.661	8.000	AllTrials	
m5c103r2.htb	90.000	2.000	0.000	90.000	-0.762	-1.899	-0.209	1.413	0.751	 NaN	0.804	8.000	AllTrials	
m5c103r2.htb	90.000	3.000	-2.000	16.000	0.404	-0.194	1.182	1.407	0.843	 NaN	0.839	8.000	AllTrials	
m5c103r2.htb	90.000	3.000	-2.000	90.000	-0.211	-1.127	0.400	1.424	0.864	 NaN	0.786	8.000	AllTrials	
m5c103r2.htb	90.000	3.000	0.000	16.000	1.305	0.742	2.424	1.090	0.221	 NaN	0.875	8.000	AllTrials	
m5c103r2.htb	90.000	3.000	0.000	90.000	0.474	0.000	0.864	0.757	0.436	 NaN	0.893	8.000	AllTrials	
m5c103r2.htb	90.000	3.000	2.000	16.000	2.399	1.562	3.674	1.359	0.511	 NaN	0.786	8.000	AllTrials	
m5c103r2.htb	90.000	3.000	2.000	90.000	0.258	-0.272	0.912	1.175	0.749	 NaN	0.857	8.000	AllTrials	
m5c103r2.htb	90.000	1.000	0.000	16.000	0.457	-0.104	1.167	0.690	0.233	 NaN	0.905	3.000	AllTrials	
m5c103r2.htb	90.000	2.000	0.000	16.000	9.532	 NaN	9.559	1.268	0.058	1.811	0.619	3.000	AllTrials	
m5c103r2.htb	90.000	2.000	0.000	90.000	-0.169	-1.539	0.567	1.233	0.793	 NaN	0.810	3.000	AllTrials	
m5c103r2.htb	90.000	3.000	-2.000	16.000	0.577	-0.209	2.515	1.499	0.786	 NaN	0.810	3.000	AllTrials	
m5c103r2.htb	90.000	3.000	-2.000	90.000	-0.183	-1.958	0.662	1.570	0.790	 NaN	0.714	3.000	AllTrials	
m5c103r2.htb	90.000	3.000	0.000	16.000	9.404	2.700	47.161	7.529	0.000	267.539	1.000	3.000	AllTrials	
m5c103r2.htb	90.000	3.000	0.000	90.000	0.189	-0.445	0.890	0.818	0.239	 NaN	0.857	3.000	AllTrials	
m5c103r2.htb	90.000	3.000	2.000	16.000	2.892	 NaN	2.900	0.431	0.046	0.460	0.762	3.000	AllTrials	
m5c103r2.htb	90.000	3.000	2.000	90.000	-0.379	-1.238	-0.067	0.681	0.193	 NaN	0.857	3.000	AllTrials	
m18c0r146.htb	90.000	1.000	0.000	27.000	-0.220	-1.528	0.944	3.409	2.260	8.758	0.756	10.000	AllTrials	
m18c0r146.htb	90.000	2.000	0.000	27.000	-1.561	-2.877	-0.732	1.832	1.149	 NaN	0.774	10.000	AllTrials	
m18c0r146.htb	90.000	2.000	0.000	70.000	-0.985	-1.734	-0.515	0.939	0.598	 NaN	0.798	10.000	AllTrials	
m18c0r146.htb	90.000	3.000	0.000	27.000	-1.967	-3.341	-0.927	2.340	1.470	 NaN	0.714	10.000	AllTrials	
m18c0r146.htb	90.000	3.000	0.000	70.000	-0.647	-1.029	-0.000	0.535	0.264	 NaN	0.837	10.000	AllTrials	
m5c0r1013.htb	90.000	1.000	0.000	18.000	1.251	0.806	1.822	1.006	0.553	1.857	0.843	20.000	AllTrials	
m5c0r1013.htb	90.000	2.000	0.000	18.000	4.357	3.119	6.354	2.889	1.464	4.664	0.729	20.000	AllTrials	
m5c0r1013.htb	90.000	2.000	0.000	90.000	-0.588	-0.811	-0.394	0.445	0.169	0.823	0.821	20.000	AllTrials	
m5c0r1013.htb	90.000	3.000	-2.000	18.000	0.307	-0.116	0.719	1.285	0.910	 NaN	0.864	20.000	AllTrials	
m5c0r1013.htb	90.000	3.000	-2.000	90.000	0.473	0.182	0.803	0.837	0.591	 NaN	0.893	20.000	AllTrials	
m5c0r1013.htb	90.000	3.000	0.000	18.000	0.898	0.488	1.366	1.218	0.796	2.045	0.857	20.000	AllTrials	
m5c0r1013.htb	90.000	3.000	0.000	90.000	0.013	-0.363	0.281	0.925	0.685	 NaN	0.857	20.000	AllTrials	
m5c0r1013.htb	90.000	3.000	2.000	18.000	2.242	1.591	2.980	1.586	1.048	2.602	0.814	20.000	AllTrials	
m5c0r1013.htb	90.000	3.000	2.000	90.000	-0.201	-0.502	0.019	0.684	0.455	1.084	0.864	20.000	AllTrials	
m5c0r1013.htb	90.000	1.000	0.000	18.000	1.251	0.790	1.755	1.006	0.491	1.690	0.843	20.000	AllTrials	
m5c0r1013.htb	90.000	2.000	0.000	18.000	4.357	3.196	7.068	2.889	1.486	4.915	0.729	20.000	AllTrials	
m5c0r1013.htb	90.000	2.000	0.000	90.000	-0.588	-0.813	-0.402	0.445	0.176	0.867	0.821	20.000	AllTrials	
m5c0r1013.htb	90.000	3.000	-2.000	18.000	0.307	-0.106	0.747	1.285	0.913	 NaN	0.864	20.000	AllTrials	
m5c0r1013.htb	90.000	3.000	-2.000	90.000	0.473	0.188	0.832	0.837	0.612	 NaN	0.893	20.000	AllTrials	
m5c0r1013.htb	90.000	3.000	0.000	18.000	0.898	0.473	1.443	1.218	0.760	1.963	0.857	20.000	AllTrials	
m5c0r1013.htb	90.000	3.000	0.000	90.000	0.013	-0.326	0.302	0.925	0.682	1.465	0.857	20.000	AllTrials	
m5c0r1013.htb	90.000	3.000	2.000	18.000	2.242	1.618	2.972	1.586	1.035	2.445	0.814	20.000	AllTrials	
m5c0r1013.htb	90.000	3.000	2.000	90.000	-0.201	-0.498	0.060	0.684	0.469	1.153	0.864	20.000	AllTrials	
m5c1100r1.htb	90.000	1.000	0.000	16.000	0.027	-0.750	0.763	1.842	0.901	3.688	0.757	10.000	AllTrials	
m5c1100r1.htb	90.000	2.000	0.000	16.000	5.557	2.700	8.595	4.030	2.084	8.837	0.700	10.000	AllTrials	
m5c1100r1.htb	90.000	2.000	0.000	90.000	-2.138	-2.994	-1.164	1.356	0.453	2.659	0.700	10.000	AllTrials	
m5c1100r1.htb	90.000	3.000	-2.000	16.000	1.044	0.344	1.919	1.592	0.919	3.249	0.814	10.000	AllTrials	
m5c1100r1.htb	90.000	3.000	-2.000	90.000	-0.259	-0.750	0.164	0.958	0.617	 NaN	0.857	10.000	AllTrials	
m5c1100r1.htb	90.000	3.000	0.000	16.000	1.449	0.793	2.312	1.027	0.299	2.408	0.871	10.000	AllTrials	
m5c1100r1.htb	90.000	3.000	0.000	90.000	-0.719	-1.471	-0.199	1.228	0.705	 NaN	0.843	10.000	AllTrials	
m5c1100r1.htb	90.000	3.000	2.000	16.000	1.167	0.611	2.012	1.139	0.579	 NaN	0.843	10.000	AllTrials	
m5c1100r1.htb	90.000	3.000	2.000	90.000	-0.979	-2.075	-0.263	2.061	1.214	3.870	0.771	10.000	AllTrials	
m19c1r1081.htb	90.000	1.000	0.000	8.000	-0.285	-2.110	1.301	6.119	4.846	 NaN	0.714	17.000	AllTrials	
m19c1r1081.htb	90.000	2.000	0.000	8.000	-2.587	-2.587	-2.418	3.367	3.367	3.671	0.739	17.000	AllTrials	
m19c1r1081.htb	90.000	2.000	0.000	50.000	0.647	0.090	1.113	1.100	0.684	1.920	0.933	17.000	AllTrials	
m19c1r1081.htb	90.000	3.000	-5.000	8.000	-2.406	-3.973	-1.285	3.585	2.466	5.745	0.765	17.000	AllTrials	
m19c1r1081.htb	90.000	3.000	-5.000	50.000	0.403	-0.317	1.193	2.009	1.502	 NaN	0.874	17.000	AllTrials	
m19c1r1081.htb	90.000	3.000	0.000	8.000	-1.260	-2.886	0.172	5.031	3.544	7.306	0.697	17.000	AllTrials	
