FILE	 Wves_predicted	 Wves_actual	 coherence	 thresh_predicted	 thresh_actual_d0	 coherence	 thresh_actual_all	 thresh_actual_pm	 bias_delta0	 Wves_actual_minus	 Wves_actual_plus
m18c0r151.htb	0.079	0.781	25	1.722	1.697	25	1.908	2.013	-2.67	1.327	0.236
m18c0r151.htb	0.053	0.027	70	1.409	0.847	70	1.058	1.164	-1.893	-0.335	0.389
m18c0r152.htb	0.154	0.462	25	1.436	2.843	25	2.407	2.188	-3.741	-0.019	0.944
m18c0r152.htb	0.119	0.163	70	1.262	0.835	70	0.906	0.942	-1.6	-0.315	0.641
m18c0r155.htb	0.182	0.091	15	2.103	2.43	15	2.464	2.481	0.567	0.385	-0.202
m18c0r155.htb	0.062	0.188	50	1.228	0.855	50	1.275	1.484	0.283	0.073	0.302
m18c0r158.htb	0.244	0.674	15	2.3	2.485	15	3.31	3.723	0.081	0.958	0.39
m18c0r158.htb	0.094	0.163	50	1.431	0.867	50	1.118	1.244	-0.001	-0.012	0.339
m18c0r161.htb	0.122	0.264	13	1.651	3.184	13	3.005	2.915	-1.343	0.242	0.286
m18c0r161.htb	0.054	0.254	50	1.099	1.242	50	1.08	0.999	0.285	0.411	0.097
m18c0r163.htb	0.298	0.926	11	3.15	1.989	11	3.009	3.519	-0.337	1.117	0.736
m18c0r163.htb	0.01	0.137	50	0.591	0.927	50	0.861	0.828	0.024	0.329	-0.055
m18c0r166.htb	0.237	0.545	11	3.338	2.103	11	3.36	3.988	0.113	0.505	0.585
m18c0r166.htb	0.02	0.154	50	0.965	1.886	50	1.322	1.04	-0.473	0.434	-0.127
m18c0r168.htb	0.255	1.078	11	3.849	2.707	11	3.479	3.865	-0.743	1.115	1.042
m18c0r168.htb	0.001	0.082	50	0.197	1.462	50	0.956	0.703	-0.356	0.025	0.14
m24c0r233.htb	0.9	0.897	13	2.637	2.296	13	1.926	1.74	0.08	1.035	0.759
m24c0r233.htb	0.252	0.145	50	1.397	0.823	50	0.866	0.887	0.343	0.165	0.126
m24c0r232.htb	0.94	0.908	13	1.27	1.931	13	2.636	2.989	-1.027	0.85	0.966
