FILE	
m3c370r41.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m3c370r43.htb -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 
m3c370r45.htb -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 
m3c370r48.htb -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 
m3c370r51.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m3c370r53.htb -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 
m3c370r55.htb -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 
m3c370r59.htb -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 
m3c370r60.htb -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 
m3c370r63.htb -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 
m3c370r66.htb -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 
m3c370r69.htb -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 
m3c370r73.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m3c370r76.htb -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 
m3c370r79.htb -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 
m3c370r82.htb -32.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 32.000 
m3c370r83.htb -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 
