FILE 10_bias 20_bias 30_bias 10_thresh 20_thresh 30_thresh 11_bias 21_bias 31_bias 11_thresh 21_thresh 31_thresh 1_shift_p 2_shift_p 3_shift_p 1_slope_p 2_slope_p 3_slope_p	
m5c293r2.htb 1.121 -0.034 0.850 2.240 3.258 1.880 1.063 0.428 1.114 2.981 3.471 1.501 0.307 0.820 0.400 0.220 0.927 0.601 
m5c305r2.htb -0.562 0.448 0.169 3.375 2.388 1.985 -1.203 1.512 1.088 3.037 2.683 2.565 0.302 0.109 0.240 0.635 0.958 0.750 
m5c311r2.htb -0.673 0.296 0.934 3.715 2.057 1.754 -0.053 1.473 1.292 2.679 2.905 2.392 0.509 0.075 0.930 0.288 0.221 0.305 
m5c318r3.htb -1.068 0.811 0.915 2.472 3.379 1.524 -0.936 0.981 1.131 2.945 3.760 2.128 0.661 0.870 0.924 0.547 0.655 0.332 
m5c323r2.htb 0.003 0.014 1.203 1.887 2.584 1.621 0.049 0.988 0.731 3.420 3.533 2.366 1.000 0.318 0.200 0.104 0.423 0.308 
m5c330r2.htb -1.455 0.175 0.178 3.239 1.565 1.539 -1.919 -8.582 -1.180 3.711 3.555 3.144 0.558 0.000 0.004 0.336 0.012 0.045 
m5c334r2.htb 1.210 0.334 1.562 2.997 2.434 2.278 0.842 -0.199 1.322 2.552 2.028 1.357 0.877 0.095 0.366 0.844 0.450 0.189 
m5c341r2.htb 0.199 -0.592 0.872 3.074 2.547 1.443 0.269 1.159 1.015 2.530 2.760 1.715 0.714 0.000 0.925 0.488 0.901 0.474 
m5c347r2.htb 0.225 -0.372 0.152 2.027 2.948 1.595 0.322 1.664 1.167 2.074 2.692 1.657 0.726 0.000 0.000 0.943 0.692 0.769 
m5c352r2.htb 1.967 0.717 0.980 2.364 2.704 1.512 2.056 0.736 0.760 2.464 3.991 2.000 0.967 0.600 0.145 0.917 0.211 0.471 
m5c358r2.htb 1.179 0.253 0.435 2.311 2.675 1.872 1.164 -0.852 0.119 2.030 3.438 2.468 0.618 0.020 0.211 0.577 0.433 0.370 
m5c364r2.htb 0.945 1.524 0.645 1.393 2.985 2.243 1.812 -0.331 -0.061 2.688 2.062 2.200 0.999 0.000 0.033 0.076 0.388 0.263 
m5c371r2.htb 0.964 1.446 0.491 2.165 2.608 1.718 1.049 2.032 0.759 1.683 2.854 1.436 0.725 0.362 0.304 0.753 0.912 0.853 
m5c377r2.htb 0.718 0.645 0.498 2.248 2.089 1.962 0.153 1.513 0.106 1.446 2.161 1.448 0.107 0.004 0.259 0.076 0.970 0.294 
m5c381r3.htb 0.186 0.446 -0.539 1.637 2.393 1.255 0.353 0.404 -0.124 1.811 2.548 1.572 0.735 0.888 0.052 0.470 0.813 0.537 
m5c385r3.htb 1.014 -0.302 0.008 1.906 2.633 1.951 1.120 0.764 0.627 1.606 2.611 1.338 0.476 0.004 0.007 0.606 0.434 0.200 
m5c391r3.htb 0.423 -2.589 -1.690 2.537 2.111 1.616 3.233 2.253 0.564 3.322 3.354 1.412 0.000 0.000 0.000 0.345 0.077 0.502 
m5c398r3.htb -0.320 -4.341 -2.052 1.637 3.667 1.626 0.682 1.346 -0.413 2.392 2.233 1.817 0.003 0.000 0.000 0.248 0.516 0.837 
m5c405r3.htb -0.026 -1.808 -1.658 1.922 2.892 1.837 0.284 0.470 -1.071 2.634 2.774 1.971 0.091 0.000 0.022 0.643 0.726 0.709 
m5c410r3.htb 0.325 0.838 -0.078 1.968 1.807 0.980 0.243 0.261 -0.464 2.308 2.070 1.918 0.606 0.025 0.186 0.566 0.540 0.048 
m5c414r3.htb -0.236 0.388 -0.449 1.950 2.700 0.480 -0.754 -0.281 -0.964 2.600 2.224 1.613 0.217 0.116 0.877 0.350 0.551 0.371 
m5c419r3.htb -0.454 1.081 -0.014 1.755 3.014 0.920 -0.218 1.551 0.168 2.402 2.154 1.897 0.319 0.055 0.553 0.332 0.375 0.037 
m5c419r3.htb -0.454 1.081 -0.014 1.755 3.014 0.920 -0.218 1.551 0.168 2.402 2.154 1.897 0.319 0.055 0.553 0.332 0.375 0.037 
m5c426r3.htb 0.004 -0.733 -0.352 2.657 2.391 2.143 0.604 3.526 0.955 1.374 2.680 1.455 0.012 0.000 0.000 0.025 0.574 0.263 
m5c431r3.htb 0.036 -0.347 -1.105 1.650 1.704 1.612 0.326 -1.306 -0.885 2.450 2.402 1.451 0.456 0.037 0.645 0.128 0.229 0.785 
m5c445r3.htb -0.485 0.963 0.372 1.111 2.085 0.862 -0.578 0.778 0.334 1.806 1.816 0.946 0.572 0.764 0.311 0.090 0.642 0.721 
m5c453r3.htb -0.211 1.341 0.844 2.125 1.506 1.235 -0.354 2.319 0.543 1.485 2.008 0.928 0.507 0.232 0.583 0.248 0.276 0.524 
m5c457r3.htb -0.401 0.652 0.390 2.940 2.174 1.591 -0.450 0.702 0.671 2.194 1.629 1.453 0.623 0.817 0.076 0.322 0.608 0.125 
m5c463r3.htb 0.251 0.621 0.669 1.654 2.455 1.332 0.619 1.496 1.046 1.156 2.568 1.348 0.084 0.056 0.200 0.563 0.958 0.675 
m5c467r3.htb 1.041 -0.048 0.661 1.752 3.196 1.484 1.663 0.440 0.680 2.525 2.004 1.212 0.667 0.083 0.419 0.254 0.119 0.381 
m5c471r3.htb 0.957 -0.607 0.444 2.030 1.914 0.689 1.027 -0.979 0.536 1.954 1.614 1.310 0.650 0.092 0.337 0.801 0.598 0.557 
m5c475r3.htb 0.662 -0.584 0.049 2.056 2.429 0.918 0.750 -0.046 0.775 1.823 1.979 1.096 0.689 0.123 0.032 0.914 0.547 0.133 
m5c479r3.htb 0.638 -0.495 0.202 1.732 1.722 1.848 0.591 -0.512 0.148 1.376 1.883 1.489 0.755 0.959 0.959 0.444 0.743 0.390 
m5c482r3.htb 0.707 -0.392 0.459 1.945 2.507 1.083 0.787 -0.353 0.501 2.377 2.671 1.333 0.918 0.891 0.900 0.581 0.870 0.942 
m5c486r3.htb -0.175 -1.292 -0.673 1.514 2.120 1.545 0.877 0.862 0.253 2.271 2.075 1.745 0.002 0.000 0.000 0.238 0.945 0.800 
m5c490r3.htb -0.259 -1.157 -0.477 1.974 2.478 1.205 0.228 0.756 -0.183 1.827 1.903 1.282 0.080 0.000 0.130 0.674 0.582 0.779 
m5c494r3.htb 0.126 -0.396 -0.436 1.426 1.527 1.325 -0.105 0.099 -0.205 2.029 1.490 0.706 0.485 0.054 0.858 0.208 0.999 0.039 
m5c498r3.htb 0.387 0.133 -0.579 1.895 1.969 0.896 0.051 0.076 -0.822 1.866 1.471 1.088 0.300 0.977 0.796 0.890 0.403 0.264 
m5c504r3.htb -0.339 -0.812 -0.722 1.803 1.890 1.604 0.396 -0.197 -0.035 1.920 1.771 1.547 0.011 0.042 0.004 0.823 0.731 0.921 
m5c508r3.htb -0.080 -0.410 -0.046 1.234 1.930 0.818 -0.135 0.662 -0.183 1.767 2.125 1.699 0.815 0.001 0.693 0.336 0.625 0.906 
m5c513r3.htb -0.123 -1.026 0.337 2.213 1.623 2.061 0.012 -1.476 -0.301 1.980 2.623 1.472 0.288 0.818 0.010 0.047 0.072 0.987 
m5c518r3.htb 0.234 -0.559 0.757 1.475 1.957 1.925 0.080 -0.689 0.326 1.679 1.968 1.103 0.563 0.593 0.170 0.514 0.948 0.511 
m5c522r3.htb -0.626 -0.687 -0.282 1.808 1.789 1.176 -0.474 0.000 0.118 1.376 1.640 1.097 0.921 0.030 0.040 0.342 0.670 0.975 
m5c526r3.htb -0.939 -0.809 -0.002 2.064 2.327 1.339 -0.804 2.040 0.707 1.445 2.241 1.405 0.700 0.000 0.001 0.156 0.844 0.864 
