FILE	        ThreshVeMU	, ThreshViMU	,ThreshComMU	,CorrcoefVeSUMU	,CorrcoefViSUMU	,CorrcoefComSUMU	,noiseVe	,noiseVi	,noiseCom	
m2c66r2.htb	 14.089	 10.930	 32.272	 0.889	 -0.650	 -0.319	 -0.001	 0.036	 -0.024	 
m2c67r2.htb	 111.154	 23.149	 28.023	 0.330	 0.838	 0.502	 0.031	 0.099	 0.076	 
m2c71r2.htb	 7.579	 22.976	 33.299	 0.945	 0.516	 0.687	 0.302	 0.354	 0.289	 
m2c72r2.htb	 13.926	 21.572	 22.485	 0.918	 0.581	 0.838	 0.344	 0.290	 0.436	 
m2c77r2.htb	 19.425	 147.962	 45.955	 0.860	 0.515	 0.648	 0.156	 0.213	 0.130	 
m2c78r2.htb	 27.796	 300.000	 88.487	 0.344	 0.587	 0.369	 0.175	 0.146	 0.277	 
m2c79r2.htb	 121.574	 12.169	 11.558	 0.655	 0.894	 0.954	 0.164	 0.071	 -0.046	 
m2c81r2.htb	 43.974	 26.071	 69.427	 0.666	 0.876	 0.446	 0.166	 -0.430	 -0.063	 
m2c84r2.htb	 15.319	 3.929	 10.364	 0.925	 0.981	 0.746	 0.652	 0.588	 0.604	 
m2c86r2.htb	 22.810	 17.776	 17.191	 0.909	 0.841	 0.802	 0.437	 0.272	 0.579	 
m2c91r2.htb	 28.026	 10.635	 12.488	 0.349	 0.771	 0.610	 0.190	 0.289	 0.163	 
m2c93r2.htb	 130.188	 34.317	 96.666	 0.473	 0.583	 0.295	 0.556	 0.459	 0.398	 
m2c94r2.htb	 18.870	 287.713	 300.000	 0.842	 0.617	 0.514	 0.534	 0.511	 0.450	 
m2c97r2.htb	 22.305	 2.315	 4.692	 0.657	 0.994	 0.980	 0.384	 0.254	 0.195	 
m2c98r2.htb	 300.000	 16.245	 30.760	 0.376	 0.242	 0.744	 0.599	 0.208	 0.345	 
m2c99r2.htb	 15.485	 19.296	 14.416	 0.918	 0.650	 0.940	 0.256	 0.318	 0.210	 
m2c100r2.htb	 14.942	 13.759	 13.412	 0.861	 0.910	 0.794	 0.196	 0.198	 0.048	 
m2c101r2.htb	 25.979	 70.740	 17.567	 0.652	 -0.069	 0.857	 -0.295	 -0.478	 -0.136	 
m2c103r2.htb	 252.804	 17.428	 75.695	 0.275	 0.873	 0.696	 0.464	 0.583	 0.551	 
m2c109r2.htb	 19.336	 11.318	 18.147	 0.909	 0.935	 0.765	 0.436	 0.352	 0.361	 
m2c110r2.htb	 40.201	 7.249	 9.726	 0.605	 0.996	 0.894	 0.393	 0.305	 0.406	 
m2c116r2.htb	 10.440	 6.525	 23.168	 -0.582	 0.948	 0.656	 0.227	 0.332	 0.306	 
m2c119r2.htb	 75.944	 74.152	 81.404	 0.558	 0.543	 0.617	 0.316	 0.490	 0.425	 
m2c121r2.htb	 20.668	 17.872	 15.407	 0.651	 0.653	 0.954	 0.752	 0.515	 0.528	 
m2c125r2.htb	 63.864	 5.954	 10.086	 0.730	 0.989	 0.894	 0.545	 0.517	 0.469	 
m2c126r2.htb	 300.000	 69.701	 37.175	 0.143	 0.148	 -0.469	 0.140	 0.090	 0.128	 
m2c127r2.htb	 80.882	 3.198	 6.731	 0.157	 0.964	 0.945	 0.250	 0.055	 0.025	 
m2c128r2.htb	 86.316	 4.061	 6.938	 -0.175	 0.942	 0.941	 0.233	 0.083	 0.114	 
m2c129r2.htb	 46.400	 6.693	 11.533	 0.799	 0.986	 0.980	 0.315	 0.323	 0.303	 
m2c130r2.htb	 17.336	 28.435	 201.855	 0.778	 -0.228	 0.372	 0.236	 0.309	 0.240	 
m2c131r2.htb	 19.015	 1.927	 2.722	 0.669	 0.984	 0.994	 0.402	 0.292	 0.400	 
m2c134r2.htb	 21.810	 15.926	 60.580	 0.691	 0.878	 0.854	 0.140	 0.162	 0.075	 
m2c135r2.htb	 31.369	 11.868	 24.959	 0.682	 0.892	 0.942	 0.120	 0.035	 -0.060	 
m2c137r2.htb	 20.324	 36.377	 18.487	 0.586	 0.893	 0.918	 0.127	 0.081	 0.193	 
m2c138r2.htb	 11.122	 25.732	 9.387	 0.924	 0.584	 0.743	 -0.356	 -0.593	 -0.482	 
m2c139r2.htb	 18.562	 37.739	 27.882	 0.467	 0.683	 0.493	 -0.315	 0.124	 0.234	 
m2c140r2.htb	 6.270	 3.614	 5.809	 0.993	 0.997	 0.991	 0.586	 0.476	 0.507	 
m2c141r2.htb	 38.566	 47.979	 29.567	 0.826	 -0.575	 0.741	 -0.084	 0.058	 -0.013	 
m2c143r2.htb	 118.290	 5.820	 7.072	 0.152	 0.919	 0.912	 -0.203	 -0.100	 -0.016	 
m2c144r2.htb	 39.328	 15.754	 8.108	 0.331	 0.611	 0.876	 0.007	 -0.109	 0.017	 
m2c145r2.htb	 22.976	 4.057	 7.352	 0.545	 0.943	 0.682	 0.111	 -0.149	 0.139	 
m2c148r2.htb	 28.330	 7.003	 16.633	 0.410	 0.863	 0.783	 -0.307	 -0.367	 -0.334	 
m2c149r2.htb	 28.185	 12.651	 21.122	 -0.320	 0.966	 0.949	 0.351	 0.347	 0.279	 
m2c150r2.htb	 67.555	 300.000	 101.979	 0.362	 0.541	 0.369	 0.230	 0.284	 0.134	 
m2c151r2.htb	 70.627	 8.923	 12.503	 0.165	 0.883	 0.936	 0.388	 0.554	 0.500	 
m2c152r2.htb	 28.682	 23.939	 20.389	 0.848	 0.718	 0.590	 0.435	 0.407	 0.466	 
