FILE	        ThreshVeMU	, ThreshViMU	,ThreshComMU	,CorrcoefVeSUMU	,CorrcoefViSUMU	,CorrcoefComSUMU	,noiseVe	,noiseVi	,noiseCom	
m2c162r2.htb	 0.304	 0.296	 0.317	 
m2c163r2.htb	 0.701	 0.764	 0.766	 
m2c170r2.htb	 0.580	 0.453	 0.522	 
m2c172r2.htb	 -0.064	 -0.030	 -0.066	 
m2c174r2.htb	 -0.003	 -0.036	 0.023	 
m2c175r2.htb	 0.669	 0.689	 0.730	 
m2c176r2.htb	 0.575	 0.583	 0.597	 
m2c177r2.htb	 0.466	 0.561	 0.533	 
m2c178r2.htb	 0.236	 0.240	 0.246	 
m2c179r2.htb	 -0.186	 -0.252	 -0.272	 
m2c180r2.htb	 0.289	 0.046	 0.318	 
m2c181r2.htb	 0.648	 0.788	 0.849	 
m2c182r2.htb	 -0.178	 -0.194	 -0.165	 
m2c183r2.htb	 -0.106	 -0.091	 -0.139	 
m2c184r2.htb	 0.260	 0.316	 0.167	 
m2c185r2.htb	 -0.003	 0.086	 0.017	 
m2c186r2.htb	 0.343	 0.413	 0.386	 
m2c187r2.htb	 0.393	 0.397	 0.464	 
m2c189r2.htb	 0.439	 0.437	 0.506	 
m2c190r2.htb	 0.775	 0.784	 0.804	 
m2c191r2.htb	 0.374	 0.262	 0.269	 
m2c193r2.htb	 0.393	 0.421	 0.383	 
m2c195r2.htb	 0.320	 0.276	 0.161	 
m2c197r2.htb	 0.725	 0.736	 0.757	 
m2c198r2.htb	 0.641	 0.601	 0.641	 
m2c200r2.htb	 0.504	 0.389	 0.332	 
m2c202r2.htb	 0.085	 0.114	 0.020	 
m2c214r2.htb	 0.418	 0.483	 0.417	 
m2c220r2.htb	 0.652	 0.617	 0.520	 
m2c221r2.htb	 0.697	 0.645	 0.660	 
m2c223r2.htb	 0.813	 0.822	 0.832	 
m2c226r2.htb	 0.193	 0.195	 0.196	 
m2c231r2.htb	 0.497	 0.296	 0.469	 
m2c233r2.htb	 0.797	 0.792	 0.775	 
m2c236r2.htb	 0.511	 0.450	 0.675	 
m2c240r2.htb	 0.500	 0.191	 0.483	 
m2c241r2.htb	 0.094	 -0.044	 0.175	 
m2c252r2.htb	 -0.395	 -0.415	 -0.383	 
m2c258r2.htb	 0.343	 0.303	 0.389	 
m2c260r2.htb	 0.554	 0.571	 0.437	 
m2c364r2.htb	 0.333	 0.373	 0.375	 
m2c365r2.htb	 0.311	 0.276	 0.371	 
m2c368r2.htb	 0.346	 0.268	 0.381	 
m2c369r2.htb	 0.428	 0.426	 0.495	 
m2c370r2.htb	 -0.197	 0.095	 0.095	 
m2c372r2.htb	 0.627	 0.635	 0.693	 
m2c374r2.htb	 0.304	 0.327	 0.378	 
m2c376r2.htb	 0.577	 0.587	 0.405	 
m2c378r2.htb	 0.276	 0.227	 0.281	 
m2c382r2.htb	 0.567	 0.552	 0.636	 
m2c392r2.htb	 0.495	 0.381	 0.329	 
m2c403r2.htb	 -0.005	 -0.020	 -0.031	 
m2c409r2.htb	 0.324	 0.254	 0.256	 
m2c417r2.htb	 -0.196	 -0.367	 -0.308	 
m2c423r2.htb	 0.356	 0.414	 0.539	 
m2c427r2.htb	 -0.153	 -0.019	 -0.083	 
m2c429r2.htb	 0.406	 0.394	 0.348	 
m2c436r2.htb	 0.586	 0.599	 0.587	 
m2c441r2.htb	 0.570	 0.689	 0.643	 
m2c443r2.htb	 0.413	 0.359	 0.336	 
m2c445r2.htb	 0.322	 0.209	 0.104	 
m2c450r2.htb	 0.492	 0.457	 0.536	 
m5c25r2.htb	 0.715	 0.683	 0.703	 
