FILE	        ThreshVeMU	, ThreshViMU	,ThreshComMU	,CorrcoefVeSUMU	,CorrcoefViSUMU	,CorrcoefComSUMU	,noiseVe	,noiseVi	,noiseCom	
m2c162r2.htb	 0.362	 -0.567	 0.339	 0.112	 -0.487	 0.027	 0.184	 0.944	 
m2c163r2.htb	 -0.503	 0.660	 0.167	 0.053	 -0.127	 0.248	 0.744	 0.520	 
m2c170r2.htb	 -0.778	 0.502	 0.014	 0.168	 -0.625	 0.764	 0.072	 0.017	 
m2c172r2.htb	 -0.794	 0.956	 0.011	 0.000	 -0.477	 0.312	 0.194	 0.413	 
m2c174r2.htb	 -0.574	 0.079	 0.106	 0.841	 0.389	 0.277	 0.300	 0.470	 
m2c175r2.htb	 -0.436	 -0.433	 0.241	 0.245	 0.506	 -0.430	 0.165	 0.247	 
m2c176r2.htb	 0.367	 0.234	 0.331	 0.545	 0.088	 0.649	 0.821	 0.059	 
m2c177r2.htb	 -0.476	 0.610	 0.195	 0.081	 0.084	 -0.638	 0.831	 0.064	 
m2c178r2.htb	 -0.763	 -0.799	 0.017	 0.010	 0.346	 0.124	 0.362	 0.751	 
m2c179r2.htb	 -0.272	 -0.308	 0.478	 0.419	 -0.006	 -0.381	 0.987	 0.312	 
m2c180r2.htb	 -0.049	 -0.146	 0.899	 0.707	 -0.058	 0.092	 0.882	 0.815	 
m2c181r2.htb	 -0.983	 -0.895	 0.000	 0.001	 -0.107	 -0.399	 0.785	 0.288	 
m2c182r2.htb	 0.640	 0.277	 0.063	 0.470	 -0.002	 -0.502	 0.997	 0.168	 
m2c183r2.htb	 0.955	 -0.769	 0.000	 0.016	 -0.165	 -0.788	 0.671	 0.012	 
m2c184r2.htb	 -0.881	 -0.777	 0.002	 0.014	 -0.121	 -0.181	 0.756	 0.641	 
m2c185r2.htb	 -0.889	 -0.829	 0.001	 0.006	 -0.448	 0.072	 0.226	 0.854	 
m2c186r2.htb	 0.031	 -0.661	 0.937	 0.052	 -0.307	 0.067	 0.422	 0.863	 
m2c187r2.htb	 -0.269	 -0.604	 0.484	 0.085	 -0.387	 0.374	 0.303	 0.322	 
m2c189r2.htb	 0.080	 0.346	 0.837	 0.362	 -0.180	 -0.301	 0.642	 0.432	 
m2c190r2.htb	 0.412	 -0.905	 0.270	 0.001	 -0.263	 -0.170	 0.495	 0.661	 
m2c191r2.htb	 -0.670	 -0.881	 0.048	 0.002	 0.366	 -0.242	 0.332	 0.531	 
m2c193r2.htb	 0.610	 -0.041	 0.081	 0.917	 -0.301	 -0.019	 0.431	 0.961	 
m2c195r2.htb	 -0.793	 -0.899	 0.011	 0.001	 -0.065	 -0.841	 0.868	 0.005	 
m2c197r2.htb	 0.732	 0.986	 0.025	 0.000	 -0.297	 -0.447	 0.437	 0.228	 
m2c198r2.htb	 0.910	 0.394	 0.001	 0.294	 -0.522	 -0.022	 0.149	 0.956	 
m2c200r2.htb	 0.705	 0.911	 0.034	 0.001	 0.290	 -0.144	 0.450	 0.712	 
m2c202r2.htb	 0.032	 -0.303	 0.935	 0.428	 -0.512	 -0.015	 0.159	 0.969	 
m2c214r2.htb	 -0.644	 -0.915	 0.061	 0.001	 0.697	 0.190	 0.037	 0.625	 
m2c220r2.htb	 0.336	 -0.889	 0.376	 0.001	 0.032	 0.209	 0.935	 0.590	 
m2c221r2.htb	 0.968	 -0.706	 0.000	 0.033	 0.261	 -0.099	 0.498	 0.800	 
m2c223r2.htb	 0.513	 -0.459	 0.158	 0.214	 -0.536	 -0.159	 0.137	 0.684	 
m2c226r2.htb	 -0.521	 0.035	 0.150	 0.929	 -0.170	 -0.340	 0.662	 0.371	 
m2c231r2.htb	 0.007	 -0.890	 0.985	 0.001	 0.304	 0.116	 0.426	 0.766	 
m2c233r2.htb	 0.876	 0.516	 0.002	 0.155	 0.058	 -0.136	 0.881	 0.727	 
m2c236r2.htb	 -0.343	 -0.165	 0.366	 0.671	 -0.211	 -0.647	 0.586	 0.060	 
m2c240r2.htb	 -0.173	 -0.989	 0.656	 0.000	 0.533	 -0.736	 0.140	 0.024	 
m2c241r2.htb	 0.582	 -0.780	 0.100	 0.013	 0.184	 0.118	 0.636	 0.762	 
m2c252r2.htb	 0.603	 0.393	 0.085	 0.296	 0.636	 -0.539	 0.065	 0.135	 
m2c258r2.htb	 -0.854	 -0.737	 0.003	 0.023	 -0.075	 -0.040	 0.847	 0.919	 
m2c260r2.htb	 -0.775	 -0.910	 0.014	 0.001	 0.004	 0.050	 0.993	 0.899	 
m2c364r2.htb	 -0.356	 -0.947	 0.347	 0.000	 0.183	 0.499	 0.637	 0.172	 
m2c365r2.htb	 0.864	 0.561	 0.003	 0.116	 0.294	 0.413	 0.442	 0.269	 
m2c368r2.htb	 0.019	 -0.028	 0.961	 0.943	 0.040	 -0.241	 0.919	 0.532	 
m2c369r2.htb	 0.029	 -0.122	 0.942	 0.754	 -0.381	 0.227	 0.311	 0.556	 
